"year","iso3","age_band","start_month","end_month","observed_q","zero_pfpr_q","observed_survival","zero_pfpr_survival"
2005,"COD","<1",0,0.919917864476386,0.029350426756517,0.0263659445130479,0.970649573243483,0.973634055486952
2005,"COD","1-5",0.919917864476386,6,0.0209800068951381,0.0167515550057113,0.950285338504072,0.957324171051029
2005,"COD","6-11",6,12,0.0225646989446315,0.0122621431905673,0.92884243592923,0.94558532498581
2005,"COD","12-23",12,24,0.0175879451419971,0.0085966237073152,0.912506006120548,0.937456483763747
2005,"COD","24-35",24,36,0.0123785200043919,0.00536383626633592,0.901210532269657,0.932428120678024
2005,"COD","36-47",36,48,0.0123785200043919,0.00670756720624693,0.890054879667788,0.926173796393581
2005,"COD","48-59",48,60,0.0123785200043919,0.00714828980640549,0.879037317534814,0.919553237685861
2015,"COD","<1",0,0.919917864476386,0.0218645331456952,0.0198176792804588,0.978135466854305,0.980182320719541
2015,"COD","1-5",0.919917864476386,6,0.014738685791425,0.0126744595871911,0.96371903554689,0.967759039507502
2015,"COD","6-11",6,12,0.015243669100871,0.0101902998239858,0.949028421462803,0.957897284737548
2015,"COD","12-23",12,24,0.0112167280467697,0.00585218994317794,0.9383834277506,0.95229148788121
2015,"COD","24-35",24,36,0.00840073911206422,0.00375135686171558,0.930500313386982,0.948719102673793
2015,"COD","36-47",36,48,0.00840073911206422,0.00428665346224817,0.922683423010524,0.944652272647616
2015,"COD","48-59",48,60,0.00840073911206422,0.00459598347257762,0.914932200290787,0.940310666415194
2024,"COD","<1",0,0.919917864476386,0.0184384507455692,0.0165198894004355,0.981561549254431,0.983480110599565
2024,"COD","1-5",0.919917864476386,6,0.0125999144211487,0.0106285464990807,0.969193957734735,0.973027146513136
2024,"COD","6-11",6,12,0.0122433356410228,0.00782383105544308,0.957327790808937,0.965414346506457
2024,"COD","12-23",12,24,0.00841256814515238,0.0042901805548156,0.949274205531509,0.961272544649735
2024,"COD","24-35",24,36,0.00596980464567396,0.00261740666040432,0.943607223969308,0.958756503488905
2024,"COD","36-47",36,48,0.00596980464567396,0.00297635288723079,0.937974073179965,0.955902905801595
2024,"COD","48-59",48,60,0.00596980464567396,0.00331105069784582,0.932374551200373,0.952737862818268
