"group","records","observed_deaths","fitted_deaths","age_band","grouping","observed_probability","fitted_probability","residual_deaths"
"AGO",33950,690,713.8360510283,"<1","country",0.0203240058910162,0.02102609870481,-23.8360510283004
"BDI",20272,491,498.590908240734,"<1","country",0.0242205998421468,0.0245950526953795,-7.59090824073411
"BEN",43557,1237,1233.84449992827,"<1","country",0.0283995683816608,0.0283271230784552,3.1555000717251
"BFA",35126,883,889.748432905781,"<1","country",0.0251380743608723,0.0253301950949661,-6.74843290578099
"CIV",17967,610,589.360751438076,"<1","country",0.0339511326320476,0.0328024017052416,20.6392485619244
"CMR",27200,844,843.265609204498,"<1","country",0.0310294117647059,0.0310024121031066,0.734390795501781
"COD",51995,1456,1453.86855679286,"<1","country",0.0280026925665929,0.0279616993324908,2.13144320714082
"COG",14222,340,345.452711955838,"<1","country",0.0239066235409928,0.0242900233410096,-5.45271195583814
"COM",3160,72,74.3924995241493,"<1","country",0.0227848101265823,0.0235419302291612,-2.39249952414931
"ETH",52070,1663,1649.6702260659,"<1","country",0.0319377760706741,0.0316817788758575,13.3297739341019
"GAB",13243,275,283.381077089736,"<1","country",0.0207656875330363,0.0213985559986208,-8.38107708973564
"GHA",21191,539,533.807835285878,"<1","country",0.0254353263177764,0.0251903088710244,5.19216471412165
"GIN",21514,769,755.534271388572,"<1","country",0.0357441665891977,0.0351182611968286,13.4657286114284
"GMB",16466,459,450.655986932611,"<1","country",0.0278756224948378,0.0273688805376297,8.34401306738891
"KEN",50960,1208,1212.37043935178,"<1","country",0.0237048665620094,0.0237906287156944,-4.37043935178417
"LBR",23389,787,779.437885969968,"<1","country",0.033648296207619,0.0333249769536948,7.56211403003238
"MDG",29470,727,742.823504110572,"<1","country",0.0246691550729555,0.0252060910794222,-15.823504110572
"MLI",53495,1920,1906.24966912201,"<1","country",0.035891204785494,0.0356341652326762,13.7503308779869
"MOZ",28524,854,852.310120216026,"<1","country",0.029939699901837,0.0298804557641294,1.68987978397365
"MRT",11167,280,279.950328110867,"<1","country",0.0250738783916898,0.0250694302955912,0.0496718891327532
"MWI",61764,1722,1727.79680294004,"<1","country",0.0278803186322129,0.0279741727048126,-5.79680294004402
"NAM",9724,211,212.673482928004,"<1","country",0.0216988893459482,0.0218709875491571,-1.67348292800361
"NER",21840,570,586.712357057935,"<1","country",0.0260989010989011,0.0268641189129091,-16.7123570579349
"NGA",132589,5106,5080.31616318516,"<1","country",0.0385099819743719,0.0383162718112752,25.6838368148392
"RWA",40523,1091,1089.27543330974,"<1","country",0.0269229820102164,0.0268804242852144,1.72456669025814
"SEN",102103,2839,2831.7415591711,"<1","country",0.0278052554773121,0.0277341660790682,7.25844082890035
"SLE",27592,947,934.14116497231,"<1","country",0.03432154247608,0.0338555075736558,12.8588350276901
"STP",1939,29,40.5496862943947,"<1","country",0.0149561629706034,0.0209126798836486,-11.5496862943947
"SWZ",2058,38,48.9180971080772,"<1","country",0.0184645286686103,0.0237697264859462,-10.9180971080772
"TCD",23473,730,731.316339785369,"<1","country",0.0310995611979721,0.0311556400879892,-1.31633978536934
"TGO",6260,158,156.510027933656,"<1","country",0.0252396166134185,0.0250016019063349,1.48997206634368
"TZA",37487,1013,1017.3881672314,"<1","country",0.0270227012030837,0.027139759576157,-4.38816723139689
"UGA",34498,906,921.604414582271,"<1","country",0.026262392022726,0.0267147201165943,-15.6044145822714
"ZAF",2612,61,55.8620762767624,"<1","country",0.023353751914242,0.021386706078393,5.13792372323761
"ZMB",41670,1048,1055.24561455638,"<1","country",0.0251499880009599,0.025323868839846,-7.24561455638332
"ZWE",16291,421,419.355831631548,"<1","country",0.0258424897182493,0.0257415647677582,1.64416836845186
"AO62FL",8260,193,192.798852196147,"<1","survey",0.023365617433414,0.0233412653990492,0.201147803853246
"AO71FL",14290,312,309.810760781475,"<1","survey",0.0218334499650105,0.0216802491799493,2.18923921852468
"AO81FL",11400,185,211.226438050678,"<1","survey",0.0162280701754386,0.0185286349167262,-26.2264380506782
"BU61FL",7088,205,195.647315556907,"<1","survey",0.0289221218961625,0.02760261223997,9.35268444309293
"BU71FL",13184,286,302.943592683822,"<1","survey",0.0216929611650485,0.0229781244450714,-16.9435926838216
"BJ41FL",418,19,14.1831186571109,"<1","survey",0.0454545454545455,0.0339309058782557,4.8168813428891
"BJ51FL",16165,508,507.103835455703,"<1","survey",0.0314259201979586,0.0313704816242316,0.896164544296823
"BJ61FL",13458,316,333.140817849931,"<1","survey",0.0234804577203151,0.0247541104064446,-17.1408178499311
"BJ71FL",13516,394,379.416727965498,"<1","survey",0.0291506362829239,0.0280716726816734,14.583272034502
"BF43FL",7679,220,223.599341405891,"<1","survey",0.0286495637452793,0.0291182890227752,-3.5993414058909
"BF62FL",15127,427,413.018473000492,"<1","survey",0.028227672373901,0.0273033961129432,13.9815269995075
"BF81FL",12320,236,253.130618499363,"<1","survey",0.0191558441558442,0.0205463164366366,-17.1306184993628
"CI62FL",7319,286,270.648524306886,"<1","survey",0.0390763765541741,0.0369788938798861,15.3514756931136
"CI81FL",10648,324,318.71222713118,"<1","survey",0.0304282494365139,0.0299316516839951,5.28777286882018
"CM44FL",7327,212,236.826891721783,"<1","survey",0.0289340794322369,0.0323224910224898,-24.8268917217829
"CM61FL",11831,361,357.970628509838,"<1","survey",0.0305130589130251,0.0302570051990396,3.02937149016191
"CM71FL",8042,271,248.468088972864,"<1","survey",0.0336980850534693,0.0308963055176404,22.5319110271361
"CD51FL",9043,340,317.624554846116,"<1","survey",0.0375981422094438,0.0351238034773987,22.3754451538838
"CD61FL",18750,522,532.277646358263,"<1","survey",0.02784,0.0283881411391074,-10.2776463582635
"CD81FL",24202,594,603.966355588532,"<1","survey",0.024543426163127,0.024955225005724,-9.96635558853166
"CG51FL",4855,158,143.504505035435,"<1","survey",0.0325437693099897,0.0295580854861863,14.4954949645655
"CG61FL",9367,182,201.948206920403,"<1","survey",0.019429913526209,0.0215595395452549,-19.9482069204029
"KM61FL",3160,72,74.3924995241493,"<1","survey",0.0227848101265823,0.0235419302291612,-2.39249952414931
"ET41FL",464,23,18.6992616421284,"<1","survey",0.0495689655172414,0.0403001328494147,4.30073835787156
"ET51FL",9888,340,358.948421659682,"<1","survey",0.0343851132686084,0.036301418048107,-18.9484216596817
"ET61FL",11702,419,405.81857514821,"<1","survey",0.0358058451546744,0.0346794201972492,13.1814248517895
"ET71FL",10644,323,326.321748838863,"<1","survey",0.0303457346862082,0.0306578118037263,-3.32174883886307
"ET81FL",5770,222,196.454828137486,"<1","survey",0.038474870017331,0.0340476305264274,25.5451718625141
"ET8AFL",13602,336,343.427390639548,"<1","survey",0.0247022496691663,0.0252483010321679,-7.42739063954815
"GA41FL",761,21,22.8861258795124,"<1","survey",0.0275952693823916,0.030073752798308,-1.88612587951241
"GA61FL",6091,139,136.226934210231,"<1","survey",0.0228205549170908,0.0223652822541834,2.77306578976882
"GA71FL",6391,115,124.26801699999,"<1","survey",0.0179940541386325,0.0194442210921593,-9.26801699998988
