"iso3","age_band","Location","pfpr_pct","ihme_deaths","implied_person_years","ihme_rate_per100000","age_mapping","status","map_population_coverage_within_raster","map_coverage_below_95pct","population_weight_year","log_hr_se","log_hr_zero_vs_current","hr_zero_vs_current","hr_lower_95","hr_upper_95","attributable_fraction","af_lower_95","af_upper_95","counterfactual_deaths","attributable_deaths","attributable_deaths_lower_95","attributable_deaths_upper_95","counterfactual_rate_per100000","attributable_rate_per100000","attributable_rate_per100000_lower_95","attributable_rate_per100000_upper_95","zero_below_observed_support","current_pfpr_outside_central95","current_pfpr_outside_observed_support","negative_attributable_estimate","series","year","exposure_source","temporal_transport_from_pre2016_fit"
"AGO","<1","Angola",20.1035553415068,25724.5129425046,65823.7910576055,39080.8741477558,"0-27 days mapped to model <1 completed month","estimated",0.998084957706995,FALSE,2020,0.0261568139195113,-0.0395500786104253,0.961221816132407,0.913184412205212,1.01178619286512,0.0387781838675927,-0.0117861928651202,0.0868155877947885,24726.9630497159,997.549892788711,-303.194070901639,2233.28871183818,37565.3888243479,1515.48532340792,-460.614720042939,3392.82906067157,TRUE,FALSE,FALSE,FALSE,"map_full",2005,"MAP",FALSE
"BDI","<1","Burundi",32.7108667147613,10665.1060429336,24443.9696865901,43630.8266606321,"0-27 days mapped to model <1 completed month","estimated",0.903118502531811,TRUE,2020,0.0317728397223365,-0.072010642162827,0.930520993002591,0.874340485203578,0.9903113639041,0.0694790069974093,0.00968863609590043,0.125659514796422,9924.1050655485,741.000977385096,103.330331374172,1340.17205060743,40599.4001497753,3031.42651085681,422.723202078175,5482.62850834183,TRUE,FALSE,FALSE,FALSE,"map_full",2005,"MAP",FALSE
"BEN","<1","Benin",56.789331963267,10804.6666154987,27278.4884920618,39608.7437859428,"0-27 days mapped to model <1 completed month","estimated",1,FALSE,2020,0.0374958731010692,-0.0832903148231014,0.920083994420714,0.854890211321739,0.990249444405644,0.0799160055792865,0.00975055559435622,0.145109788678261,9941.20081797218,863.465797526524,105.351502512905,1567.86288931408,36443.3711965569,3165.37258938593,386.207258307447,5747.61644058953,TRUE,FALSE,FALSE,FALSE,"map_full",2005,"MAP",FALSE
"BFA","<1","Burkina Faso",53.1839944402602,21668.9137055495,51434.2296696051,42129.3637422836,"0-27 days mapped to model <1 completed month","estimated",1,FALSE,2020,0.0363857609828842,-0.0864470842944682,0.917184080943383,0.854052018188421,0.98498290551474,0.0828159190566168,0.0150170944852601,0.145947981811579,19874.3827020659,1794.5310034836,325.404124509185,3162.53422337421,38640.3817646959,3488.98197758772,632.660635921765,6148.69561319219,TRUE,FALSE,FALSE,FALSE,"map_full",2005,"MAP",FALSE
"BWA","<1","Botswana",0.0739687942020688,454.850857072986,3530.37620506091,12883.9203148079,"0-27 days mapped to model <1 completed month","estimated",0.500006041684288,TRUE,2020,0.000120537524733995,-0.000124647120067821,0.999875360648062,0.999639164448266,1.00011161265664,0.000124639351938294,-0.000111612656639837,0.00036083555173394,454.794164756932,0.0566923160541545,-0.0507671125328227,0.164126359968586,12882.3144713294,1.60584347846227,-1.43800857427167,4.64897649528983,TRUE,TRUE,FALSE,FALSE,"map_full",2005,"MAP",FALSE
"CAF","<1","Central African Republic",57.137610295232,7548.95249397688,14817.4288792299,50946.4398682452,"0-27 days mapped to model <1 completed month","estimated",1,FALSE,2020,0.037609770575779,-0.082924852477227,0.920420311927665,0.855011805271377,0.990832577264979,0.0795796880723347,0.0091674227350208,0.144988194728623,6948.20920923333,600.743284743553,69.2044387188756,1094.50899419385,46892.1380751343,4054.30179311091,467.047551116521,7386.63234434724,TRUE,FALSE,FALSE,FALSE,"map_full",2005,"MAP",FALSE
"CIV","<1","Cote d'Ivoire",62.0559536355424,27392.2659919489,55654.1700156284,49218.7126036681,"0-27 days mapped to model <1 completed month","estimated",0.999044906250652,FALSE,2020,0.0393545127169469,-0.076786837174969,0.926087239940325,0.857339163384904,1.00034806831197,0.0739127600596754,-0.000348068311969207,0.142660836615096,25367.6280081952,2024.63798375373,-9.53437978482918,3907.80358319468,45580.8217085471,3637.89089512104,-17.1314742132563,7021.58271715727,TRUE,FALSE,FALSE,FALSE,"map_full",2005,"MAP",FALSE
"CMR","<1","Cameroon",48.6084683420969,23859.4478366695,58529.8485352131,40764.5815490451,"0-27 days mapped to model <1 completed month","estimated",0.994188327616715,FALSE,2020,0.0352119296132699,-0.0885097382995274,0.915294197283548,0.85425535415269,0.980694429959864,0.0847058027164521,0.0193055700401363,0.14574464584731,21838.4141552931,2021.03368137641,460.620241329802,3477.38677506775,37311.584946533,3452.99660251214,786.98348425194,5941.21950097935,TRUE,FALSE,FALSE,FALSE,"map_full",2005,"MAP",FALSE
"COD","<1","Democratic Republic of the Congo",64.5181086884157,73984.3174206275,188322.837012299,39285.8978732334,"0-27 days mapped to model <1 completed month","estimated",0.967925701459564,FALSE,2020,0.0403885123284868,-0.0730796306276934,0.929526808275432,0.8587811909281,1.00610038555799,0.0704731917245682,-0.0061003855579902,0.1412188090719,68770.4064344323,5213.9109861952,-451.332861510558,10447.9771961384,36517.2952603412,2768.60261289218,-239.659124018551,5547.90771097831,TRUE,FALSE,FALSE,FALSE,"map_full",2005,"MAP",FALSE
"COG","<1","Congo",32.8294542135053,3184.65198687615,10321.124158586,30855.6697695268,"0-27 days mapped to model <1 completed month","estimated",0.999999884856155,FALSE,2020,0.0318084308551066,-0.0722777135512645,0.930272510651759,0.874046030683712,0.990115982103796,0.0697274893482406,0.00988401789620441,0.125953969316288,2962.59419938339,222.05778749276,31.4771572314668,401.119558638054,28704.1813843393,2151.48838518751,304.977992201376,3886.39408338449,TRUE,FALSE,FALSE,FALSE,"map_full",2005,"MAP",FALSE
