"year","iso3","age_band","start_month","end_month","observed_q","zero_pfpr_q","observed_survival","zero_pfpr_survival"
2005,"COD","<1",0,0.919917864476386,0.029350426756517,0.0273105238759314,0.970649573243483,0.972689476124069
2005,"COD","1-5",0.919917864476386,6,0.0209800068951381,0.0176307705170508,0.950285338504072,0.955540211186175
2005,"COD","6-11",6,12,0.0225646989446315,0.0129320722334852,0.92884243592923,0.943183096153115
2005,"COD","12-23",12,24,0.0175879451419971,0.00896569997136499,0.912506006120548,0.934726799494944
2005,"COD","24-35",24,36,0.0123785200043919,0.00574890768757235,0.901210532269657,0.929353141411547
2005,"COD","36-47",36,48,0.0123785200043919,0.0068481819536555,0.890054879667788,0.92298876199996
2005,"COD","48-59",48,60,0.0123785200043919,0.00704747073867209,0.879037317534814,0.916484025707642
2015,"COD","<1",0,0.919917864476386,0.0218645331456952,0.0204278010415108,0.978135466854305,0.979572198958489
2015,"COD","1-5",0.919917864476386,6,0.014738685791425,0.0131198011554638,0.96371903554689,0.966720406490733
2015,"COD","6-11",6,12,0.015243669100871,0.0106200284093595,0.949028421462803,0.956453808309894
2015,"COD","12-23",12,24,0.0112167280467697,0.00629853070789945,0.9383834277506,0.950429554627567
2015,"COD","24-35",24,36,0.00840073911206422,0.00405687081452152,0.930500313386982,0.94657378470614
2015,"COD","36-47",36,48,0.00840073911206422,0.00450715727715605,0.922683423010524,0.942307427784036
2015,"COD","48-59",48,60,0.00840073911206422,0.00457936960229923,0.914932200290787,0.937992253793221
2024,"COD","<1",0,0.919917864476386,0.0184384507455692,0.0170519348466528,0.981561549254431,0.982948065153347
2024,"COD","1-5",0.919917864476386,6,0.0125999144211487,0.0110528823162564,0.969193957734735,0.972083655866215
2024,"COD","6-11",6,12,0.0122433356410228,0.00819165733043799,0.957327790808937,0.96412067966084
2024,"COD","12-23",12,24,0.00841256814515238,0.00462798839973962,0.949274205531509,0.95965874033942
2024,"COD","24-35",24,36,0.00596980464567396,0.00282050889326912,0.943607223969308,0.95695201432779
2024,"COD","36-47",36,48,0.00596980464567396,0.0031409781763215,0.937974073179965,0.953946248934999
2024,"COD","48-59",48,60,0.00596980464567396,0.003285296393265,0.932374551200373,0.950812252764004
