"baseline","survey","country","variable","records","missing_records","regions","regions_with_any_missing","regions_with_all_missing"
"previous_primary","AO62FL","AGO","male_pct",44181,0,4,0,0
"previous_primary","AO62FL","AGO","multiple_birth_pct",44181,0,4,0,0
"previous_primary","AO62FL","AGO","mean_birth_order",44181,0,4,0,0
"previous_primary","AO62FL","AGO","mean_maternal_age_birth",44181,0,4,0,0
"previous_primary","AO62FL","AGO","mean_maternal_education_years",44181,0,4,0,0
"previous_primary","AO62FL","AGO","mean_wealth_quintile",44181,0,4,0,0
"previous_primary","AO62FL","AGO","urban_pct",44181,0,4,0,0
"previous_primary","AO62FL","AGO","dtp3_pct",44181,0,4,0,0
"previous_primary","AO62FL","AGO","measles_pct",44181,0,4,0,0
"previous_primary","AO62FL","AGO","facility_delivery_pct",44181,44181,4,4,4
"previous_primary","AO62FL","AGO","short_birth_interval_pct",44181,0,4,0,0
"previous_primary","AO62FL","AGO","improved_water_pct",44181,0,4,0,0
"previous_primary","AO62FL","AGO","improved_sanitation_pct",44181,0,4,0,0
"previous_primary","AO62FL","AGO","electricity_pct",44181,0,4,0,0
"previous_primary","AO62FL","AGO","log_hiv_incidence",44181,0,4,0,0
"previous_primary","AO62FL","AGO","log_gdp_pc",44181,0,4,0,0
"previous_primary","AO62FL","AGO","log_health_expenditure_pc",44181,0,4,0,0
"previous_primary","AO62FL","AGO","political_stability",44181,0,4,0,0
"eligible_MAP","AO62FL","AGO","male_pct",44181,0,4,0,0
"eligible_MAP","AO62FL","AGO","multiple_birth_pct",44181,0,4,0,0
"eligible_MAP","AO62FL","AGO","mean_birth_order",44181,0,4,0,0
"eligible_MAP","AO62FL","AGO","mean_maternal_age_birth",44181,0,4,0,0
"eligible_MAP","AO62FL","AGO","mean_maternal_education_years",44181,0,4,0,0
"eligible_MAP","AO62FL","AGO","mean_wealth_quintile",44181,0,4,0,0
"eligible_MAP","AO62FL","AGO","urban_pct",44181,0,4,0,0
"eligible_MAP","AO62FL","AGO","dtp3_pct",44181,0,4,0,0
"eligible_MAP","AO62FL","AGO","measles_pct",44181,0,4,0,0
"eligible_MAP","AO62FL","AGO","facility_delivery_pct",44181,44181,4,4,4
"eligible_MAP","AO62FL","AGO","short_birth_interval_pct",44181,0,4,0,0
"eligible_MAP","AO62FL","AGO","improved_water_pct",44181,0,4,0,0
"eligible_MAP","AO62FL","AGO","improved_sanitation_pct",44181,0,4,0,0
"eligible_MAP","AO62FL","AGO","electricity_pct",44181,0,4,0,0
"eligible_MAP","AO62FL","AGO","log_hiv_incidence",44181,0,4,0,0
"eligible_MAP","AO62FL","AGO","log_gdp_pc",44181,0,4,0,0
"eligible_MAP","AO62FL","AGO","log_health_expenditure_pc",44181,0,4,0,0
"eligible_MAP","AO62FL","AGO","political_stability",44181,0,4,0,0
"regional_baseline","AO62FL","AGO","male_pct",44181,0,4,0,0
"regional_baseline","AO62FL","AGO","multiple_birth_pct",44181,0,4,0,0
"regional_baseline","AO62FL","AGO","mean_birth_order",44181,0,4,0,0
"regional_baseline","AO62FL","AGO","mean_maternal_age_birth",44181,0,4,0,0
"regional_baseline","AO62FL","AGO","mean_maternal_education_years",44181,0,4,0,0
"regional_baseline","AO62FL","AGO","mean_wealth_quintile",44181,0,4,0,0
"regional_baseline","AO62FL","AGO","urban_pct",44181,0,4,0,0
"regional_baseline","AO62FL","AGO","dtp3_pct",44181,0,4,0,0
"regional_baseline","AO62FL","AGO","measles_pct",44181,0,4,0,0
"regional_baseline","AO62FL","AGO","facility_delivery_pct",44181,44181,4,4,4
"regional_baseline","AO62FL","AGO","short_birth_interval_pct",44181,0,4,0,0
"regional_baseline","AO62FL","AGO","improved_water_pct",44181,0,4,0,0
"regional_baseline","AO62FL","AGO","improved_sanitation_pct",44181,0,4,0,0
"regional_baseline","AO62FL","AGO","electricity_pct",44181,0,4,0,0
"regional_baseline","AO62FL","AGO","log_hiv_incidence",44181,0,4,0,0
"regional_baseline","AO62FL","AGO","log_gdp_pc",44181,0,4,0,0
