"survey","regkey","male_pct","multiple_birth_pct","mean_birth_order","mean_maternal_age_birth","mean_maternal_education_years","mean_wealth_quintile","urban_pct","dtp3_pct","measles_pct","facility_delivery_pct","short_birth_interval_pct","improved_water_pct","improved_sanitation_pct","electricity_pct","country","survey_year","dtp3_pct_before_imputation","dtp3_pct_imputed","dtp3_pct_source_year","dtp3_pct_imputation_source","measles_pct_before_imputation","measles_pct_imputed","measles_pct_source_year","measles_pct_imputation_source","male_pct_before_regional_mean","male_pct_regional_mean_imputed","male_pct_donor_regions","male_pct_regional_mean_source","multiple_birth_pct_before_regional_mean","multiple_birth_pct_regional_mean_imputed","multiple_birth_pct_donor_regions","multiple_birth_pct_regional_mean_source","mean_birth_order_before_regional_mean","mean_birth_order_regional_mean_imputed","mean_birth_order_donor_regions","mean_birth_order_regional_mean_source","mean_maternal_age_birth_before_regional_mean","mean_maternal_age_birth_regional_mean_imputed","mean_maternal_age_birth_donor_regions","mean_maternal_age_birth_regional_mean_source","mean_maternal_education_years_before_regional_mean","mean_maternal_education_years_regional_mean_imputed","mean_maternal_education_years_donor_regions","mean_maternal_education_years_regional_mean_source","mean_wealth_quintile_before_regional_mean","mean_wealth_quintile_regional_mean_imputed","mean_wealth_quintile_donor_regions","mean_wealth_quintile_regional_mean_source","urban_pct_before_regional_mean","urban_pct_regional_mean_imputed","urban_pct_donor_regions","urban_pct_regional_mean_source","dtp3_pct_before_regional_mean","dtp3_pct_regional_mean_imputed","dtp3_pct_donor_regions","dtp3_pct_regional_mean_source","measles_pct_before_regional_mean","measles_pct_regional_mean_imputed","measles_pct_donor_regions","measles_pct_regional_mean_source","facility_delivery_pct_before_regional_mean","facility_delivery_pct_regional_mean_imputed","facility_delivery_pct_donor_regions","facility_delivery_pct_regional_mean_source","short_birth_interval_pct_before_regional_mean","short_birth_interval_pct_regional_mean_imputed","short_birth_interval_pct_donor_regions","short_birth_interval_pct_regional_mean_source","improved_water_pct_before_regional_mean","improved_water_pct_regional_mean_imputed","improved_water_pct_donor_regions","improved_water_pct_regional_mean_source","improved_sanitation_pct_before_regional_mean","improved_sanitation_pct_regional_mean_imputed","improved_sanitation_pct_donor_regions","improved_sanitation_pct_regional_mean_source","electricity_pct_before_regional_mean","electricity_pct_regional_mean_imputed","electricity_pct_donor_regions","electricity_pct_regional_mean_source"
"AO62FL","hyperendemic",50.7233562578945,3.94152562072325,3.4983578048842,26.2331503977405,2.81326733670018,2.21901185497183,18.0455585615713,50,59,,25.1,30.7,24.5,16.3,"AGO",2011,,TRUE,2011,"UNICEF_WUENIC_country_year",,TRUE,2011,"UNICEF_WUENIC_country_year",50.7233562578945,FALSE,4,"retained_input_estimate",3.94152562072325,FALSE,4,"retained_input_estimate",3.4983578048842,FALSE,4,"retained_input_estimate",26.2331503977405,FALSE,4,"retained_input_estimate",2.81326733670018,FALSE,4,"retained_input_estimate",2.21901185497183,FALSE,4,"retained_input_estimate",18.0455585615713,FALSE,4,"retained_input_estimate",50,FALSE,4,"retained_input_estimate",59,FALSE,4,"retained_input_estimate",,FALSE,0,"no_available_region_same_survey",25.1,FALSE,3,"retained_input_estimate",30.7,FALSE,3,"retained_input_estimate",24.5,FALSE,3,"retained_input_estimate",16.3,FALSE,3,"retained_input_estimate"
"AO62FL","luanda",50.1304802722597,2.64461417163703,3.11143367532095,26.3524411037196,7.66690525230786,4.37517643594449,96.1428002022976,50,59,,18,97.7,92.7,87.3,"AGO",2011,,TRUE,2011,"UNICEF_WUENIC_country_year",,TRUE,2011,"UNICEF_WUENIC_country_year",50.1304802722597,FALSE,4,"retained_input_estimate",2.64461417163703,FALSE,4,"retained_input_estimate",3.11143367532095,FALSE,4,"retained_input_estimate",26.3524411037196,FALSE,4,"retained_input_estimate",7.66690525230786,FALSE,4,"retained_input_estimate",4.37517643594449,FALSE,4,"retained_input_estimate",96.1428002022976,FALSE,4,"retained_input_estimate",50,FALSE,4,"retained_input_estimate",59,FALSE,4,"retained_input_estimate",,FALSE,0,"no_available_region_same_survey",18,FALSE,3,"retained_input_estimate",97.7,FALSE,3,"retained_input_estimate",92.7,FALSE,3,"retained_input_estimate",87.3,FALSE,3,"retained_input_estimate"
"AO62FL","mesoendemicstable",49.4126055097753,2.29752194435021,3.30492717204679,24.7717476925919,3.5406420513311,2.604171443398,20.6472247769324,50,59,,27.1,51.2,34.3,17.5,"AGO",2011,,TRUE,2011,"UNICEF_WUENIC_country_year",,TRUE,2011,"UNICEF_WUENIC_country_year",49.4126055097753,FALSE,4,"retained_input_estimate",2.29752194435021,FALSE,4,"retained_input_estimate",3.30492717204679,FALSE,4,"retained_input_estimate",24.7717476925919,FALSE,4,"retained_input_estimate",3.5406420513311,FALSE,4,"retained_input_estimate",2.604171443398,FALSE,4,"retained_input_estimate",20.6472247769324,FALSE,4,"retained_input_estimate",50,FALSE,4,"retained_input_estimate",59,FALSE,4,"retained_input_estimate",,FALSE,0,"no_available_region_same_survey",27.1,FALSE,3,"retained_input_estimate",51.2,FALSE,3,"retained_input_estimate",34.3,FALSE,3,"retained_input_estimate",17.5,FALSE,3,"retained_input_estimate"
"AO62FL","mesoendemicunstable",50.5988852760608,4.31050297331951,3.30617946272818,25.1136744497151,3.84777406302458,2.41598015749753,23.6413898352196,50,59,,23.4,59.8666666666667,50.5,40.3666666666667,"AGO",2011,,TRUE,2011,"UNICEF_WUENIC_country_year",,TRUE,2011,"UNICEF_WUENIC_country_year",50.5988852760608,FALSE,4,"retained_input_estimate",4.31050297331951,FALSE,4,"retained_input_estimate",3.30617946272818,FALSE,4,"retained_input_estimate",25.1136744497151,FALSE,4,"retained_input_estimate",3.84777406302458,FALSE,4,"retained_input_estimate",2.41598015749753,FALSE,4,"retained_input_estimate",23.6413898352196,FALSE,4,"retained_input_estimate",50,FALSE,4,"retained_input_estimate",59,FALSE,4,"retained_input_estimate",,FALSE,0,"no_available_region_same_survey",,TRUE,3,"mean_available_regions_same_survey",,TRUE,3,"mean_available_regions_same_survey",,TRUE,3,"mean_available_regions_same_survey",,TRUE,3,"mean_available_regions_same_survey"
"AO71FL","bengo",50.356265909835,2.7384872677375,3.16848190092561,26.0686134758223,4.46578406942991,2.74554605853736,41.6254948256166,30.8,41.5,41.1,20.2,41.9,62.3,31.2,"AGO",2015,30.8,FALSE,2015,"retained_regional_estimate",41.5,FALSE,2015,"retained_regional_estimate",50.356265909835,FALSE,18,"retained_input_estimate",2.7384872677375,FALSE,18,"retained_input_estimate",3.16848190092561,FALSE,18,"retained_input_estimate",26.0686134758223,FALSE,18,"retained_input_estimate",4.46578406942991,FALSE,18,"retained_input_estimate",2.74554605853736,FALSE,18,"retained_input_estimate",41.6254948256166,FALSE,18,"retained_input_estimate",30.8,FALSE,18,"retained_input_estimate",41.5,FALSE,18,"retained_input_estimate",41.1,FALSE,18,"retained_input_estimate",20.2,FALSE,18,"retained_input_estimate",41.9,FALSE,18,"retained_input_estimate",62.3,FALSE,18,"retained_input_estimate",31.2,FALSE,18,"retained_input_estimate"
"AO71FL","benguela",50.3075817952362,3.12956992283117,4.01160334818535,26.9702558285072,4.37291855949538,2.68237278594093,64.3902656121397,32.9,48.6,47.1,30.4,60.6,48.3,33.8,"AGO",2015,32.9,FALSE,2015,"retained_regional_estimate",48.6,FALSE,2015,"retained_regional_estimate",50.3075817952362,FALSE,18,"retained_input_estimate",3.12956992283117,FALSE,18,"retained_input_estimate",4.01160334818535,FALSE,18,"retained_input_estimate",26.9702558285072,FALSE,18,"retained_input_estimate",4.37291855949538,FALSE,18,"retained_input_estimate",2.68237278594093,FALSE,18,"retained_input_estimate",64.3902656121397,FALSE,18,"retained_input_estimate",32.9,FALSE,18,"retained_input_estimate",48.6,FALSE,18,"retained_input_estimate",47.1,FALSE,18,"retained_input_estimate",30.4,FALSE,18,"retained_input_estimate",60.6,FALSE,18,"retained_input_estimate",48.3,FALSE,18,"retained_input_estimate",33.8,FALSE,18,"retained_input_estimate"
"AO71FL","bie",48.8266900361529,4.44550335291965,4.06937005247048,25.8603035346069,2.75592639220167,1.94902376156848,43.5726942462947,15.4,27.8,17.3,28.6,56.7,70,5.3,"AGO",2015,15.4,FALSE,2015,"retained_regional_estimate",27.8,FALSE,2015,"retained_regional_estimate",48.8266900361529,FALSE,18,"retained_input_estimate",4.44550335291965,FALSE,18,"retained_input_estimate",4.06937005247048,FALSE,18,"retained_input_estimate",25.8603035346069,FALSE,18,"retained_input_estimate",2.75592639220167,FALSE,18,"retained_input_estimate",1.94902376156848,FALSE,18,"retained_input_estimate",43.5726942462947,FALSE,18,"retained_input_estimate",15.4,FALSE,18,"retained_input_estimate",27.8,FALSE,18,"retained_input_estimate",17.3,FALSE,18,"retained_input_estimate",28.6,FALSE,18,"retained_input_estimate",56.7,FALSE,18,"retained_input_estimate",70,FALSE,18,"retained_input_estimate",5.3,FALSE,18,"retained_input_estimate"
"AO71FL","cabinda",50.2847049323257,3.13099362453445,2.83713823144641,25.4404196975397,6.58301016389242,3.52757832364731,81.4905776189097,59.5,62.8,83.2,14.2,85.3,70.9,63.4,"AGO",2015,59.5,FALSE,2015,"retained_regional_estimate",62.8,FALSE,2015,"retained_regional_estimate",50.2847049323257,FALSE,18,"retained_input_estimate",3.13099362453445,FALSE,18,"retained_input_estimate",2.83713823144641,FALSE,18,"retained_input_estimate",25.4404196975397,FALSE,18,"retained_input_estimate",6.58301016389242,FALSE,18,"retained_input_estimate",3.52757832364731,FALSE,18,"retained_input_estimate",81.4905776189097,FALSE,18,"retained_input_estimate",59.5,FALSE,18,"retained_input_estimate",62.8,FALSE,18,"retained_input_estimate",83.2,FALSE,18,"retained_input_estimate",14.2,FALSE,18,"retained_input_estimate",85.3,FALSE,18,"retained_input_estimate",70.9,FALSE,18,"retained_input_estimate",63.4,FALSE,18,"retained_input_estimate"
"AO71FL","cuandocubango",48.5727251857626,1.66394187805102,2.93565466730554,24.0613697912985,2.8026020593585,2.37500334536333,58.8686030817539,22.7,43.6,20.8,23.2,54.3,46.1,26.4,"AGO",2015,22.7,FALSE,2015,"retained_regional_estimate",43.6,FALSE,2015,"retained_regional_estimate",48.5727251857626,FALSE,18,"retained_input_estimate",1.66394187805102,FALSE,18,"retained_input_estimate",2.93565466730554,FALSE,18,"retained_input_estimate",24.0613697912985,FALSE,18,"retained_input_estimate",2.8026020593585,FALSE,18,"retained_input_estimate",2.37500334536333,FALSE,18,"retained_input_estimate",58.8686030817539,FALSE,18,"retained_input_estimate",22.7,FALSE,18,"retained_input_estimate",43.6,FALSE,18,"retained_input_estimate",20.8,FALSE,18,"retained_input_estimate",23.2,FALSE,18,"retained_input_estimate",54.3,FALSE,18,"retained_input_estimate",46.1,FALSE,18,"retained_input_estimate",26.4,FALSE,18,"retained_input_estimate"
"AO71FL","cuanzanorte",52.5888563766557,2.74615328157948,3.69356189666867,26.5769427170151,3.7069493917186,2.68421141562869,61.1975243908629,33.3,56.7,36.6,25.1,79.3,49.6,31.3,"AGO",2015,33.3,FALSE,2015,"retained_regional_estimate",56.7,FALSE,2015,"retained_regional_estimate",52.5888563766557,FALSE,18,"retained_input_estimate",2.74615328157948,FALSE,18,"retained_input_estimate",3.69356189666867,FALSE,18,"retained_input_estimate",26.5769427170151,FALSE,18,"retained_input_estimate",3.7069493917186,FALSE,18,"retained_input_estimate",2.68421141562869,FALSE,18,"retained_input_estimate",61.1975243908629,FALSE,18,"retained_input_estimate",33.3,FALSE,18,"retained_input_estimate",56.7,FALSE,18,"retained_input_estimate",36.6,FALSE,18,"retained_input_estimate",25.1,FALSE,18,"retained_input_estimate",79.3,FALSE,18,"retained_input_estimate",49.6,FALSE,18,"retained_input_estimate",31.3,FALSE,18,"retained_input_estimate"
