"survey","country","region","records","children","deaths","complete_case_records","complete_case_children","complete_case_deaths","baseline"
"AO62FL","AGO","AGO:AO62FL:mesoendemicstable",11773,3362,174,0,0,0,"previous_primary"
"AO62FL","AGO","AGO:AO62FL:hyperendemic",11128,3220,122,0,0,0,"previous_primary"
"AO62FL","AGO","AGO:AO62FL:mesoendemicunstable",12127,3510,212,0,0,0,"previous_primary"
"AO62FL","AGO","AGO:AO62FL:luanda",9153,2715,92,0,0,0,"previous_primary"
"AO62FL","AGO","AGO:AO62FL:mesoendemicstable",11773,3362,174,0,0,0,"eligible_MAP"
"AO62FL","AGO","AGO:AO62FL:hyperendemic",11128,3220,122,0,0,0,"eligible_MAP"
"AO62FL","AGO","AGO:AO62FL:mesoendemicunstable",12127,3510,212,0,0,0,"eligible_MAP"
"AO62FL","AGO","AGO:AO62FL:luanda",9153,2715,92,0,0,0,"eligible_MAP"
"AO62FL","AGO","AGO:AO62FL:mesoendemicstable",11773,3362,174,0,0,0,"regional_baseline"
"AO62FL","AGO","AGO:AO62FL:hyperendemic",11128,3220,122,0,0,0,"regional_baseline"
"AO62FL","AGO","AGO:AO62FL:mesoendemicunstable",12127,3510,212,0,0,0,"regional_baseline"
"AO62FL","AGO","AGO:AO62FL:luanda",9153,2715,92,0,0,0,"regional_baseline"
"AO71FL","AGO","AGO:AO71FL:benguela",4829,1459,95,4829,1459,95,"previous_primary"
"AO71FL","AGO","AGO:AO71FL:lundasul",4901,1448,39,4901,1448,39,"previous_primary"
"AO71FL","AGO","AGO:AO71FL:luanda",7158,2141,49,7158,2141,49,"previous_primary"
"AO71FL","AGO","AGO:AO71FL:cuandocubango",3477,1037,37,3477,1037,37,"previous_primary"
"AO71FL","AGO","AGO:AO71FL:namibe",4128,1257,42,4128,1257,42,"previous_primary"
"AO71FL","AGO","AGO:AO71FL:cabinda",3191,921,17,3191,921,17,"previous_primary"
"AO71FL","AGO","AGO:AO71FL:cuanzasul",4155,1204,67,4155,1204,67,"previous_primary"
