"baseline","variable","year","records","missing_before","missing_after","missing_after_pct"
"previous_primary","male_pct",2008,341736,0,0,0
"previous_primary","male_pct",2006,269037,0,0,0
"previous_primary","male_pct",2009,390467,0,0,0
"previous_primary","male_pct",2007,313228,0,0,0
"previous_primary","male_pct",2010,382179,0,0,0
"previous_primary","male_pct",2011,361765,0,0,0
"previous_primary","multiple_birth_pct",2008,341736,0,0,0
"previous_primary","multiple_birth_pct",2006,269037,0,0,0
"previous_primary","multiple_birth_pct",2009,390467,0,0,0
"previous_primary","multiple_birth_pct",2007,313228,0,0,0
"previous_primary","multiple_birth_pct",2010,382179,0,0,0
"previous_primary","multiple_birth_pct",2011,361765,0,0,0
"previous_primary","mean_birth_order",2008,341736,0,0,0
"previous_primary","mean_birth_order",2006,269037,0,0,0
"previous_primary","mean_birth_order",2009,390467,0,0,0
"previous_primary","mean_birth_order",2007,313228,0,0,0
"previous_primary","mean_birth_order",2010,382179,0,0,0
"previous_primary","mean_birth_order",2011,361765,0,0,0
"previous_primary","mean_maternal_age_birth",2008,341736,0,0,0
"previous_primary","mean_maternal_age_birth",2006,269037,0,0,0
"previous_primary","mean_maternal_age_birth",2009,390467,0,0,0
"previous_primary","mean_maternal_age_birth",2007,313228,0,0,0
"previous_primary","mean_maternal_age_birth",2010,382179,0,0,0
"previous_primary","mean_maternal_age_birth",2011,361765,0,0,0
"previous_primary","mean_maternal_education_years",2008,341736,0,0,0
"previous_primary","mean_maternal_education_years",2006,269037,0,0,0
"previous_primary","mean_maternal_education_years",2009,390467,0,0,0
"previous_primary","mean_maternal_education_years",2007,313228,0,0,0
"previous_primary","mean_maternal_education_years",2010,382179,0,0,0
"previous_primary","mean_maternal_education_years",2011,361765,0,0,0
"previous_primary","mean_wealth_quintile",2008,341736,0,0,0
"previous_primary","mean_wealth_quintile",2006,269037,0,0,0
"previous_primary","mean_wealth_quintile",2009,390467,0,0,0
"previous_primary","mean_wealth_quintile",2007,313228,0,0,0
"previous_primary","mean_wealth_quintile",2010,382179,0,0,0
"previous_primary","mean_wealth_quintile",2011,361765,0,0,0
"previous_primary","urban_pct",2008,341736,0,0,0
"previous_primary","urban_pct",2006,269037,0,0,0
"previous_primary","urban_pct",2009,390467,0,0,0
"previous_primary","urban_pct",2007,313228,0,0,0
"previous_primary","urban_pct",2010,382179,0,0,0
"previous_primary","urban_pct",2011,361765,0,0,0
"previous_primary","dtp3_pct",2008,341736,0,0,0
"previous_primary","dtp3_pct",2006,269037,0,0,0
"previous_primary","dtp3_pct",2009,390467,0,0,0
"previous_primary","dtp3_pct",2007,313228,0,0,0
"previous_primary","dtp3_pct",2010,382179,0,0,0
"previous_primary","dtp3_pct",2011,361765,0,0,0
"previous_primary","measles_pct",2008,341736,0,0,0
"previous_primary","measles_pct",2006,269037,0,0,0
"previous_primary","measles_pct",2009,390467,0,0,0
"previous_primary","measles_pct",2007,313228,0,0,0
"previous_primary","measles_pct",2010,382179,0,0,0
"previous_primary","measles_pct",2011,361765,0,0,0
"previous_primary","facility_delivery_pct",2008,341736,31143,29290,8.57094365241005
"previous_primary","facility_delivery_pct",2006,269037,40277,39966,14.8552057895382
"previous_primary","facility_delivery_pct",2009,390467,21851,18977,4.86007780427027
"previous_primary","facility_delivery_pct",2007,313228,42500,41449,13.2328527462424
"previous_primary","facility_delivery_pct",2010,382179,10550,7369,1.92815408486599
"previous_primary","facility_delivery_pct",2011,361765,2465,202,0.0558373529777618
"previous_primary","exclusive_breastfeeding_pct",2008,341736,43174,43174,12.6337289603671
"previous_primary","exclusive_breastfeeding_pct",2006,269037,63889,63889,23.7472912647703
"previous_primary","exclusive_breastfeeding_pct",2009,390467,32849,32849,8.41274678782074
"previous_primary","exclusive_breastfeeding_pct",2007,313228,59189,59189,18.8964588095573
"previous_primary","exclusive_breastfeeding_pct",2010,382179,19922,19922,5.21274062677437
"previous_primary","exclusive_breastfeeding_pct",2011,361765,2652,2652,0.733072574737744
"previous_primary","short_birth_interval_pct",2008,341736,5867,0,0
"previous_primary","short_birth_interval_pct",2006,269037,3591,0,0
"previous_primary","short_birth_interval_pct",2009,390467,6182,0,0
"previous_primary","short_birth_interval_pct",2007,313228,4928,0,0
"previous_primary","short_birth_interval_pct",2010,382179,4745,0,0
"previous_primary","short_birth_interval_pct",2011,361765,2332,0,0
"previous_primary","improved_water_pct",2008,341736,5867,0,0
"previous_primary","improved_water_pct",2006,269037,3591,0,0
"previous_primary","improved_water_pct",2009,390467,6182,0,0
"previous_primary","improved_water_pct",2007,313228,4928,0,0
"previous_primary","improved_water_pct",2010,382179,4745,0,0
"previous_primary","improved_water_pct",2011,361765,2332,0,0
"previous_primary","improved_sanitation_pct",2008,341736,5867,0,0
"previous_primary","improved_sanitation_pct",2006,269037,3591,0,0
"previous_primary","improved_sanitation_pct",2009,390467,6182,0,0
"previous_primary","improved_sanitation_pct",2007,313228,4928,0,0
"previous_primary","improved_sanitation_pct",2010,382179,4745,0,0
"previous_primary","improved_sanitation_pct",2011,361765,2332,0,0
"previous_primary","electricity_pct",2008,341736,5867,0,0
"previous_primary","electricity_pct",2006,269037,8331,4740,1.76183944959244
"previous_primary","electricity_pct",2009,390467,6182,0,0
