"survey","country","variable","regions","missing_regions","recoverable_regions","regions_without_donors","missing_records","recoverable_records","no_donor_records"
"AO62FL","AGO","male_pct",4,0,0,0,0,0,0
"AO62FL","AGO","multiple_birth_pct",4,0,0,0,0,0,0
"AO62FL","AGO","mean_birth_order",4,0,0,0,0,0,0
"AO62FL","AGO","mean_maternal_age_birth",4,0,0,0,0,0,0
"AO62FL","AGO","mean_maternal_education_years",4,0,0,0,0,0,0
"AO62FL","AGO","mean_wealth_quintile",4,0,0,0,0,0,0
"AO62FL","AGO","urban_pct",4,0,0,0,0,0,0
"AO62FL","AGO","dtp3_pct",4,0,0,0,0,0,0
"AO62FL","AGO","measles_pct",4,0,0,0,0,0,0
"AO62FL","AGO","facility_delivery_pct",4,4,0,4,44181,0,44181
"AO62FL","AGO","exclusive_breastfeeding_pct",4,4,0,4,44181,0,44181
"AO62FL","AGO","short_birth_interval_pct",4,1,1,0,12127,12127,0
"AO62FL","AGO","improved_water_pct",4,1,1,0,12127,12127,0
"AO62FL","AGO","improved_sanitation_pct",4,1,1,0,12127,12127,0
"AO62FL","AGO","electricity_pct",4,1,1,0,12127,12127,0
"AO71FL","AGO","male_pct",18,0,0,0,0,0,0
"AO71FL","AGO","multiple_birth_pct",18,0,0,0,0,0,0
"AO71FL","AGO","mean_birth_order",18,0,0,0,0,0,0
"AO71FL","AGO","mean_maternal_age_birth",18,0,0,0,0,0,0
"AO71FL","AGO","mean_maternal_education_years",18,0,0,0,0,0,0
"AO71FL","AGO","mean_wealth_quintile",18,0,0,0,0,0,0
"AO71FL","AGO","urban_pct",18,0,0,0,0,0,0
"AO71FL","AGO","dtp3_pct",18,0,0,0,0,0,0
"AO71FL","AGO","measles_pct",18,0,0,0,0,0,0
"AO71FL","AGO","facility_delivery_pct",18,0,0,0,0,0,0
"AO71FL","AGO","exclusive_breastfeeding_pct",18,0,0,0,0,0,0
"AO71FL","AGO","short_birth_interval_pct",18,0,0,0,0,0,0
"AO71FL","AGO","improved_water_pct",18,0,0,0,0,0,0
"AO71FL","AGO","improved_sanitation_pct",18,0,0,0,0,0,0
"AO71FL","AGO","electricity_pct",18,0,0,0,0,0,0
"AO81FL","AGO","male_pct",18,0,0,0,0,0,0
"AO81FL","AGO","multiple_birth_pct",18,0,0,0,0,0,0
"AO81FL","AGO","mean_birth_order",18,0,0,0,0,0,0
"AO81FL","AGO","mean_maternal_age_birth",18,0,0,0,0,0,0
"AO81FL","AGO","mean_maternal_education_years",18,0,0,0,0,0,0
"AO81FL","AGO","mean_wealth_quintile",18,0,0,0,0,0,0
"AO81FL","AGO","urban_pct",18,0,0,0,0,0,0
"AO81FL","AGO","dtp3_pct",18,0,0,0,0,0,0
"AO81FL","AGO","measles_pct",18,0,0,0,0,0,0
"AO81FL","AGO","facility_delivery_pct",18,0,0,0,0,0,0
"AO81FL","AGO","exclusive_breastfeeding_pct",18,0,0,0,0,0,0
"AO81FL","AGO","short_birth_interval_pct",18,0,0,0,0,0,0
"AO81FL","AGO","improved_water_pct",18,0,0,0,0,0,0
"AO81FL","AGO","improved_sanitation_pct",18,0,0,0,0,0,0
"AO81FL","AGO","electricity_pct",18,0,0,0,0,0,0
"BU61FL","BDI","male_pct",4,0,0,0,0,0,0
"BU61FL","BDI","multiple_birth_pct",4,0,0,0,0,0,0
"BU61FL","BDI","mean_birth_order",4,0,0,0,0,0,0
"BU61FL","BDI","mean_maternal_age_birth",4,0,0,0,0,0,0
"BU61FL","BDI","mean_maternal_education_years",4,0,0,0,0,0,0
"BU61FL","BDI","mean_wealth_quintile",4,0,0,0,0,0,0
"BU61FL","BDI","urban_pct",4,0,0,0,0,0,0
"BU61FL","BDI","dtp3_pct",4,0,0,0,0,0,0
"BU61FL","BDI","measles_pct",4,0,0,0,0,0,0
"BU61FL","BDI","facility_delivery_pct",4,0,0,0,0,0,0
"BU61FL","BDI","exclusive_breastfeeding_pct",4,0,0,0,0,0,0
"BU61FL","BDI","short_birth_interval_pct",4,0,0,0,0,0,0
"BU61FL","BDI","improved_water_pct",4,0,0,0,0,0,0
"BU61FL","BDI","improved_sanitation_pct",4,0,0,0,0,0,0
"BU61FL","BDI","electricity_pct",4,0,0,0,0,0,0
"BU71FL","BDI","male_pct",18,0,0,0,0,0,0
"BU71FL","BDI","multiple_birth_pct",18,0,0,0,0,0,0
"BU71FL","BDI","mean_birth_order",18,0,0,0,0,0,0
"BU71FL","BDI","mean_maternal_age_birth",18,0,0,0,0,0,0
"BU71FL","BDI","mean_maternal_education_years",18,0,0,0,0,0,0
"BU71FL","BDI","mean_wealth_quintile",18,0,0,0,0,0,0
"BU71FL","BDI","urban_pct",18,0,0,0,0,0,0
"BU71FL","BDI","dtp3_pct",18,0,0,0,0,0,0
"BU71FL","BDI","measles_pct",18,0,0,0,0,0,0
"BU71FL","BDI","facility_delivery_pct",18,0,0,0,0,0,0
"BU71FL","BDI","exclusive_breastfeeding_pct",18,0,0,0,0,0,0
"BU71FL","BDI","short_birth_interval_pct",18,0,0,0,0,0,0
"BU71FL","BDI","improved_water_pct",18,0,0,0,0,0,0
"BU71FL","BDI","improved_sanitation_pct",18,0,0,0,0,0,0
"BU71FL","BDI","electricity_pct",18,0,0,0,0,0,0
"BJ41FL","BEN","male_pct",1,0,0,0,0,0,0
"BJ41FL","BEN","multiple_birth_pct",1,0,0,0,0,0,0
"BJ41FL","BEN","mean_birth_order",1,0,0,0,0,0,0
"BJ41FL","BEN","mean_maternal_age_birth",1,0,0,0,0,0,0
"BJ41FL","BEN","mean_maternal_education_years",1,0,0,0,0,0,0
"BJ41FL","BEN","mean_wealth_quintile",1,1,0,1,1588,0,1588
"BJ41FL","BEN","urban_pct",1,0,0,0,0,0,0
"BJ41FL","BEN","dtp3_pct",1,0,0,0,0,0,0
"BJ41FL","BEN","measles_pct",1,0,0,0,0,0,0
"BJ41FL","BEN","facility_delivery_pct",1,0,0,0,0,0,0
"BJ41FL","BEN","exclusive_breastfeeding_pct",1,1,0,1,1588,0,1588
"BJ41FL","BEN","short_birth_interval_pct",1,0,0,0,0,0,0
"BJ41FL","BEN","improved_water_pct",1,0,0,0,0,0,0
"BJ41FL","BEN","improved_sanitation_pct",1,0,0,0,0,0,0
"BJ41FL","BEN","electricity_pct",1,0,0,0,0,0,0
"BJ51FL","BEN","male_pct",12,0,0,0,0,0,0
"BJ51FL","BEN","multiple_birth_pct",12,0,0,0,0,0,0
"BJ51FL","BEN","mean_birth_order",12,0,0,0,0,0,0
"BJ51FL","BEN","mean_maternal_age_birth",12,0,0,0,0,0,0
"BJ51FL","BEN","mean_maternal_education_years",12,0,0,0,0,0,0
"BJ51FL","BEN","mean_wealth_quintile",12,0,0,0,0,0,0
"BJ51FL","BEN","urban_pct",12,0,0,0,0,0,0
"BJ51FL","BEN","dtp3_pct",12,0,0,0,0,0,0
"BJ51FL","BEN","measles_pct",12,0,0,0,0,0,0
"BJ51FL","BEN","facility_delivery_pct",12,0,0,0,0,0,0
"BJ51FL","BEN","exclusive_breastfeeding_pct",12,0,0,0,0,0,0
"BJ51FL","BEN","short_birth_interval_pct",12,0,0,0,0,0,0
"BJ51FL","BEN","improved_water_pct",12,0,0,0,0,0,0
"BJ51FL","BEN","improved_sanitation_pct",12,0,0,0,0,0,0
"BJ51FL","BEN","electricity_pct",12,12,0,12,88834,0,88834
"BJ61FL","BEN","male_pct",12,0,0,0,0,0,0
"BJ61FL","BEN","multiple_birth_pct",12,0,0,0,0,0,0
"BJ61FL","BEN","mean_birth_order",12,0,0,0,0,0,0
"BJ61FL","BEN","mean_maternal_age_birth",12,0,0,0,0,0,0
"BJ61FL","BEN","mean_maternal_education_years",12,0,0,0,0,0,0
"BJ61FL","BEN","mean_wealth_quintile",12,0,0,0,0,0,0
"BJ61FL","BEN","urban_pct",12,0,0,0,0,0,0
"BJ61FL","BEN","dtp3_pct",12,0,0,0,0,0,0
"BJ61FL","BEN","measles_pct",12,0,0,0,0,0,0
"BJ61FL","BEN","facility_delivery_pct",12,0,0,0,0,0,0
"BJ61FL","BEN","exclusive_breastfeeding_pct",12,0,0,0,0,0,0
"BJ61FL","BEN","short_birth_interval_pct",12,0,0,0,0,0,0
"BJ61FL","BEN","improved_water_pct",12,0,0,0,0,0,0
"BJ61FL","BEN","improved_sanitation_pct",12,0,0,0,0,0,0
"BJ61FL","BEN","electricity_pct",12,0,0,0,0,0,0
"BJ71FL","BEN","male_pct",12,0,0,0,0,0,0
"BJ71FL","BEN","multiple_birth_pct",12,0,0,0,0,0,0
"BJ71FL","BEN","mean_birth_order",12,0,0,0,0,0,0
"BJ71FL","BEN","mean_maternal_age_birth",12,0,0,0,0,0,0
"BJ71FL","BEN","mean_maternal_education_years",12,0,0,0,0,0,0
"BJ71FL","BEN","mean_wealth_quintile",12,0,0,0,0,0,0
"BJ71FL","BEN","urban_pct",12,0,0,0,0,0,0
"BJ71FL","BEN","dtp3_pct",12,0,0,0,0,0,0
"BJ71FL","BEN","measles_pct",12,0,0,0,0,0,0
"BJ71FL","BEN","facility_delivery_pct",12,0,0,0,0,0,0
"BJ71FL","BEN","exclusive_breastfeeding_pct",12,0,0,0,0,0,0
"BJ71FL","BEN","short_birth_interval_pct",12,0,0,0,0,0,0
"BJ71FL","BEN","improved_water_pct",12,0,0,0,0,0,0
"BJ71FL","BEN","improved_sanitation_pct",12,0,0,0,0,0,0
"BJ71FL","BEN","electricity_pct",12,0,0,0,0,0,0
"BF43FL","BFA","male_pct",13,0,0,0,0,0,0
"BF43FL","BFA","multiple_birth_pct",13,0,0,0,0,0,0
"BF43FL","BFA","mean_birth_order",13,0,0,0,0,0,0
"BF43FL","BFA","mean_maternal_age_birth",13,0,0,0,0,0,0
"BF43FL","BFA","mean_maternal_education_years",13,0,0,0,0,0,0
"BF43FL","BFA","mean_wealth_quintile",13,0,0,0,0,0,0
"BF43FL","BFA","urban_pct",13,0,0,0,0,0,0
"BF43FL","BFA","dtp3_pct",13,0,0,0,0,0,0
"BF43FL","BFA","measles_pct",13,0,0,0,0,0,0
"BF43FL","BFA","facility_delivery_pct",13,0,0,0,0,0,0
"BF43FL","BFA","exclusive_breastfeeding_pct",13,13,0,13,40778,0,40778
"BF43FL","BFA","short_birth_interval_pct",13,0,0,0,0,0,0
"BF43FL","BFA","improved_water_pct",13,0,0,0,0,0,0
"BF43FL","BFA","improved_sanitation_pct",13,0,0,0,0,0,0
"BF43FL","BFA","electricity_pct",13,0,0,0,0,0,0
"BF62FL","BFA","male_pct",13,0,0,0,0,0,0
"BF62FL","BFA","multiple_birth_pct",13,0,0,0,0,0,0
"BF62FL","BFA","mean_birth_order",13,0,0,0,0,0,0
"BF62FL","BFA","mean_maternal_age_birth",13,0,0,0,0,0,0
"BF62FL","BFA","mean_maternal_education_years",13,0,0,0,0,0,0
"BF62FL","BFA","mean_wealth_quintile",13,0,0,0,0,0,0
"BF62FL","BFA","urban_pct",13,0,0,0,0,0,0
"BF62FL","BFA","dtp3_pct",13,0,0,0,0,0,0
"BF62FL","BFA","measles_pct",13,0,0,0,0,0,0
"BF62FL","BFA","facility_delivery_pct",13,0,0,0,0,0,0
"BF62FL","BFA","exclusive_breastfeeding_pct",13,0,0,0,0,0,0
"BF62FL","BFA","short_birth_interval_pct",13,0,0,0,0,0,0
"BF62FL","BFA","improved_water_pct",13,0,0,0,0,0,0
"BF62FL","BFA","improved_sanitation_pct",13,0,0,0,0,0,0
"BF62FL","BFA","electricity_pct",13,0,0,0,0,0,0
"BF81FL","BFA","male_pct",13,0,0,0,0,0,0
"BF81FL","BFA","multiple_birth_pct",13,0,0,0,0,0,0
"BF81FL","BFA","mean_birth_order",13,0,0,0,0,0,0
"BF81FL","BFA","mean_maternal_age_birth",13,0,0,0,0,0,0
"BF81FL","BFA","mean_maternal_education_years",13,0,0,0,0,0,0
"BF81FL","BFA","mean_wealth_quintile",13,0,0,0,0,0,0
"BF81FL","BFA","urban_pct",13,0,0,0,0,0,0
"BF81FL","BFA","dtp3_pct",13,0,0,0,0,0,0
"BF81FL","BFA","measles_pct",13,0,0,0,0,0,0
"BF81FL","BFA","facility_delivery_pct",13,0,0,0,0,0,0
"BF81FL","BFA","exclusive_breastfeeding_pct",13,0,0,0,0,0,0
"BF81FL","BFA","short_birth_interval_pct",13,0,0,0,0,0,0
"BF81FL","BFA","improved_water_pct",13,0,0,0,0,0,0
"BF81FL","BFA","improved_sanitation_pct",13,0,0,0,0,0,0
"BF81FL","BFA","electricity_pct",13,0,0,0,0,0,0
"CI62FL","CIV","male_pct",10,0,0,0,0,0,0
"CI62FL","CIV","multiple_birth_pct",10,0,0,0,0,0,0
"CI62FL","CIV","mean_birth_order",10,0,0,0,0,0,0
"CI62FL","CIV","mean_maternal_age_birth",10,0,0,0,0,0,0
"CI62FL","CIV","mean_maternal_education_years",10,0,0,0,0,0,0
"CI62FL","CIV","mean_wealth_quintile",10,0,0,0,0,0,0
"CI62FL","CIV","urban_pct",10,0,0,0,0,0,0
"CI62FL","CIV","dtp3_pct",10,0,0,0,0,0,0
"CI62FL","CIV","measles_pct",10,0,0,0,0,0,0
"CI62FL","CIV","facility_delivery_pct",10,0,0,0,0,0,0
"CI62FL","CIV","exclusive_breastfeeding_pct",10,0,0,0,0,0,0
"CI62FL","CIV","short_birth_interval_pct",10,0,0,0,0,0,0
"CI62FL","CIV","improved_water_pct",10,0,0,0,0,0,0
"CI62FL","CIV","improved_sanitation_pct",10,0,0,0,0,0,0
"CI62FL","CIV","electricity_pct",10,0,0,0,0,0,0
"CI81FL","CIV","male_pct",14,0,0,0,0,0,0
"CI81FL","CIV","multiple_birth_pct",14,0,0,0,0,0,0
"CI81FL","CIV","mean_birth_order",14,0,0,0,0,0,0
"CI81FL","CIV","mean_maternal_age_birth",14,0,0,0,0,0,0
"CI81FL","CIV","mean_maternal_education_years",14,0,0,0,0,0,0
"CI81FL","CIV","mean_wealth_quintile",14,0,0,0,0,0,0
"CI81FL","CIV","urban_pct",14,0,0,0,0,0,0
"CI81FL","CIV","dtp3_pct",14,0,0,0,0,0,0
"CI81FL","CIV","measles_pct",14,0,0,0,0,0,0
"CI81FL","CIV","facility_delivery_pct",14,0,0,0,0,0,0
"CI81FL","CIV","exclusive_breastfeeding_pct",14,0,0,0,0,0,0
"CI81FL","CIV","short_birth_interval_pct",14,0,0,0,0,0,0
"CI81FL","CIV","improved_water_pct",14,0,0,0,0,0,0
"CI81FL","CIV","improved_sanitation_pct",14,0,0,0,0,0,0
"CI81FL","CIV","electricity_pct",14,0,0,0,0,0,0
"CM44FL","CMR","male_pct",12,0,0,0,0,0,0
"CM44FL","CMR","multiple_birth_pct",12,0,0,0,0,0,0
"CM44FL","CMR","mean_birth_order",12,0,0,0,0,0,0
"CM44FL","CMR","mean_maternal_age_birth",12,0,0,0,0,0,0
"CM44FL","CMR","mean_maternal_education_years",12,0,0,0,0,0,0
"CM44FL","CMR","mean_wealth_quintile",12,0,0,0,0,0,0
"CM44FL","CMR","urban_pct",12,0,0,0,0,0,0
"CM44FL","CMR","dtp3_pct",12,0,0,0,0,0,0
"CM44FL","CMR","measles_pct",12,0,0,0,0,0,0
"CM44FL","CMR","facility_delivery_pct",12,0,0,0,0,0,0
"CM44FL","CMR","exclusive_breastfeeding_pct",12,12,0,12,38707,0,38707
"CM44FL","CMR","short_birth_interval_pct",12,0,0,0,0,0,0
"CM44FL","CMR","improved_water_pct",12,0,0,0,0,0,0
"CM44FL","CMR","improved_sanitation_pct",12,0,0,0,0,0,0
"CM44FL","CMR","electricity_pct",12,0,0,0,0,0,0
"CM61FL","CMR","male_pct",12,0,0,0,0,0,0
"CM61FL","CMR","multiple_birth_pct",12,0,0,0,0,0,0
