"baseline","variable","records","missing_before","missing_after","resolved_records","surveys","surveys_with_missing","countries_with_missing","missing_after_pct","originally_missing_remaining_pct"
"previous_primary","male_pct",5885022,0,0,0,105,0,0,0,
"previous_primary","multiple_birth_pct",5885022,0,0,0,105,0,0,0,
"previous_primary","mean_birth_order",5885022,0,0,0,105,0,0,0,
"previous_primary","mean_maternal_age_birth",5885022,0,0,0,105,0,0,0,
"previous_primary","mean_maternal_education_years",5885022,0,0,0,105,0,0,0,
"previous_primary","mean_wealth_quintile",5885022,0,0,0,105,0,0,0,
"previous_primary","urban_pct",5885022,0,0,0,105,0,0,0,
"previous_primary","dtp3_pct",5885022,0,0,0,105,0,0,0,
"previous_primary","measles_pct",5885022,0,0,0,105,0,0,0,
"previous_primary","facility_delivery_pct",5885022,206997,206997,0,105,9,8,3.51735303623334,100
"previous_primary","exclusive_breastfeeding_pct",5885022,920003,920003,0,105,25,20,15.6329577017724,100
"previous_primary","short_birth_interval_pct",5885022,40600,40600,0,105,7,6,0.689886970685921,100
"previous_primary","improved_water_pct",5885022,40600,40600,0,105,7,6,0.689886970685921,100
"previous_primary","improved_sanitation_pct",5885022,40600,40600,0,105,7,6,0.689886970685921,100
"previous_primary","electricity_pct",5885022,124319,124319,0,105,8,7,2.11246449036214,100
"previous_primary","log_hiv_incidence",5885022,0,0,0,105,0,0,0,
"previous_primary","log_gdp_pc",5885022,0,0,0,105,0,0,0,
"previous_primary","log_health_expenditure_pc",5885022,0,0,0,105,0,0,0,
"previous_primary","political_stability",5885022,0,0,0,105,0,0,0,
"previous_primary","hib3_pct",5885022,1292421,39113,1253308,105,4,4,0.664619435577301,3.02633584567258
"previous_primary","pcv3_pct",5885022,3291804,98083,3193721,105,11,5,1.66665477206372,2.97961239490565
"previous_primary","rotavirus_pct",5885022,4032597,70617,3961980,105,9,3,1.19994453716571,1.75115440496534
"previous_primary","any_vaccine",5885022,4032597,198852,3833745,105,17,10,3.3789508348482,4.9311151101883
"previous_primary","any_required",5885022,4100807,1217838,2882969,105,47,28,20.6938563696109,29.697520512426
"eligible_MAP","male_pct",6357802,0,0,0,120,0,0,0,
"eligible_MAP","multiple_birth_pct",6357802,0,0,0,120,0,0,0,
"eligible_MAP","mean_birth_order",6357802,0,0,0,120,0,0,0,
"eligible_MAP","mean_maternal_age_birth",6357802,0,0,0,120,0,0,0,
"eligible_MAP","mean_maternal_education_years",6357802,0,0,0,120,0,0,0,
"eligible_MAP","mean_wealth_quintile",6357802,35865,35865,0,120,9,9,0.564110049353534,100
"eligible_MAP","urban_pct",6357802,0,0,0,120,0,0,0,
"eligible_MAP","dtp3_pct",6357802,0,0,0,120,0,0,0,
"eligible_MAP","measles_pct",6357802,0,0,0,120,0,0,0,
"eligible_MAP","facility_delivery_pct",6357802,237785,237785,0,120,11,9,3.74005041364925,100
"eligible_MAP","exclusive_breastfeeding_pct",6357802,1136030,1136030,0,120,34,24,17.8682821515989,100
"eligible_MAP","short_birth_interval_pct",6357802,47904,47904,0,120,8,6,0.75346794379567,100
"eligible_MAP","improved_water_pct",6357802,47904,47904,0,120,8,6,0.75346794379567,100
"eligible_MAP","improved_sanitation_pct",6357802,47904,47904,0,120,8,6,0.75346794379567,100
"eligible_MAP","electricity_pct",6357802,136738,136738,0,120,9,7,2.15071183405837,100
"eligible_MAP","log_hiv_incidence",6357802,142323,142323,0,120,5,2,2.23855665841748,100
"eligible_MAP","log_gdp_pc",6357802,0,0,0,120,0,0,0,
"eligible_MAP","log_health_expenditure_pc",6357802,63255,63255,0,120,7,6,0.994919313309851,100
"eligible_MAP","political_stability",6357802,179937,179937,0,120,26,23,2.83017621498751,100
"eligible_MAP","hib3_pct",6357802,1603329,46550,1556779,120,5,5,0.732171275544599,2.90333425017573
"eligible_MAP","pcv3_pct",6357802,3695620,98100,3597520,120,11,5,1.542986082297,2.65449369794514
"eligible_MAP","rotavirus_pct",6357802,4473356,70636,4402720,120,9,3,1.1110128940788,1.57903819861419
"eligible_MAP","any_vaccine",6357802,4473356,206318,4267038,120,18,11,3.24511521434609,4.61215248685774
"eligible_MAP","any_required",6357802,4573449,1628672,2944777,120,68,31,25.6169034518533,35.6114608471637
