"survey","country","region","records","children","deaths","complete_case_records","complete_case_children","complete_case_deaths","baseline"
"AO62FL","AGO","AGO:AO62FL:mesoendemicstable",11773,3362,174,0,0,0,"previous_primary"
"AO62FL","AGO","AGO:AO62FL:hyperendemic",11128,3220,122,0,0,0,"previous_primary"
"AO62FL","AGO","AGO:AO62FL:mesoendemicunstable",12127,3510,212,0,0,0,"previous_primary"
"AO62FL","AGO","AGO:AO62FL:luanda",9153,2715,92,0,0,0,"previous_primary"
"AO62FL","AGO","AGO:AO62FL:mesoendemicstable",11773,3362,174,0,0,0,"eligible_MAP"
"AO62FL","AGO","AGO:AO62FL:hyperendemic",11128,3220,122,0,0,0,"eligible_MAP"
"AO62FL","AGO","AGO:AO62FL:mesoendemicunstable",12127,3510,212,0,0,0,"eligible_MAP"
"AO62FL","AGO","AGO:AO62FL:luanda",9153,2715,92,0,0,0,"eligible_MAP"
"AO62FL","AGO","AGO:AO62FL:mesoendemicstable",11773,3362,174,0,0,0,"regional_baseline"
"AO62FL","AGO","AGO:AO62FL:hyperendemic",11128,3220,122,0,0,0,"regional_baseline"
"AO62FL","AGO","AGO:AO62FL:mesoendemicunstable",12127,3510,212,0,0,0,"regional_baseline"
"AO62FL","AGO","AGO:AO62FL:luanda",9153,2715,92,0,0,0,"regional_baseline"
"AO71FL","AGO","AGO:AO71FL:benguela",4829,1459,95,1464,949,29,"previous_primary"
"AO71FL","AGO","AGO:AO71FL:lundasul",4901,1448,39,1632,1022,13,"previous_primary"
"AO71FL","AGO","AGO:AO71FL:luanda",7158,2141,49,2334,1454,18,"previous_primary"
"AO71FL","AGO","AGO:AO71FL:cuandocubango",3477,1037,37,1270,754,17,"previous_primary"
"AO71FL","AGO","AGO:AO71FL:namibe",4128,1257,42,1409,863,21,"previous_primary"
"AO71FL","AGO","AGO:AO71FL:cabinda",3191,921,17,1054,650,11,"previous_primary"
"AO71FL","AGO","AGO:AO71FL:cuanzasul",4155,1204,67,1279,816,24,"previous_primary"
