"survey","country","regkey","variable","value","eligible_n","observed_n","missing_n","weighted_n","population","source","small_denominator","low_precision"
"AO62FL","AGO","mesoendemicstable","male_pct",49.4126055097753,2195,2195,0,3360.41848000001,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO62FL","AGO","hyperendemic","male_pct",50.7233562578945,2096,2096,0,1869.10037100004,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO62FL","AGO","mesoendemicunstable","male_pct",50.5988852760608,2292,2292,0,1600.26993200004,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO62FL","AGO","luanda","male_pct",50.1304802722597,1664,1664,0,1501.58561600003,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO62FL","AGO","mesoendemicstable","multiple_birth_pct",2.29752194435021,2195,2195,0,3360.41848000001,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO62FL","AGO","hyperendemic","multiple_birth_pct",3.94152562072325,2096,2096,0,1869.10037100004,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO62FL","AGO","mesoendemicunstable","multiple_birth_pct",4.31050297331951,2292,2292,0,1600.26993200004,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO62FL","AGO","luanda","multiple_birth_pct",2.64461417163703,1664,1664,0,1501.58561600003,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO62FL","AGO","mesoendemicstable","mean_birth_order",3.30492717204679,2195,2195,0,3360.41848000001,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO62FL","AGO","hyperendemic","mean_birth_order",3.4983578048842,2096,2096,0,1869.10037100004,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO62FL","AGO","mesoendemicunstable","mean_birth_order",3.30617946272818,2292,2292,0,1600.26993200004,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO62FL","AGO","luanda","mean_birth_order",3.11143367532095,1664,1664,0,1501.58561600003,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO62FL","AGO","mesoendemicstable","mean_maternal_age_birth",24.7717476925919,2195,2195,0,3360.41848000001,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO62FL","AGO","hyperendemic","mean_maternal_age_birth",26.2331503977405,2096,2096,0,1869.10037100004,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO62FL","AGO","mesoendemicunstable","mean_maternal_age_birth",25.1136744497151,2292,2292,0,1600.26993200004,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO62FL","AGO","luanda","mean_maternal_age_birth",26.3524411037196,1664,1664,0,1501.58561600003,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO62FL","AGO","mesoendemicstable","mean_maternal_education_years",3.5406420513311,1389,1389,0,2125.40738400001,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO62FL","AGO","hyperendemic","mean_maternal_education_years",2.81326733670018,1275,1275,0,1134.49464200001,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO62FL","AGO","mesoendemicunstable","mean_maternal_education_years",3.84777406302458,1466,1466,0,1015.14776700002,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO62FL","AGO","luanda","mean_maternal_education_years",7.66690525230786,1203,1203,0,1086.02232700002,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO62FL","AGO","mesoendemicstable","mean_wealth_quintile",2.604171443398,1389,1389,0,2125.40738400001,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO62FL","AGO","hyperendemic","mean_wealth_quintile",2.21901185497183,1275,1275,0,1134.49464200001,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO62FL","AGO","mesoendemicunstable","mean_wealth_quintile",2.41598015749753,1466,1466,0,1015.14776700002,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO62FL","AGO","luanda","mean_wealth_quintile",4.37517643594449,1203,1203,0,1086.02232700002,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO62FL","AGO","mesoendemicstable","urban_pct",20.6472247769324,1389,1389,0,2125.40738400001,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO62FL","AGO","hyperendemic","urban_pct",18.0455585615713,1275,1275,0,1134.49464200001,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO62FL","AGO","mesoendemicunstable","urban_pct",23.6413898352196,1466,1466,0,1015.14776700002,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO62FL","AGO","luanda","urban_pct",96.1428002022976,1203,1203,0,1086.02232700002,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","benguela","male_pct",50.3075817952362,867,867,0,1198.59792,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","lundasul","male_pct",50.1177315722468,900,900,0,276.391875,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","luanda","male_pct",49.5675005270827,1245,1245,0,3729.81645300002,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cuandocubango","male_pct",48.5727251857626,656,656,0,237.905305,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","namibe","male_pct",51.6696856000534,786,786,0,170.598884000001,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cabinda","male_pct",50.2847049323257,568,568,0,259.915763999999,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
