"survey","country","region","records","deaths","distinct_children","regkey","survey_year","lat","lon","selected","exclusion"
"AO62FL","AGO","AGO:AO62FL:mesoendemicstable",11773,174,3362,"mesoendemicstable",2011,-10.9014383955705,15.2300318243108,FALSE,"centroid_south_of_12N"
"AO62FL","AGO","AGO:AO62FL:hyperendemic",11128,122,3220,"hyperendemic",2011,-8.84459291498615,18.0792626912291,FALSE,"centroid_south_of_12N"
"AO62FL","AGO","AGO:AO62FL:mesoendemicunstable",12127,212,3510,"mesoendemicunstable",2011,-14.8916338211459,18.2995717274793,FALSE,"centroid_south_of_12N"
"AO62FL","AGO","AGO:AO62FL:luanda",9153,92,2715,"luanda",2011,-8.97729303245146,13.311978399866,FALSE,"centroid_south_of_12N"
"AO71FL","AGO","AGO:AO71FL:benguela",4829,95,1459,"benguela",2015,-12.9525026730537,13.9723950574306,FALSE,"centroid_south_of_12N"
"AO71FL","AGO","AGO:AO71FL:lundasul",4901,39,1448,"lundasul",2015,-10.1727742674752,20.5654416652401,FALSE,"centroid_south_of_12N"
"AO71FL","AGO","AGO:AO71FL:luanda",7158,49,2141,"luanda",2015,-9.62342928416613,13.7702566099809,FALSE,"centroid_south_of_12N"
"AO71FL","AGO","AGO:AO71FL:cuandocubango",3477,37,1037,"cuandocubango",2015,-16.1083489368627,19.4964816807363,FALSE,"centroid_south_of_12N"
"AO71FL","AGO","AGO:AO71FL:namibe",4128,42,1257,"namibe",2015,-15.5025100528048,12.7209145609138,FALSE,"centroid_south_of_12N"
"AO71FL","AGO","AGO:AO71FL:cabinda",3191,17,921,"cabinda",2015,-5.05252355612894,12.4665999368033,FALSE,"centroid_south_of_12N"
"AO71FL","AGO","AGO:AO71FL:cuanzasul",4155,67,1204,"cuanzasul",2015,-10.8273117387666,15.030927769408,FALSE,"centroid_south_of_12N"
"AO71FL","AGO","AGO:AO71FL:malanje",4469,39,1290,"malanje",2015,-9.53864417736935,17.0402002951361,FALSE,"centroid_south_of_12N"
"AO71FL","AGO","AGO:AO71FL:huila",4973,83,1484,"huila",2015,-14.7387689413908,14.9423356143123,FALSE,"centroid_south_of_12N"
"AO71FL","AGO","AGO:AO71FL:lundanorte",4181,46,1244,"lundanorte",2015,-8.50837879037007,19.5686829686572,FALSE,"centroid_south_of_12N"
"AO71FL","AGO","AGO:AO71FL:huambo",5118,65,1501,"huambo",2015,-12.5631674056566,15.7371898218968,FALSE,"centroid_south_of_12N"
"AO71FL","AGO","AGO:AO71FL:moxico",3033,10,880,"moxico",2015,-12.8802367666926,21.0297728223413,FALSE,"centroid_south_of_12N"
"AO71FL","AGO","AGO:AO71FL:zaire",4117,28,1223,"zaire",2015,-6.61055082874386,13.5720418629702,FALSE,"centroid_south_of_12N"
"AO71FL","AGO","AGO:AO71FL:bie",4535,65,1362,"bie",2015,-12.3142345429756,17.3349468994482,FALSE,"centroid_south_of_12N"
"AO71FL","AGO","AGO:AO71FL:bengo",3306,13,970,"bengo",2015,-8.32656236519719,14.0246203463902,FALSE,"centroid_south_of_12N"
"AO71FL","AGO","AGO:AO71FL:cuanzanorte",3666,29,1059,"cuanzanorte",2015,-8.96999278941037,14.9880368402034,FALSE,"centroid_south_of_12N"
"AO71FL","AGO","AGO:AO71FL:cunene",4453,44,1338,"cunene",2015,-16.5008140310813,15.5726168101409,FALSE,"centroid_south_of_12N"
"AO71FL","AGO","AGO:AO71FL:uige",4707,44,1357,"uige",2015,-7.03522907078408,15.4742129401174,FALSE,"centroid_south_of_12N"
"AO81FL","AGO","AGO:AO81FL:moxico",3147,15,908,"moxico",2023,-12.8802367667823,21.0297728230363,FALSE,"centroid_south_of_12N"
"AO81FL","AGO","AGO:AO81FL:uige",3962,36,1175,"uige",2023,-7.03522907017063,15.4742129402689,FALSE,"centroid_south_of_12N"
"AO81FL","AGO","AGO:AO81FL:cabinda",2790,21,845,"cabinda",2023,-5.05252355836117,12.4665999345816,FALSE,"centroid_south_of_12N"
"AO81FL","AGO","AGO:AO81FL:bie",4118,36,1215,"bie",2023,-12.3142345429756,17.3349468994482,FALSE,"centroid_south_of_12N"
"AO81FL","AGO","AGO:AO81FL:cunene",4289,42,1267,"cunene",2023,-16.5008140321439,15.5726168088632,FALSE,"centroid_south_of_12N"
"AO81FL","AGO","AGO:AO81FL:northcuanza",2843,28,835,"northcuanza",2023,-8.96999278941037,14.9880368402034,FALSE,"centroid_south_of_12N"
"AO81FL","AGO","AGO:AO81FL:huambo",4731,72,1386,"huambo",2023,-12.5631633891471,15.7371805139821,FALSE,"centroid_south_of_12N"
"AO81FL","AGO","AGO:AO81FL:northlunda",3905,21,1140,"northlunda",2023,-8.50837879121892,19.5686829683583,FALSE,"centroid_south_of_12N"
"AO81FL","AGO","AGO:AO81FL:luanda",3641,22,1068,"luanda",2023,-9.62342928487051,13.7702566102418,FALSE,"centroid_south_of_12N"
"AO81FL","AGO","AGO:AO81FL:benguela",4228,65,1258,"benguela",2023,-12.9428009525476,13.9742431257199,FALSE,"centroid_south_of_12N"
"AO81FL","AGO","AGO:AO81FL:bengo",2907,6,884,"bengo",2023,-8.32656236516878,14.0246203457085,FALSE,"centroid_south_of_12N"
"AO81FL","AGO","AGO:AO81FL:malanje",3620,4,1064,"malanje",2023,-9.53864417740455,17.0402002951389,FALSE,"centroid_south_of_12N"
"AO81FL","AGO","AGO:AO81FL:huila",3686,19,1077,"huila",2023,-14.7387689413908,14.9423356143123,FALSE,"centroid_south_of_12N"
"AO81FL","AGO","AGO:AO81FL:southcuanza",4710,45,1383,"southcuanza",2023,-10.820284672584,15.03654840327,FALSE,"centroid_south_of_12N"
"AO81FL","AGO","AGO:AO81FL:cuandocubango",2954,36,883,"cuandocubango",2023,-16.1083489374917,19.4964816791929,FALSE,"centroid_south_of_12N"
"AO81FL","AGO","AGO:AO81FL:zaire",1938,5,571,"zaire",2023,-6.61055082960805,13.5720418602665,FALSE,"centroid_south_of_12N"
"AO81FL","AGO","AGO:AO81FL:southlunda",3360,11,984,"southlunda",2023,-10.1727742674738,20.5654416650646,FALSE,"centroid_south_of_12N"
"AO81FL","AGO","AGO:AO81FL:namibe",3875,14,1116,"namibe",2023,-15.5025100535353,12.7209145606397,FALSE,"centroid_south_of_12N"
"BU61FL","BDI","BDI:BU61FL:west",8079,120,2375,"west",2010,-3.15054618022558,29.3348611384115,FALSE,"centroid_south_of_12N"
"BU61FL","BDI","BDI:BU61FL:south",9298,112,2758,"south",2010,-3.95318647469334,29.7425848924689,FALSE,"centroid_south_of_12N"
"BU61FL","BDI","BDI:BU61FL:centraleast",11887,146,3467,"centraleast",2010,-3.31898516246641,30.2049709274806,FALSE,"centroid_south_of_12N"
"BU61FL","BDI","BDI:BU61FL:north",9333,172,2778,"north",2010,-2.76959384066401,30.0684877657189,FALSE,"centroid_south_of_12N"
"BU71FL","BDI","BDI:BU71FL:cankuzo",4071,59,1222,"cankuzo",2016,-3.14018538048358,30.606447321261,FALSE,"centroid_south_of_12N"
"BU71FL","BDI","BDI:BU71FL:karusi",4704,42,1368,"karusi",2016,-3.13737354886848,30.1202373496091,FALSE,"centroid_south_of_12N"
"BU71FL","BDI","BDI:BU71FL:ruyigi",4381,44,1323,"ruyigi",2016,-3.45696542043359,30.3182268560642,FALSE,"centroid_south_of_12N"
"BU71FL","BDI","BDI:BU71FL:bujumburamairie",3141,27,941,"bujumburamairie",2016,-3.40103700837695,29.3078615216331,FALSE,"centroid_south_of_12N"
"BU71FL","BDI","BDI:BU71FL:rutana",3981,43,1187,"rutana",2016,-3.8746941075877,30.0911187717127,FALSE,"centroid_south_of_12N"
"BU71FL","BDI","BDI:BU71FL:gitega",4542,73,1386,"gitega",2016,-3.49223625765475,29.9222284122618,FALSE,"centroid_south_of_12N"
"BU71FL","BDI","BDI:BU71FL:ngozi",4253,60,1274,"ngozi",2016,-2.87482358412912,29.9250244525788,FALSE,"centroid_south_of_12N"
"BU71FL","BDI","BDI:BU71FL:cibitoke",4745,65,1401,"cibitoke",2016,-2.81851000678622,29.2287961676051,FALSE,"centroid_south_of_12N"
"BU71FL","BDI","BDI:BU71FL:muramvya",3862,44,1157,"muramvya",2016,-3.27124538462859,29.6518555463846,FALSE,"centroid_south_of_12N"
"BU71FL","BDI","BDI:BU71FL:mwaro",3504,24,1034,"mwaro",2016,-3.49054591318441,29.7153031211742,FALSE,"centroid_south_of_12N"
"BU71FL","BDI","BDI:BU71FL:kirundo",4856,95,1448,"kirundo",2016,-2.53754947157376,30.1605258023566,FALSE,"centroid_south_of_12N"
"BU71FL","BDI","BDI:BU71FL:kayanza",3937,31,1199,"kayanza",2016,-3.00500449047215,29.6583175606337,FALSE,"centroid_south_of_12N"
"BU71FL","BDI","BDI:BU71FL:bubanza",4573,37,1347,"bubanza",2016,-3.12451520144509,29.3994747323108,FALSE,"centroid_south_of_12N"
"BU71FL","BDI","BDI:BU71FL:muyinga",5118,85,1523,"muyinga",2016,-2.76807039755833,30.3509267049507,FALSE,"centroid_south_of_12N"
"BU71FL","BDI","BDI:BU71FL:bujumburarural",4197,25,1245,"bujumburarural",2016,-3.45138939304194,29.4267937490691,FALSE,"centroid_south_of_12N"
"BU71FL","BDI","BDI:BU71FL:makamba",4369,28,1305,"makamba",2016,-4.24571964053361,29.7394552292319,FALSE,"centroid_south_of_12N"
"BU71FL","BDI","BDI:BU71FL:bururi",3410,22,995,"bururi",2016,-3.86741934599765,29.6794559462753,FALSE,"centroid_south_of_12N"
"BU71FL","BDI","BDI:BU71FL:rumonge",4378,31,1303,"rumonge",2016,-3.86493006200232,29.4070143482867,FALSE,"centroid_south_of_12N"
"BJ51FL","BEN","BEN:BJ51FL:alibori",7372,162,2293,"alibori",2006,11.3252083911183,2.89907656539624,FALSE,"centroid_south_of_12N"
"BJ51FL","BEN","BEN:BJ51FL:atacora",8252,202,2609,"atacora",2006,10.684826490648,1.57616349508486,FALSE,"centroid_south_of_12N"
"BJ51FL","BEN","BEN:BJ51FL:atlantique",8992,157,2829,"atlantique",2006,6.61354975895641,2.2144990878329,FALSE,"centroid_south_of_12N"
"BJ51FL","BEN","BEN:BJ51FL:borgou",8942,152,2764,"borgou",2006,9.79697751339986,2.77906106289394,FALSE,"centroid_south_of_12N"
"BJ51FL","BEN","BEN:BJ51FL:collines",5772,112,1815,"collines",2006,8.13663272926828,2.20852008399075,FALSE,"centroid_south_of_12N"
"BJ51FL","BEN","BEN:BJ51FL:couffo",7166,121,2287,"couffo",2006,6.99671106497258,1.78229627253177,FALSE,"centroid_south_of_12N"
"BJ51FL","BEN","BEN:BJ51FL:donga",4333,119,1408,"donga",2006,9.32307245190123,1.8080920478087,FALSE,"centroid_south_of_12N"
