"svkey","iso3","survey_year","band","month","age_months","person_months_w","person_months_n","deaths_w","deaths_n"
"ML41FL","MLI",2001,"<1 month",1,0,1077.50068,996,62.560159,54
"BF43FL","BFA",2003,"<1 month",1,0,651.171991,572,18.115776,17
"NG4BFL","NGA",2003,"<1 month",1,0,255.732678,209,9.697705,7
"CM44FL","CMR",2004,"<1 month",1,0,214.61988,130,5.38862,3
"TD41FL","TCD",2004,"<1 month",1,0,122.614045,176,3.657828,6
"GN52FL","GIN",2005,"<1 month",1,0,98.292859,108,2.705684,3
"SN4AFL","SEN",2005,"<1 month",1,0,1104.595571,1103,20.730904,24
"BJ51FL","BEN",2006,"<1 month",1,0,114.39532,108,6.777125,7
"ML53FL","MLI",2006,"<1 month",1,0,1159.984881,1160,56.521045,54
"NI51FL","NER",2006,"<1 month",1,0,821.155784,785,26.506821,24
"NG53FL","NGA",2008,"<1 month",1,0,877.046171000008,788,52.998706,42
"SN5AFL","SEN",2008,"<1 month",1,0,1041.923823,1003,26.464515,26
"BF62FL","BFA",2010,"<1 month",1,0,1048.373261,960,31.840548,31
"NG61FL","NGA",2010,"<1 month",1,0,162.015846,121,20.354165,13
"SN61FL","SEN",2010,"<1 month",1,0,853.852301,914,13.706373,16
"CM61FL","CMR",2011,"<1 month",1,0,221.854989,148,6.973586,3
"BJ61FL","BEN",2012,"<1 month",1,0,147.870354,164,6.277975,7
"GN62FL","GIN",2012,"<1 month",1,0,125.426162,142,2.464494,4
"ML6AFL","MLI",2012,"<1 month",1,0,740.518667,722,36.401337,33
"NI61FL","NER",2012,"<1 month",1,0,1513.930618,1484,34.290458,34
"SN6DFL","SEN",2012,"<1 month",1,0,495.396188,536,11.441854,9
"GM61FL","GMB",2013,"<1 month",1,0,765.859324,747,13.889322,15
"NG6AFL","NGA",2013,"<1 month",1,0,1325.927928,1106,56.558978,45
"SN71FL","SEN",2014,"<1 month",1,0,568.187108,605,11.953399,12
