"svkey","iso3","survey_year","regkey","band","month","person_months_w","person_months_n","deaths_w","deaths_n"
"MR71FL","MRT",2020,"adrar","<1 month",1,15.847392,44,1.382614,2
"NI51FL","NER",2006,"agadez","<1 month",1,15.625778,60,0,0
"NI61FL","NER",2012,"agadez","<1 month",1,18.711795,66,0.192417,1
"BJ51FL","BEN",2006,"alibori","<1 month",1,114.39532,108,6.777125,7
"BJ61FL","BEN",2012,"alibori","<1 month",1,147.870354,164,6.277975,7
"BJ71FL","BEN",2017,"alibori","<1 month",1,144.713093,127,0,0
"MR71FL","MRT",2020,"assaba","<1 month",1,89.6674790000001,94,2.859398,3
"ML41FL","MLI",2001,"bamako","<1 month",1,132.337428,125,9.18137,8
"ML53FL","MLI",2006,"bamako","<1 month",1,116.67579,112,0,0
"ML6AFL","MLI",2012,"bamako","<1 month",1,80.584969,109,1.999838,2
"ML7AFL","MLI",2018,"bamako","<1 month",1,98.568801,93,1.57258,1
"ML8AFL","MLI",2023,"bamako","<1 month",1,131.627992,111,3.04542,2
"GM61FL","GMB",2013,"banjul","<1 month",1,11.762294,57,0.227593,1
"GM81FL","GMB",2019,"banjul","<1 month",1,6.778745,40,0,0
"TD71FL","TCD",2014,"barhelgazal","<1 month",1,12.012189,36,0.58377,2
"GM61FL","GMB",2013,"basse","<1 month",1,92.734873,95,1.791497,2
"GM81FL","GMB",2019,"basse","<1 month",1,85.6577460000001,151,2.261196,4
"TD71FL","TCD",2014,"batha","<1 month",1,24.22251,25,1.834857,1
"GN52FL","GIN",2005,"boke","<1 month",1,54.076016,60,2.705684,3
"GN62FL","GIN",2012,"boke","<1 month",1,66.218397,67,0,0
"GN71FL","GIN",2018,"boke","<1 month",1,96.736706,128,4.565395,7
"TD71FL","TCD",2014,"borkoutibesti","<1 month",1,5.01554,41,0,0
"BF43FL","BFA",2003,"boucledumouhoun","<1 month",1,46.176131,45,0,0
"BF62FL","BFA",2010,"boucledumouhoun","<1 month",1,146.243227,105,2.6734,2
"BF81FL","BFA",2021,"boucledumouhoun","<1 month",1,90.910052,74,3.129671,2
"MR71FL","MRT",2020,"brakna","<1 month",1,87.479142,102,5.462594,7
"GM61FL","GMB",2013,"brikama","<1 month",1,300.32282,148,6.277099,4
"GM81FL","GMB",2019,"brikama","<1 month",1,268.271692,116,0,0
"SN6DFL","SEN",2012,"center","<1 month",1,166.741114,191,5.005681,4
"SN71FL","SEN",2014,"center","<1 month",1,181.013548,229,1.093228,1
"SN7AFL","SEN",2015,"center","<1 month",1,183.054892,209,4.957291,4
"SN7IFL","SEN",2016,"center","<1 month",1,178.285826,220,5.302767,6
"SN81FL","SEN",2018,"center","<1 month",1,193.281784,220,2.595775,2
"SN8BFL","SEN",2019,"center","<1 month",1,148.000431,173,0.527566,1
"BF62FL","BFA",2010,"centre","<1 month",1,96.488979,62,1.522916,1
"BF81FL","BFA",2021,"centre","<1 month",1,113.548248,72,1.59596,1
"BF43FL","BFA",2003,"centreest","<1 month",1,80.919716,62,1.203705,1
"BF62FL","BFA",2010,"centreest","<1 month",1,102.007086,95,5.963196,6
"BF81FL","BFA",2021,"centreest","<1 month",1,102.754696,91,3.868445,4
"BF43FL","BFA",2003,"centrenord","<1 month",1,53.982776,52,0.52419,1
"BF62FL","BFA",2010,"centrenord","<1 month",1,72.712685,69,1.558367,1
"BF81FL","BFA",2021,"centrenord","<1 month",1,101.569537,76,1.298934,1
"BF43FL","BFA",2003,"centreouest","<1 month",1,66.494722,97,2.969421,4
"BF62FL","BFA",2010,"centreouest","<1 month",1,91.339947,102,3.361035,4
"BF81FL","BFA",2021,"centreouest","<1 month",1,145.289949,121,1.20696,1
"BF43FL","BFA",2003,"centresud","<1 month",1,41.235091,43,0,0
"BF62FL","BFA",2010,"centresud","<1 month",1,59.17675,77,2.189538,2
"BF81FL","BFA",2021,"centresud","<1 month",1,36.371909,52,0.617542,1
"TD71FL","TCD",2014,"charibaguirmi","<1 month",1,41.306646,44,2.506565,3
"SN4AFL","SEN",2005,"dakar","<1 month",1,234.784083,92,0.481752,1
"SN5AFL","SEN",2008,"dakar","<1 month",1,297.154353,93,9.119039,2
"SN61FL","SEN",2010,"dakar","<1 month",1,185.960297,68,3.415861,1
"SN7ZFL","SEN",2017,"dakar","<1 month",1,223.134222,75,5.24656,2
"SN8SFL","SEN",2023,"dakar","<1 month",1,213.381907,65,0,0
"NI51FL","NER",2006,"diffa","<1 month",1,28.082295,79,0.538665,2
"NI61FL","NER",2012,"diffa","<1 month",1,58.345625,178,0.193008,1
"SN4AFL","SEN",2005,"diourbel","<1 month",1,111.120234,102,4.560288,3
"SN5AFL","SEN",2008,"diourbel","<1 month",1,100.221369,70,0,0
"SN61FL","SEN",2010,"diourbel","<1 month",1,84.841537,63,1.829738,1
"SN7ZFL","SEN",2017,"diourbel","<1 month",1,141.344289,97,1.632668,1
"SN8SFL","SEN",2023,"diourbel","<1 month",1,90.3558129999999,68,0,0
"NI51FL","NER",2006,"dosso","<1 month",1,100.152791,102,6.375132,7
"NI61FL","NER",2012,"dosso","<1 month",1,184.033574,193,9.199536,9
"MR71FL","MRT",2020,"easternbasinregion","<1 month",1,128.66963,79,4.518189,3
"BF43FL","BFA",2003,"est","<1 month",1,58.562268,47,1.193551,1
"BF62FL","BFA",2010,"est","<1 month",1,143.1653,128,6.985452,7
"BF81FL","BFA",2021,"est","<1 month",1,99.398063,79,2.811504,2
"CM44FL","CMR",2004,"farnorth","<1 month",1,214.61988,130,5.38862,3
"CM61FL","CMR",2011,"farnorth","<1 month",1,221.854989,148,6.973586,3
"CM71FL","CMR",2018,"farnorth","<1 month",1,136.274798,91,1.298146,2
"SN4AFL","SEN",2005,"fatick","<1 month",1,78.823011,116,3.067562,4
"SN5AFL","SEN",2008,"fatick","<1 month",1,57.688173,73,0,0
"SN61FL","SEN",2010,"fatick","<1 month",1,66.239389,87,0.372818,1
"SN7ZFL","SEN",2017,"fatick","<1 month",1,52.836173,79,2.1761,3
"SN8SFL","SEN",2023,"fatick","<1 month",1,64.299613,86,0,0
"ML53FL","MLI",2006,"gao","<1 month",1,57.01713,93,4.39285,4
"ML7AFL","MLI",2018,"gao","<1 month",1,23.733002,56,0.965803,1
"ML8AFL","MLI",2023,"gao","<1 month",1,43.016502,100,0,0
"MR71FL","MRT",2020,"gorgol","<1 month",1,103.250527,109,0.604323,1
"TD71FL","TCD",2014,"guera","<1 month",1,96.2705589999999,81,2.21334,2
"MR71FL","MRT",2020,"guidimagha","<1 month",1,96.259933,140,2.216088,5
"TD71FL","TCD",2014,"hadjerlamis","<1 month",1,116.195855,88,6.488739,5
"BF43FL","BFA",2003,"hautsbassins","<1 month",1,100.99191,55,5.841168,3
"BF62FL","BFA",2010,"hautsbassins","<1 month",1,139.771567,105,4.907161,4
"BF81FL","BFA",2021,"hautsbassins","<1 month",1,78.788332,88,2.07806,3
"GM61FL","GMB",2013,"janjanbureh","<1 month",1,54.350862,75,0,0
"GM81FL","GMB",2019,"janjanbureh","<1 month",1,45.739763,99,0.443708,1
"SN61FL","SEN",2010,"kaffrine","<1 month",1,26.143864,49,0.43239,1
