"status","children","survey","birth_month_flag_unavailable"
"birth_month_imputed",3555,"BF43FL",0
"death_month_unresolved_year_unit",222,"BF43FL",0
"outside_sahel",5679,"BF43FL",0
"region_unmatched",1161,"BF43FL",0
"used",30903,"BF43FL",0
"birth_month_imputed",600,"BF62FL",0
"death_after_interview",2,"BF62FL",0
"death_month_unresolved_year_unit",139,"BF62FL",0
"outside_sahel",8120,"BF62FL",0
"used",47317,"BF62FL",0
"birth_month_imputed",5719,"BF81FL",0
"death_after_interview",3,"BF81FL",0
"outside_sahel",5663,"BF81FL",0
"used",37360,"BF81FL",0
"birth_month_imputed",10410,"BJ51FL",0
"death_month_unresolved_year_unit",252,"BJ51FL",0
"outside_sahel",43642,"BJ51FL",0
"used",2928,"BJ51FL",0
"birth_month_imputed",15639,"BJ61FL",0
"death_after_interview",30,"BJ61FL",0
"outside_sahel",29784,"BJ61FL",0
"used",1699,"BJ61FL",0
"birth_month_imputed",6314,"BJ71FL",0
"outside_sahel",34733,"BJ71FL",0
"used",4806,"BJ71FL",0
"birth_month_imputed",2413,"CM44FL",0
"death_after_interview",16,"CM44FL",0
"death_month_unresolved_year_unit",193,"CM44FL",0
"outside_sahel",23099,"CM44FL",0
"used",3734,"CM44FL",0
"birth_month_imputed",1935,"CM61FL",0
"death_month_unresolved_year_unit",61,"CM61FL",0
"outside_sahel",34805,"CM61FL",0
"used",5511,"CM61FL",0
"birth_month_imputed",463,"CM71FL",0
"death_after_interview",1,"CM71FL",0
"outside_sahel",23156,"CM71FL",0
"region_unmatched",5652,"CM71FL",0
"used",4716,"CM71FL",0
"birth_month_imputed",671,"GM61FL",0
"used",25930,"GM61FL",0
"birth_month_imputed",428,"GM81FL",0
"used",31237,"GM81FL",0
"birth_month_imputed",15548,"GN52FL",0
"death_month_unresolved_year_unit",18,"GN52FL",0
"outside_sahel",9621,"GN52FL",0
"used",1928,"GN52FL",0
"birth_month_imputed",52,"GN62FL",0
"outside_sahel",21417,"GN62FL",0
"used",6214,"GN62FL",0
"birth_month_imputed",769,"GN71FL",0
"outside_sahel",20421,"GN71FL",0
"used",7697,"GN71FL",0
"birth_month_imputed",3382,"ML41FL",0
"death_month_unresolved_year_unit",438,"ML41FL",0
"region_unmatched",3619,"ML41FL",0
"used",40968,"ML41FL",0
"birth_month_imputed",4780,"ML53FL",0
"death_month_unresolved_year_unit",266,"ML53FL",0
"used",47094,"ML53FL",0
"birth_month_imputed",202,"ML6AFL",0
"death_after_interview",14,"ML6AFL",0
"used",33587,"ML6AFL",0
"birth_month_imputed",2711,"ML7AFL",0
"used",30668,"ML7AFL",0
"birth_month_imputed",1493,"ML8AFL",0
"used",51920,"ML8AFL",0
"birth_month_imputed",2596,"MR71FL",0
"death_after_interview",4,"MR71FL",0
"region_unmatched",1321,"MR71FL",0
"used",35872,"MR71FL",0
"birth_month_imputed",2120,"NG4BFL",0
"death_after_interview",2,"NG4BFL",0
"death_month_unresolved_year_unit",224,"NG4BFL",0
"outside_sahel",15216,"NG4BFL",0
"used",5476,"NG4BFL",0
"birth_month_imputed",3387,"NG53FL",0
"death_after_interview",43,"NG53FL",0
"death_month_unresolved_year_unit",1875,"NG53FL",0
"outside_sahel",71703,"NG53FL",0
"used",27800,"NG53FL",0
"birth_month_imputed",1089,"NG61FL",0
"death_month_unresolved_year_unit",86,"NG61FL",0
"outside_sahel",14223,"NG61FL",0
"used",4246,"NG61FL",0
"birth_month_imputed",1043,"NG6AFL",0
"death_month_unresolved_year_unit",187,"NG6AFL",0
"outside_sahel",79777,"NG6AFL",0
"used",38379,"NG6AFL",0
"birth_month_imputed",1027,"NG7BFL",0
"death_after_interview",15,"NG7BFL",0
"outside_sahel",86769,"NG7BFL",0
"used",39734,"NG7BFL",0
"birth_month_imputed",1426,"NG8BFL",0
"death_after_interview",10,"NG8BFL",0
"outside_sahel",72173,"NG8BFL",0
"used",30948,"NG8BFL",0
"birth_month_imputed",6111,"NI51FL",0
"used",28267,"NI51FL",0
"birth_month_imputed",7749,"NI61FL",0
"death_after_interview",6,"NI61FL",0
"death_month_unresolved_year_unit",163,"NI61FL",0
"used",36265,"NI61FL",0
"birth_month_imputed",4744,"SN4AFL",0
"death_after_interview",20,"SN4AFL",0
"death_month_unresolved_year_unit",551,"SN4AFL",0
"used",34580,"SN4AFL",0
"birth_month_imputed",14281,"SN5AFL",0
"used",39327,"SN5AFL",0
"birth_month_imputed",9516,"SN61FL",7
"death_after_interview",24,"SN61FL",7
"death_month_unresolved_year_unit",249,"SN61FL",7
"used",32721,"SN61FL",7
"birth_month_imputed",802,"SN6DFL",0
"death_after_interview",24,"SN6DFL",0
"death_month_unresolved_year_unit",13,"SN6DFL",0
"used",21724,"SN6DFL",0
"birth_month_imputed",2749,"SN71FL",0
"death_after_interview",15,"SN71FL",0
"death_month_unresolved_year_unit",3,"SN71FL",0
"used",19598,"SN71FL",0
"birth_month_imputed",1534,"SN7AFL",0
"death_after_interview",9,"SN7AFL",0
"used",21707,"SN7AFL",0
"birth_month_imputed",2775,"SN7IFL",0
"death_after_interview",14,"SN7IFL",0
"death_month_unresolved_year_unit",9,"SN7IFL",0
"used",19942,"SN7IFL",0
"birth_month_imputed",2014,"SN7ZFL",0
"used",40930,"SN7ZFL",0
"birth_month_imputed",684,"SN81FL",0
"used",23229,"SN81FL",0
"birth_month_imputed",286,"SN8BFL",0
"used",21276,"SN8BFL",0
"birth_month_imputed",230,"SN8SFL",0
"used",39260,"SN8SFL",0
"birth_month_imputed",459,"TD41FL",0
"death_after_interview",1,"TD41FL",0
"outside_sahel",7548,"TD41FL",0
"used",13440,"TD41FL",0
"birth_month_imputed",5291,"TD71FL",0
"outside_sahel",25122,"TD71FL",0
"region_unmatched",2378,"TD71FL",0
"used",36198,"TD71FL",0
