"iso3","regkey","year","coverage","coverage_confirmed"
"BFA","sudouest",2000,0,0
"BFA","sudouest",2001,0,0
"BFA","sudouest",2002,0,0
"BFA","sudouest",2003,0,0
"BFA","sudouest",2004,0,0
"BFA","sudouest",2005,0,0
"BFA","sudouest",2006,0,0
"BFA","sudouest",2007,0,0
"BFA","sudouest",2008,0,0
"BFA","sudouest",2009,0,0
"BFA","sudouest",2010,0,0
"BFA","sudouest",2011,0,0
"BFA","sudouest",2012,0,0
"BFA","sudouest",2013,0,0
"BFA","sudouest",2014,0,0
"BFA","sudouest",2015,0,0
"BFA","sudouest",2016,0,0
"BFA","sudouest",2017,0.330188679245283,0.330188679245283
"BFA","sudouest",2018,1,1
"BFA","sudouest",2019,1,1
"BFA","sudouest",2020,1,1
"BFA","sudouest",2021,1,1
"BFA","sudouest",2022,1,1
"BFA","sudouest",2023,1,1
"BFA","sudouest",2024,1,1
"BFA","sudouest",2025,1,1
"BFA","cascades",2000,0,0
"BFA","cascades",2001,0,0
"BFA","cascades",2002,0,0
"BFA","cascades",2003,0,0
"BFA","cascades",2004,0,0
"BFA","cascades",2005,0,0
"BFA","cascades",2006,0,0
"BFA","cascades",2007,0,0
"BFA","cascades",2008,0,0
"BFA","cascades",2009,0,0
"BFA","cascades",2010,0,0
"BFA","cascades",2011,0,0
"BFA","cascades",2012,0,0
"BFA","cascades",2013,0,0
"BFA","cascades",2014,0,0
"BFA","cascades",2015,0,0
"BFA","cascades",2016,0.755102040816326,0.755102040816326
"BFA","cascades",2017,1,1
"BFA","cascades",2018,1,1
"BFA","cascades",2019,1,1
"BFA","cascades",2020,1,1
"BFA","cascades",2021,1,1
"BFA","cascades",2022,1,1
"BFA","cascades",2023,1,1
"BFA","cascades",2024,1,1
"BFA","cascades",2025,1,1
"BFA","nord",2000,0,0
"BFA","nord",2001,0,0
"BFA","nord",2002,0,0
"BFA","nord",2003,0,0
"BFA","nord",2004,0,0
"BFA","nord",2005,0,0
"BFA","nord",2006,0,0
"BFA","nord",2007,0,0
"BFA","nord",2008,0,0
"BFA","nord",2009,0,0
"BFA","nord",2010,0,0
"BFA","nord",2011,0,0
"BFA","nord",2012,0,0
"BFA","nord",2013,0,0
