"fit_id","rows","deaths","countries","surveys","regions","converged","iterations","rank","coefficients","finite_coefficients","finite_covariance","elapsed_seconds","min_smoothing_hessian_eigenvalue","max_smoothing_gradient","warnings","variant","age_band","input_verified","re_sd_survey","re_sd_country","re_sd_region"
"main_age_1",355586,11945,8,27,276,TRUE,11,339,339,TRUE,TRUE,6.349,0.000105573037835131,0.000260223165862552,"openMP not available: single threaded computation only","main","<1",TRUE,0.00159537330620516,0.128249579809385,0.0548147794835671
"main_age_2",319496,4698,8,27,276,TRUE,20,339,339,TRUE,TRUE,12.202,0.000145656602875363,0.000128721008672259,"openMP not available: single threaded computation only","main","1-5",TRUE,0.057667542660156,0.137085466435223,0.00339641767385232
"main_age_3",308447,4808,8,27,276,TRUE,18,339,339,TRUE,TRUE,8.992,0.000157702942547555,0.000157690627227194,"openMP not available: single threaded computation only","main","6-11",TRUE,0.114476686029241,0.141730300019063,0.00077648288157371
"main_age_4",266090,5546,8,27,276,TRUE,13,339,339,TRUE,TRUE,6.927,0.6870000962943,0.000176173052761186,"openMP not available: single threaded computation only","main","12-23",TRUE,0.117958904068803,0.201507168661338,0.115910768819851
"main_age_5",265598,4950,8,27,276,TRUE,15,339,339,TRUE,TRUE,6.9,0.000127078630434024,0.000127097869907261,"openMP not available: single threaded computation only","main","24-35",TRUE,0.0910718489749314,0.218418296490883,0.0918838902687178
"main_age_6",254785,2721,8,27,276,TRUE,21,339,339,TRUE,TRUE,8.947,8.64974831496706e-05,8.72444696556909e-05,"openMP not available: single threaded computation only","main","36-47",TRUE,0.000838456366055168,0.109403221963962,0.0556829701778837
"main_age_7",249242,1472,8,27,276,TRUE,17,339,339,TRUE,TRUE,7.504,2.57518976219893e-05,5.83535669534506e-05,"openMP not available: single threaded computation only","main","48-59",TRUE,0.0559051261027602,0.13226167955893,0.000778108568473448
"no_smc_age_1",355586,11945,8,27,276,TRUE,14,338,338,TRUE,TRUE,7.637,0.000206878217806292,0.000202873241942813,"openMP not available: single threaded computation only","no_smc","<1",TRUE,0.00184546900571452,0.130792066159932,0.0564770157428869
"no_smc_age_2",319496,4698,8,27,276,TRUE,21,338,338,TRUE,TRUE,10.707,8.61046640362944e-05,8.3650330397679e-05,"openMP not available: single threaded computation only","no_smc","1-5",TRUE,0.0552170668205014,0.136866558990694,0.00210787784798043
"no_smc_age_3",308447,4808,8,27,276,TRUE,18,338,338,TRUE,TRUE,8.783,0.000126124109929497,0.000126118904483917,"openMP not available: single threaded computation only","no_smc","6-11",TRUE,0.120718274196992,0.138192798231861,0.000650150539235058
"no_smc_age_4",266090,5546,8,27,276,TRUE,13,338,338,TRUE,TRUE,6.05799999999999,0.631875185616828,0.000147511920197019,"openMP not available: single threaded computation only","no_smc","12-23",TRUE,0.119537229034392,0.199942337362724,0.114754731953695
"no_smc_age_5",265598,4950,8,27,276,TRUE,15,338,338,TRUE,TRUE,6.77199999999999,0.000717049768752413,0.000717665068822858,"openMP not available: single threaded computation only","no_smc","24-35",TRUE,0.0966745203073494,0.205114775563317,0.0898880434306335
"no_smc_age_6",254785,2721,8,27,276,TRUE,22,338,338,TRUE,TRUE,8.86599999999999,4.74762996166427e-05,6.29464401525521e-05,"openMP not available: single threaded computation only","no_smc","36-47",TRUE,0.000574241309532655,0.113346991444436,0.0534616128348661
"no_smc_age_7",249242,1472,8,27,276,TRUE,18,338,338,TRUE,TRUE,7.40300000000002,2.48144092712829e-05,5.31990737694762e-05,"openMP not available: single threaded computation only","no_smc","48-59",TRUE,0.0663590375564871,0.113421462763928,0.000737133841163633
"placebo_age_1",327754,11043,8,27,265,TRUE,13,328,328,TRUE,TRUE,6.84700000000001,7.84077106198106e-05,7.84166510799107e-05,"openMP not available: single threaded computation only","placebo","<1",TRUE,0.0178017279708741,0.123387374802404,0.0536408028305799
"placebo_age_2",294922,4430,8,27,265,TRUE,16,328,328,TRUE,TRUE,7.49300000000002,0.0146736252999278,3.81029151008683e-07,"openMP not available: single threaded computation only","placebo","1-5",TRUE,0.0654325340992888,0.141349305777488,0.0191546343189092
"placebo_age_3",284656,4587,8,27,265,TRUE,16,328,328,TRUE,TRUE,7.41,0.000100184155855137,0.000100172203407478,"openMP not available: single threaded computation only","placebo","6-11",TRUE,0.11571492525313,0.150791766996517,0.000722036023214401
"placebo_age_4",245808,5228,8,27,265,TRUE,15,328,328,TRUE,TRUE,6.54299999999998,0.35039306243337,0.00496157176048884,"openMP not available: single threaded computation only","placebo","12-23",TRUE,0.10628986566492,0.229499682919321,0.121667607629254
"placebo_age_5",244385,4670,8,27,265,TRUE,16,328,328,TRUE,TRUE,6.68100000000001,0.000136442895421306,0.000136465040858136,"openMP not available: single threaded computation only","placebo","24-35",TRUE,0.0683935290489453,0.22992639533834,0.0958115677305275
"placebo_age_6",234305,2545,8,27,265,TRUE,21,328,328,TRUE,TRUE,8.28799999999998,4.48389342146583e-05,9.04225029723428e-05,"openMP not available: single threaded computation only","placebo","36-47",TRUE,0.00104876028440299,0.112693432941883,0.0877798770807978
"placebo_age_7",229179,1391,8,27,265,TRUE,25,328,328,TRUE,TRUE,9.79300000000001,2.3488494129567e-05,2.52934060491867e-05,"openMP not available: single threaded computation only","placebo","48-59",TRUE,0.0536986696300967,0.153572712395807,0.000479029585293153
"national_age_1",404248,13301,8,28,286,TRUE,17,350,350,TRUE,TRUE,10.646,9.48136409243384e-05,0.000180860251302804,"openMP not available: single threaded computation only","national","<1",TRUE,0.00102023921898976,0.142232721780014,0.0847381207536074
"national_age_2",361721,5335,8,28,286,TRUE,21,350,350,TRUE,TRUE,11.627,0.000145125484067764,0.000143715727828142,"openMP not available: single threaded computation only","national","1-5",TRUE,0.0931664854524043,0.206553846415398,0.0385892350894572
"national_age_3",348689,5400,8,28,286,TRUE,18,350,350,TRUE,TRUE,9.632,0.0808816523564771,1.3893787329522e-06,"openMP not available: single threaded computation only","national","6-11",TRUE,0.124699824567049,0.135815440484416,0.0735805684139986
"national_age_4",301834,5962,8,28,286,TRUE,14,350,350,TRUE,TRUE,7.27600000000001,0.768203049171167,8.93931542123028e-05,"openMP not available: single threaded computation only","national","12-23",TRUE,0.122183502518887,0.190336487065305,0.140366619704229
"national_age_5",300764,5439,8,28,286,TRUE,17,350,350,TRUE,TRUE,8.35300000000001,7.34247031310684e-05,7.34311086320411e-05,"openMP not available: single threaded computation only","national","24-35",TRUE,0.0779406832679359,0.268869809336096,0.114506094159537
"national_age_6",288640,2936,8,28,286,TRUE,22,350,350,TRUE,TRUE,10.07,9.70591682813194e-05,9.69763551413274e-05,"openMP not available: single threaded computation only","national","36-47",TRUE,0.00119446854797803,0.091453662508565,0.0770291152313154
"national_age_7",281774,1615,8,28,286,TRUE,22,350,350,TRUE,TRUE,10.374,8.0073419327715e-06,6.62886469405999e-05,"openMP not available: single threaded computation only","national","48-59",TRUE,0.0510104003213057,0.116430592086152,0.000772487985231789
"coverage_age_1",355586,11945,8,27,276,TRUE,11,339,339,TRUE,TRUE,6.46800000000002,1.95908079463467e-05,4.04733934698685e-05,"openMP not available: single threaded computation only","coverage","<1",TRUE,0.000529486541158614,0.12957701518313,0.0558309279813101
"coverage_age_2",319496,4698,8,27,276,TRUE,21,339,339,TRUE,TRUE,10.011,0.000130007128698368,0.000107722244620374,"openMP not available: single threaded computation only","coverage","1-5",TRUE,0.0568664868046193,0.136941200054827,0.00363648630903297
"coverage_age_3",308447,4808,8,27,276,TRUE,17,339,339,TRUE,TRUE,8.63099999999997,0.000128256413336176,0.000128247560688592,"openMP not available: single threaded computation only","coverage","6-11",TRUE,0.114068314449553,0.142343861312854,0.000710717213713644
"coverage_age_4",266090,5546,8,27,276,TRUE,14,339,339,TRUE,TRUE,6.76399999999995,0.699342352246359,3.95812080000724e-06,"openMP not available: single threaded computation only","coverage","12-23",TRUE,0.117166688837357,0.202927056873627,0.116549588467296
"coverage_age_5",265598,4950,8,27,276,TRUE,16,339,339,TRUE,TRUE,7.904,0.000113314958432551,0.000113329923113061,"openMP not available: single threaded computation only","coverage","24-35",TRUE,0.0954304166065141,0.209964531471589,0.090933439836873
"coverage_age_6",254785,2721,8,27,276,TRUE,21,339,339,TRUE,TRUE,8.70799999999997,6.66880509794137e-05,9.56114584628066e-05,"openMP not available: single threaded computation only","coverage","36-47",TRUE,0.00093711077057943,0.105440399708337,0.0549938284717589
"coverage_age_7",249242,1472,8,27,276,TRUE,17,339,339,TRUE,TRUE,7.37200000000001,2.53247889156882e-05,5.81153445634271e-05,"openMP not available: single threaded computation only","coverage","48-59",TRUE,0.0544692757126534,0.136196600117967,0.000787132157725077
