"variant","age_band","term","estimate","standard_error","hazard_ratio","lower_95","upper_95","p_value","records","deaths","post_records","post_deaths","switching_units"
"main","<1","smc_post",0.0517809843362562,0.0519363105518068,1.05314506198819,0.951215932029803,1.16599657789938,0.3187599985319,355586,11945,27832,902,24
"main","1-5","smc_post",0.144050305966174,0.0939992156932325,1.15494220754716,0.960608677099463,1.38858989573316,0.125408258332473,319496,4698,24574,268,24
"main","6-11","smc_post",-0.161838314936849,0.101167515971864,0.850578719296836,0.697587973581283,1.03712246357462,0.109663748602823,308447,4808,23791,221,24
"main","12-23","smc_post",-0.0663319378685966,0.0968666437197193,0.935820178574828,0.773994462694676,1.13148019635548,0.493485379670046,266090,5546,20282,318,23
"main","24-35","smc_post",-0.0761431391484941,0.0930962817600428,0.926683552370995,0.772122663219648,1.11218391473459,0.413416190062261,265598,4950,21213,280,23
"main","36-47","smc_post",0.0557140363592856,0.109680133321074,1.05729529249107,0.852775440242848,1.31086483354333,0.611475539397761,254785,2721,20480,176,24
"main","48-59","smc_post",-0.189913765676175,0.152693267127173,0.82703044927998,0.613121247329079,1.11556950116448,0.213587935620564,249242,1472,20063,81,23
"placebo","<1","smc_placebo",-0.0726249425236239,0.0527113953342034,0.92994954915791,0.838668907965446,1.03116516633121,0.168269838498954,327754,11043,15824,587,22
"placebo","1-5","smc_placebo",-0.0411071779125305,0.0896831220121982,0.959726262977897,0.805021658419597,1.1441611417732,0.64669364719656,294922,4430,13670,184,21
"placebo","6-11","smc_placebo",0.0675767540818923,0.0853959331047882,1.06991237658862,0.905019059933945,1.26484904490417,0.428748779772771,284656,4587,12919,217,20
"placebo","12-23","smc_placebo",0.0546154004344342,0.0837695864560945,1.05613434774414,0.896216747993094,1.24458705216423,0.514419423284102,245808,5228,11297,259,11
"placebo","24-35","smc_placebo",-0.0029565455703984,0.0788614429308745,0.997047820706364,0.854255479409278,1.16370849322821,0.970094009316398,244385,4670,10909,267,11
"placebo","36-47","smc_placebo",-0.0870203809937867,0.109186435562508,0.916658413033347,0.740058682911529,1.13540002379144,0.425457457606936,234305,2545,10813,130,10
"placebo","48-59","smc_placebo",-0.0556832733833869,0.147240183717317,0.945838660733023,0.708734684411695,1.26226469765599,0.705296979151413,229179,1391,10407,69,10
"national","<1","smc_national",0.00639875833159963,0.0440581640546002,1.00641927412088,0.923157663030689,1.09719043223532,0.884525854792725,404248,13301,75035,2215,75
"national","1-5","smc_national",0.203820737298901,0.0762298294486601,1.22607834363931,1.05591772633317,1.42366025993487,0.00750047341898763,361721,5335,65383,890,62
"national","6-11","smc_national",0.0300887755425601,0.0777212973614257,1.03054601717453,0.884931562665487,1.20012116000855,0.698654923835138,348689,5400,62630,796,62
"national","12-23","smc_national",-0.0431156925274032,0.0815185433591646,0.957800573287746,0.816366373613372,1.12373802724119,0.596870269503579,301834,5962,54780,723,53
"national","24-35","smc_national",-0.0489653562164231,0.0778485836103267,0.952214117426895,0.817463864125197,1.10917652170153,0.529360853938347,300764,5439,55077,750,53
"national","36-47","smc_national",-0.137257841082877,0.0945416348454182,0.871745425367448,0.724292874662063,1.04921657140924,0.146550470534295,288640,2936,53086,380,54
"national","48-59","smc_national",-0.266638233715769,0.122096544605712,0.765950116277089,0.602934048137466,0.973041052229855,0.0289746599561007,281774,1615,51312,212,53
"coverage","<1","smc_coverage",0.0296347499919437,0.0540503936102239,1.03007822915354,0.926534477348817,1.14519338903848,0.583499655714052,355586,11945,41254,1470,29
"coverage","1-5","smc_coverage",0.0982566859467991,0.0969233650032799,1.10324593649422,0.912366861423854,1.33405940949182,0.310698982964302,319496,4698,36275,442,28
"coverage","6-11","smc_coverage",-0.179870938540405,0.103982899140226,0.835378019560702,0.681351181414952,1.02422429813057,0.0836637463261005,308447,4808,34959,417,26
"coverage","12-23","smc_coverage",-0.0852725450906355,0.100521204969601,0.918261982498482,0.754051880108681,1.11823216776611,0.396268663760302,266090,5546,30077,601,24
"coverage","24-35","smc_coverage",-0.0250102270890006,0.0962383225949066,0.975299937498065,0.807641231591323,1.17776301020383,0.794957847447251,265598,4950,30932,674,24
"coverage","36-47","smc_coverage",0.102842193345344,0.112356287447267,1.10831649555665,0.889250656357689,1.38134894311383,0.360022558732748,254785,2721,29799,375,24
"coverage","48-59","smc_coverage",-0.22175955444054,0.157133684314031,0.80110796403146,0.588757099164083,1.09004880101798,0.158162203526211,249242,1472,29032,160,24
