"iso3","survey","unit","basis","first_confirmed","first_all","records","deaths","main_kept","post_main","post_national","entry_first","entry_last"
"BFA","BF43FL","boucledumouhoun","confirmed",2016,2016,2358,70,2358,0,0,2000,2003
"BFA","BF43FL","cascades","confirmed",2016,2016,1884,56,1884,0,0,2000,2003
"BFA","BF43FL","centreest","confirmed",2016,2016,1848,39,1848,0,0,2000,2003
"BFA","BF43FL","centrenord","confirmed",2015,2015,2436,73,2436,0,0,2000,2003
"BFA","BF43FL","centreouest","confirmed",2016,2016,2823,77,2823,0,0,2000,2003
"BFA","BF43FL","centresud","confirmed",2016,2016,1828,28,1828,0,0,2000,2003
"BFA","BF43FL","est","confirmed",2015,2015,2154,52,2154,0,0,2000,2003
"BFA","BF43FL","hautsbassins","confirmed",2016,2016,2309,55,2309,0,0,2000,2003
"BFA","BF43FL","nord","confirmed",2016,2016,2142,63,2142,0,0,2000,2003
"BFA","BF43FL","ouagadougou","pre_programme",,,704,11,704,0,0,2000,2003
"BFA","BF43FL","plateaucentral","confirmed",2015,2015,2733,48,2733,0,0,2000,2003
"BFA","BF43FL","sahel","confirmed",2015,2015,2037,88,2037,0,0,2000,2003
"BFA","BF43FL","sudouest","confirmed",2018,2018,2637,69,2637,0,0,2000,2003
"BFA","BF62FL","boucledumouhoun","confirmed",2016,2016,7549,129,7549,0,0,2005,2010
"BFA","BF62FL","cascades","confirmed",2016,2016,5275,103,5275,0,0,2005,2010
"BFA","BF62FL","centre","confirmed",2019,2019,5184,60,5184,0,0,2005,2010
"BFA","BF62FL","centreest","confirmed",2016,2016,6432,70,6432,0,0,2005,2010
"BFA","BF62FL","centrenord","confirmed",2015,2015,6230,87,6230,0,0,2005,2010
"BFA","BF62FL","centreouest","confirmed",2016,2016,7572,134,7572,0,0,2005,2010
"BFA","BF62FL","centresud","confirmed",2016,2016,5493,91,5493,0,0,2005,2010
"BFA","BF62FL","est","confirmed",2015,2015,8472,191,8472,0,0,2005,2010
"BFA","BF62FL","hautsbassins","confirmed",2016,2016,6883,120,6883,0,0,2005,2010
"BFA","BF62FL","nord","confirmed",2016,2016,6752,122,6752,0,0,2005,2010
"BFA","BF62FL","plateaucentral","confirmed",2015,2015,5894,103,5894,0,0,2005,2010
"BFA","BF62FL","sahel","confirmed",2015,2015,6841,219,6841,0,0,2005,2010
"BFA","BF62FL","sudouest","confirmed",2018,2018,6166,181,6166,0,0,2005,2010
"BFA","BF81FL","boucledumouhoun","confirmed",2016,2016,6453,44,6453,6453,6453,2016,2021
"BFA","BF81FL","cascades","confirmed",2016,2016,3857,33,3857,3857,3857,2016,2021
"BFA","BF81FL","centre","confirmed",2019,2019,6671,28,6671,3210,3210,2016,2021
"BFA","BF81FL","centreest","confirmed",2016,2016,7162,54,7162,7162,7162,2016,2021
"BFA","BF81FL","centrenord","confirmed",2015,2015,5657,41,5657,5657,5657,2016,2021
"BFA","BF81FL","centreouest","confirmed",2016,2016,6399,32,6399,6399,6399,2016,2021
"BFA","BF81FL","centresud","confirmed",2016,2016,4425,33,4425,4425,4425,2016,2021
"BFA","BF81FL","est","confirmed",2015,2015,4612,34,4612,4612,4612,2016,2021
"BFA","BF81FL","hautsbassins","confirmed",2016,2016,7406,55,7406,7406,7406,2016,2021
