"fit_id","subgroup","age_band","model_file","md5","selected_version","prepared_data_md5"
"sahel_age_1","sahel","<1","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v2/sahel_age_1.rds","052f5061959b2f1d48bd971fc8891971","original","3e84f7ea55fdcc467afbcb0880448eec"
"sahel_age_2","sahel","1-5","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v2/sahel_age_2.rds","4a793a5f4a7779990045ddd094cc6810","original","3e84f7ea55fdcc467afbcb0880448eec"
"sahel_age_3","sahel","6-11","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v2/sahel_age_3.rds","3159f383692bcdc52604886d8920cb6e","original","3e84f7ea55fdcc467afbcb0880448eec"
"sahel_age_4","sahel","12-23","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v2/sahel_age_4.rds","4468c5df22cbac2189210e8a9ccfdc0f","original","3e84f7ea55fdcc467afbcb0880448eec"
"sahel_age_5","sahel","24-35","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v2/sahel_age_5.rds","d328f32616f57d6a1919b73ba2a69c49","original","3e84f7ea55fdcc467afbcb0880448eec"
"sahel_age_6","sahel","36-47","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v2/sahel_age_6.rds","26da36a12ecd9d0be10ac09c0a5707d8","original","3e84f7ea55fdcc467afbcb0880448eec"
"sahel_age_7","sahel","48-59","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v2/sahel_age_7_strict.rds","04f88894b565267978378127e32f477f","strict_restart","3e84f7ea55fdcc467afbcb0880448eec"
"east_africa_age_1","east_africa","<1","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v2/east_africa_age_1.rds","03e22468684995c71f9033783a474827","original","3e84f7ea55fdcc467afbcb0880448eec"
"east_africa_age_2","east_africa","1-5","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v2/east_africa_age_2.rds","148cbcf37b2dc9923261928d91bb7198","original","3e84f7ea55fdcc467afbcb0880448eec"
"east_africa_age_3","east_africa","6-11","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v2/east_africa_age_3.rds","994b05e7a8d1049796af472aac383513","original","3e84f7ea55fdcc467afbcb0880448eec"
"east_africa_age_4","east_africa","12-23","data/derived_cbh/models/subgroups_dhsmics_map_gamma2_v2/east_africa_age_4.rds","dccdfd48f2f4eb9d639f64ac54485fcb","original","3e84f7ea55fdcc467afbcb0880448eec"
