"subgroup","age_band","variable","index","value"
"sahel","<1","pfpr_pct",1,0.364760498555108
"sahel","<1","pfpr_pct",2,3.42600194800295
"sahel","<1","pfpr_pct",3,7.30015553842097
"sahel","<1","pfpr_pct",4,17.7961462870866
"sahel","<1","pfpr_pct",5,80.62991415684
"sahel","<1","calendar_year",1,2000
"sahel","<1","calendar_year",2,2005.58333333333
"sahel","<1","calendar_year",3,2010.16666666667
"sahel","<1","calendar_year",4,2014.75
"sahel","<1","calendar_year",5,2019.33333333333
"sahel","<1","calendar_year",6,2023.91666666667
"sahel","1-5","pfpr_pct",1,0.364760498555108
"sahel","1-5","pfpr_pct",2,3.458384331926
"sahel","1-5","pfpr_pct",3,7.81640614780482
"sahel","1-5","pfpr_pct",4,18.1613085208224
"sahel","1-5","pfpr_pct",5,80.62991415684
"sahel","1-5","calendar_year",1,2000
"sahel","1-5","calendar_year",2,2005.55
"sahel","1-5","calendar_year",3,2010.1
"sahel","1-5","calendar_year",4,2014.65
"sahel","1-5","calendar_year",5,2019.2
"sahel","1-5","calendar_year",6,2023.75
"sahel","6-11","pfpr_pct",1,0.364760498555108
"sahel","6-11","pfpr_pct",2,3.45503709621342
"sahel","6-11","pfpr_pct",3,7.81084325946655
"sahel","6-11","pfpr_pct",4,18.1013156499994
"sahel","6-11","pfpr_pct",5,80.62991415684
"sahel","6-11","calendar_year",1,2000
"sahel","6-11","calendar_year",2,2005.53333333333
"sahel","6-11","calendar_year",3,2010.06666666667
"sahel","6-11","calendar_year",4,2014.6
"sahel","6-11","calendar_year",5,2019.13333333333
"sahel","6-11","calendar_year",6,2023.66666666667
"sahel","12-23","pfpr_pct",1,0.364760498555108
"sahel","12-23","pfpr_pct",2,3.43348589516882
"sahel","12-23","pfpr_pct",3,7.4620131375377
"sahel","12-23","pfpr_pct",4,17.6816779273824
"sahel","12-23","pfpr_pct",5,80.62991415684
"sahel","12-23","calendar_year",1,2000
"sahel","12-23","calendar_year",2,2005.43333333333
"sahel","12-23","calendar_year",3,2009.86666666667
"sahel","12-23","calendar_year",4,2014.3
"sahel","12-23","calendar_year",5,2018.73333333333
"sahel","12-23","calendar_year",6,2023.16666666667
"sahel","24-35","pfpr_pct",1,0.364760498555108
"sahel","24-35","pfpr_pct",2,3.44892118509703
"sahel","24-35","pfpr_pct",3,7.50825802795396
"sahel","24-35","pfpr_pct",4,17.6820692698433
"sahel","24-35","pfpr_pct",5,80.62991415684
"sahel","24-35","calendar_year",1,2000
"sahel","24-35","calendar_year",2,2005.43333333333
"sahel","24-35","calendar_year",3,2009.86666666667
"sahel","24-35","calendar_year",4,2014.3
"sahel","24-35","calendar_year",5,2018.73333333333
"sahel","24-35","calendar_year",6,2023.16666666667
"sahel","36-47","pfpr_pct",1,0.364760498555108
"sahel","36-47","pfpr_pct",2,3.43863099181155
"sahel","36-47","pfpr_pct",3,7.41576824712144
"sahel","36-47","pfpr_pct",4,17.6812865849215
"sahel","36-47","pfpr_pct",5,80.62991415684
"sahel","36-47","calendar_year",1,2000
"sahel","36-47","calendar_year",2,2005.43333333333
"sahel","36-47","calendar_year",3,2009.86666666667
"sahel","36-47","calendar_year",4,2014.3
"sahel","36-47","calendar_year",5,2018.73333333333
"sahel","36-47","calendar_year",6,2023.16666666667
"sahel","48-59","pfpr_pct",1,0.364760498555108
"sahel","48-59","pfpr_pct",2,3.43348589516882
"sahel","48-59","pfpr_pct",3,7.51029083971522
"sahel","48-59","pfpr_pct",4,17.6816779273824
"sahel","48-59","pfpr_pct",5,80.62991415684
"sahel","48-59","calendar_year",1,2000
"sahel","48-59","calendar_year",2,2005.45
"sahel","48-59","calendar_year",3,2009.9
"sahel","48-59","calendar_year",4,2014.35
"sahel","48-59","calendar_year",5,2018.8
"sahel","48-59","calendar_year",6,2023.25
"east_africa","<1","pfpr_pct",1,0.436512660235166
"east_africa","<1","pfpr_pct",2,4.2759382651497
"east_africa","<1","pfpr_pct",3,8.52880962599336
"east_africa","<1","pfpr_pct",4,20.0901534487192
"east_africa","<1","pfpr_pct",5,87.6830665543666
"east_africa","<1","calendar_year",1,2000
"east_africa","<1","calendar_year",2,2005.58333333333
"east_africa","<1","calendar_year",3,2010.16666666667
"east_africa","<1","calendar_year",4,2014.75
"east_africa","<1","calendar_year",5,2019.33333333333
"east_africa","<1","calendar_year",6,2023.91666666667
"east_africa","1-5","pfpr_pct",1,0.436512660235166
"east_africa","1-5","pfpr_pct",2,4.30903528561413
"east_africa","1-5","pfpr_pct",3,8.57121564193907
"east_africa","1-5","pfpr_pct",4,20.37010882807
"east_africa","1-5","pfpr_pct",5,87.6830665543666
"east_africa","1-5","calendar_year",1,2000
"east_africa","1-5","calendar_year",2,2005.58333333333
"east_africa","1-5","calendar_year",3,2010.16666666667
"east_africa","1-5","calendar_year",4,2014.75
"east_africa","1-5","calendar_year",5,2019.33333333333
"east_africa","1-5","calendar_year",6,2023.91666666667
"east_africa","6-11","pfpr_pct",1,0.436512660235166
"east_africa","6-11","pfpr_pct",2,4.39218690539381
"east_africa","6-11","pfpr_pct",3,8.83275581303891
"east_africa","6-11","pfpr_pct",4,20.8174036641209
"east_africa","6-11","pfpr_pct",5,87.6830665543666
"east_africa","6-11","calendar_year",1,2000
"east_africa","6-11","calendar_year",2,2005.58333333333
"east_africa","6-11","calendar_year",3,2010.16666666667
"east_africa","6-11","calendar_year",4,2014.75
"east_africa","6-11","calendar_year",5,2019.33333333333
"east_africa","6-11","calendar_year",6,2023.91666666667
"east_africa","12-23","pfpr_pct",1,0.436512660235166
"east_africa","12-23","pfpr_pct",2,4.16827240581362
"east_africa","12-23","pfpr_pct",3,8.46982283150437
"east_africa","12-23","pfpr_pct",4,20.2267862532269
"east_africa","12-23","pfpr_pct",5,87.6830665543666
"east_africa","12-23","calendar_year",1,2000
"east_africa","12-23","calendar_year",2,2005.58333333333
"east_africa","12-23","calendar_year",3,2010.16666666667
"east_africa","12-23","calendar_year",4,2014.75
"east_africa","12-23","calendar_year",5,2019.33333333333
"east_africa","12-23","calendar_year",6,2023.91666666667
"east_africa","24-35","pfpr_pct",1,0.436512660235166
"east_africa","24-35","pfpr_pct",2,4.16841811487726
"east_africa","24-35","pfpr_pct",3,8.46749475256347
"east_africa","24-35","pfpr_pct",4,20.242348138987
"east_africa","24-35","pfpr_pct",5,87.6830665543666
"east_africa","24-35","calendar_year",1,2000
"east_africa","24-35","calendar_year",2,2005.58333333333
"east_africa","24-35","calendar_year",3,2010.16666666667
"east_africa","24-35","calendar_year",4,2014.75
"east_africa","24-35","calendar_year",5,2019.33333333333
