"fit_id","rows","deaths","countries","surveys","regions","converged","iterations","rank","coefficients","finite_coefficients","finite_covariance","elapsed_seconds","min_smoothing_hessian_eigenvalue","max_smoothing_gradient","warnings","subgroup","age_band","gamma","input_verified"
"sahel_age_1",199863,5440,7,23,182,TRUE,14,239,239,TRUE,TRUE,3.969,0.000421536188982293,0.000421781899036357,"openMP not available: single threaded computation only","sahel","<1",2,TRUE
"sahel_age_2",178677,1969,7,23,182,TRUE,15,239,239,TRUE,TRUE,3.502,3.3673783154097e-05,0.000840081870881818,"openMP not available: single threaded computation only","sahel","1-5",2,TRUE
"sahel_age_3",171424,1711,7,23,182,TRUE,17,239,239,TRUE,TRUE,3.746,3.37295861970111e-05,5.44048259657577e-05,"openMP not available: single threaded computation only","sahel","6-11",2,TRUE
"sahel_age_4",149275,1880,7,23,182,TRUE,18,239,239,TRUE,TRUE,3.667,5.28447334322997e-05,6.27310714079655e-05,"openMP not available: single threaded computation only","sahel","12-23",2,TRUE
"sahel_age_5",149534,1842,7,23,182,TRUE,21,239,239,TRUE,TRUE,4.112,0.00583980062121512,6.3813121475853e-07,"openMP not available: single threaded computation only","sahel","24-35",2,TRUE
"sahel_age_6",145412,1049,7,23,182,TRUE,26,239,239,TRUE,TRUE,4.667,1.99576194493515e-05,7.50708596292768e-05,"openMP not available: single threaded computation only","sahel","36-47",2,TRUE
"sahel_age_7",142136,654,7,23,182,TRUE,23,239,239,TRUE,TRUE,4.084,4.90705758889403e-06,1.19975231294353e-05,"openMP not available: single threaded computation only","sahel","48-59",2,TRUE
"east_africa_age_1",361686,9636,12,38,372,TRUE,13,449,449,TRUE,TRUE,8.134,0.000101378345238774,0.00027962958365235,"openMP not available: single threaded computation only","east_africa","<1",2,TRUE
"east_africa_age_2",327346,3809,12,38,372,TRUE,18,449,449,TRUE,TRUE,11.149,7.93137561075474e-05,0.000103491609203084,"openMP not available: single threaded computation only","east_africa","1-5",2,TRUE
"east_africa_age_3",314062,3246,12,38,372,TRUE,16,449,449,TRUE,TRUE,9.25500000000001,7.61682582054776e-05,0.000100068409729171,"openMP not available: single threaded computation only","east_africa","6-11",2,TRUE
"east_africa_age_4",271278,2806,12,38,372,TRUE,21,449,449,TRUE,TRUE,10.859,3.19190182271656e-05,3.19190425450867e-05,"openMP not available: single threaded computation only","east_africa","12-23",2,TRUE
"east_africa_age_5",269159,1940,12,38,372,TRUE,20,449,449,TRUE,TRUE,10.531,3.25559484039336e-05,4.03680904154693e-05,"openMP not available: single threaded computation only","east_africa","24-35",2,TRUE
"east_africa_age_6",263365,1328,12,38,371,TRUE,19,448,448,TRUE,TRUE,10.178,2.35514658561674e-05,4.02908327925367e-05,"openMP not available: single threaded computation only","east_africa","36-47",2,TRUE
"east_africa_age_7",256193,818,12,38,371,TRUE,21,448,448,TRUE,TRUE,10.69,3.06768661139751e-06,2.30924683301287e-05,"openMP not available: single threaded computation only","east_africa","48-59",2,TRUE
"early_age_1",444592,13947,29,50,411,TRUE,17,517,517,TRUE,TRUE,14.227,0.00023939423591406,0.000239298696323741,"openMP not available: single threaded computation only","early","<1",2,TRUE
"early_age_2",393827,6323,29,50,411,TRUE,17,517,517,TRUE,TRUE,13.256,0.000130958844225357,0.000160306875763154,"openMP not available: single threaded computation only","early","1-5",2,TRUE
"early_age_3",372871,6202,29,50,411,TRUE,14,517,517,TRUE,TRUE,10.538,0.000405787048190451,0.000403806651185444,"openMP not available: single threaded computation only","early","6-11",2,TRUE
"early_age_4",314500,6244,29,50,411,TRUE,15,517,517,TRUE,TRUE,10.114,0.000214334608003639,0.000214398321588355,"openMP not available: single threaded computation only","early","12-23",2,TRUE
"early_age_5",311055,4976,29,50,411,TRUE,15,517,517,TRUE,TRUE,10.06,0.000111637996256641,0.000111684483190491,"openMP not available: single threaded computation only","early","24-35",2,TRUE
"early_age_6",299803,2910,29,50,410,TRUE,25,516,516,TRUE,TRUE,17.802,4.85558836537374e-05,4.85625737521157e-05,"openMP not available: single threaded computation only","early","36-47",2,TRUE
"early_age_7",290506,1608,29,50,410,TRUE,20,516,516,TRUE,TRUE,13.136,3.62218113288103e-05,6.72245830279177e-05,"openMP not available: single threaded computation only","early","48-59",2,TRUE
"late_age_1",521961,13841,28,45,505,TRUE,16,605,605,TRUE,TRUE,19.003,0.000324791340438352,0.000324781951766622,"openMP not available: single threaded computation only","late","<1",2,TRUE
"late_age_2",474243,4823,28,45,505,TRUE,20,605,605,TRUE,TRUE,21.444,9.24552246985269e-05,0.000128083982251509,"openMP not available: single threaded computation only","late","1-5",2,TRUE
"late_age_3",458796,4084,28,45,505,TRUE,18,605,605,TRUE,TRUE,19.377,6.73728378021394e-05,0.000148634510397337,"openMP not available: single threaded computation only","late","6-11",2,TRUE
"late_age_4",403405,3971,28,45,505,TRUE,13,605,605,TRUE,TRUE,13.811,0.0149071649265809,4.02073752070464e-08,"openMP not available: single threaded computation only","late","12-23",2,TRUE
"late_age_5",402184,3407,28,45,505,TRUE,20,605,605,TRUE,TRUE,20.385,0.000115227938759052,0.000115254597253024,"openMP not available: single threaded computation only","late","24-35",2,TRUE
"late_age_6",392975,2082,28,45,505,TRUE,20,605,605,TRUE,TRUE,19.818,4.96252141569822e-05,0.00013605419206747,"openMP not available: single threaded computation only","late","36-47",2,TRUE
"late_age_7",384587,1308,28,45,505,TRUE,20,605,605,TRUE,TRUE,19.4589999999999,3.24866743928914e-05,8.63468225335709e-05,"openMP not available: single threaded computation only","late","48-59",2,TRUE
