"fit_id","subgroup","age_band","model_file","md5","selected_version","prepared_data_md5"
"sahel_age_1","sahel","<1","data/derived_cbh/models/subgroups_map_gamma2_v1/sahel_age_1.rds","fd239dbb7e117c47a91dea768f4c55d6","original","a4cc96887850b993ea4381c0e4371741"
"sahel_age_2","sahel","1-5","data/derived_cbh/models/subgroups_map_gamma2_v1/sahel_age_2.rds","b8a6df22729f28ac77fa078ac10e7c05","original","a4cc96887850b993ea4381c0e4371741"
"sahel_age_3","sahel","6-11","data/derived_cbh/models/subgroups_map_gamma2_v1/sahel_age_3.rds","ec279302e956e911064c0a77a9818732","original","a4cc96887850b993ea4381c0e4371741"
"sahel_age_4","sahel","12-23","data/derived_cbh/models/subgroups_map_gamma2_v1/sahel_age_4.rds","db82ff36c24a2d2be867f5df6a34a572","original","a4cc96887850b993ea4381c0e4371741"
"sahel_age_5","sahel","24-35","data/derived_cbh/models/subgroups_map_gamma2_v1/sahel_age_5.rds","c08061f842dd151a9be86cdebd6e866c","original","a4cc96887850b993ea4381c0e4371741"
"sahel_age_6","sahel","36-47","data/derived_cbh/models/subgroups_map_gamma2_v1/sahel_age_6.rds","7f7b8b1070e0c01f8a68fe7cc041c085","original","a4cc96887850b993ea4381c0e4371741"
"sahel_age_7","sahel","48-59","data/derived_cbh/models/subgroups_map_gamma2_v1/sahel_age_7.rds","d75a941889070512c79e6b95c9586715","original","a4cc96887850b993ea4381c0e4371741"
"east_africa_age_1","east_africa","<1","data/derived_cbh/models/subgroups_map_gamma2_v1/east_africa_age_1.rds","7c02b6b5d63990bc32097a55f0730ea1","original","a4cc96887850b993ea4381c0e4371741"
"east_africa_age_2","east_africa","1-5","data/derived_cbh/models/subgroups_map_gamma2_v1/east_africa_age_2.rds","bfc94522ab6fa277029618525f30efb8","original","a4cc96887850b993ea4381c0e4371741"
"east_africa_age_3","east_africa","6-11","data/derived_cbh/models/subgroups_map_gamma2_v1/east_africa_age_3.rds","eafb71a1732fb62692cf0469ca584495","original","a4cc96887850b993ea4381c0e4371741"
"east_africa_age_4","east_africa","12-23","data/derived_cbh/models/subgroups_map_gamma2_v1/east_africa_age_4.rds","965438645a186166b4a54fb6789fe992","original","a4cc96887850b993ea4381c0e4371741"
"east_africa_age_5","east_africa","24-35","data/derived_cbh/models/subgroups_map_gamma2_v1/east_africa_age_5.rds","5338b794c7f76db09f7bd404479f39d2","original","a4cc96887850b993ea4381c0e4371741"
"east_africa_age_6","east_africa","36-47","data/derived_cbh/models/subgroups_map_gamma2_v1/east_africa_age_6_strict.rds","6c38a7d8c3cbc0e21eb27f8e8fc863fe","strict_restart","a4cc96887850b993ea4381c0e4371741"
"east_africa_age_7","east_africa","48-59","data/derived_cbh/models/subgroups_map_gamma2_v1/east_africa_age_7.rds","07345c6e36a3ed92fd9453acdf591cf3","original","a4cc96887850b993ea4381c0e4371741"
"early_age_1","early","<1","data/derived_cbh/models/subgroups_map_gamma2_v1/early_age_1.rds","d1fde4631a9ddbde223fad6034ffb043","original","a4cc96887850b993ea4381c0e4371741"
"early_age_2","early","1-5","data/derived_cbh/models/subgroups_map_gamma2_v1/early_age_2.rds","798cb158056b1d47835423c1e620b072","original","a4cc96887850b993ea4381c0e4371741"
"early_age_3","early","6-11","data/derived_cbh/models/subgroups_map_gamma2_v1/early_age_3.rds","80496d49d9bb9782e1ff23fe4a7f12f6","original","a4cc96887850b993ea4381c0e4371741"
"early_age_4","early","12-23","data/derived_cbh/models/subgroups_map_gamma2_v1/early_age_4.rds","236568b3a629b10f584be5a0d05032e0","original","a4cc96887850b993ea4381c0e4371741"
"early_age_5","early","24-35","data/derived_cbh/models/subgroups_map_gamma2_v1/early_age_5.rds","b2c98afc2321c58c4879e02ee0666c59","original","a4cc96887850b993ea4381c0e4371741"
"early_age_6","early","36-47","data/derived_cbh/models/subgroups_map_gamma2_v1/early_age_6.rds","4d5d581e97c01c849f78d4e46fa54a4d","original","a4cc96887850b993ea4381c0e4371741"
"early_age_7","early","48-59","data/derived_cbh/models/subgroups_map_gamma2_v1/early_age_7.rds","eed20d55ac7dc000d8a84f68d33f5181","original","a4cc96887850b993ea4381c0e4371741"
"late_age_1","late","<1","data/derived_cbh/models/subgroups_map_gamma2_v1/late_age_1.rds","9cbf5cc5fb4faeee04e70f8e7c75df1f","original","a4cc96887850b993ea4381c0e4371741"
"late_age_2","late","1-5","data/derived_cbh/models/subgroups_map_gamma2_v1/late_age_2.rds","851366d953cdadc538d57767915eaa3d","original","a4cc96887850b993ea4381c0e4371741"
"late_age_3","late","6-11","data/derived_cbh/models/subgroups_map_gamma2_v1/late_age_3_strict.rds","d82ce40710b4681426b27c3a9db31f4d","strict_restart","a4cc96887850b993ea4381c0e4371741"
"late_age_4","late","12-23","data/derived_cbh/models/subgroups_map_gamma2_v1/late_age_4_strict.rds","57af4eb1750ab5e13a72673a5f30b84e","strict_restart","a4cc96887850b993ea4381c0e4371741"
"late_age_5","late","24-35","data/derived_cbh/models/subgroups_map_gamma2_v1/late_age_5_strict.rds","6cdb3266f09d25233d3ef44b2ca63bcf","strict_restart","a4cc96887850b993ea4381c0e4371741"
"late_age_6","late","36-47","data/derived_cbh/models/subgroups_map_gamma2_v1/late_age_6.rds","b2fa626483e08ec3f873cf2ab820b83c","original","a4cc96887850b993ea4381c0e4371741"
"late_age_7","late","48-59","data/derived_cbh/models/subgroups_map_gamma2_v1/late_age_7.rds","385ea3df244bf35e440c868ce50b41d0","original","a4cc96887850b993ea4381c0e4371741"
