"outcome","term","beta","se","pct_change_per_unit","p","model","sample"
"u5mr","(Intercept)",-1.29164398109072,0.425993102397632,-72.5181385092665,0.00242877063826803,"gam_nb_count","full"
"u5mr","pfpr10",0.0668246446543313,0.0163540399606222,6.91079879355911,4.38638320689495e-05,"gam_nb_count","full"
"u5mr","dtp3",-0.0101867891941113,0.00218918049235607,-1.01350795909635,3.26754508361863e-06,"gam_nb_count","full"
"u5mr","log_gdp",-0.0793226189893741,0.0507203899738482,-7.62581402982206,0.117836418592458,"gam_nb_count","full"
"u5mr","pct_urban",-0.00380863441298719,0.000598687956159456,-0.380139076399622,1.99617008692155e-10,"gam_nb_count","full"
"m1mo5y","(Intercept)",-1.71573610560827,0.549633127523927,-82.0168702846148,0.00179869664456357,"gam_nb_count","full"
"m1mo5y","pfpr10",0.104453570248954,0.0245642017331907,11.0103850824232,2.11616349443592e-05,"gam_nb_count","full"
"m1mo5y","dtp3",-0.0123326530716568,0.00278359878994013,-1.22569175653792,9.40275927467398e-06,"gam_nb_count","full"
"m1mo5y","log_gdp",-0.0605890601828276,0.0656351874716882,-5.87900590438309,0.355945419961533,"gam_nb_count","full"
"m1mo5y","pct_urban",-0.00572867963610824,0.000731811296785134,-0.571230203984663,4.95364538216231e-15,"gam_nb_count","full"
"u5mr","(Intercept)",-2.08035690348784,0.537767935194647,-87.5114367874023,0.000109505561905317,"gam_nb_count","pfpr_5_50"
"u5mr","pfpr10",0.0547629676592681,0.0231658413116102,5.6290210058688,0.0180810902829412,"gam_nb_count","pfpr_5_50"
"u5mr","dtp3",-0.00785412338018983,0.0026782865169147,-0.782336034473208,0.00336225447762777,"gam_nb_count","pfpr_5_50"
"u5mr","log_gdp",0.0175997530918076,0.0665063022629073,1.77555413492045,0.791292302352951,"gam_nb_count","pfpr_5_50"
"u5mr","pct_urban",-0.00457756141547793,0.000955648581163358,-0.456710034936636,1.66777215232884e-06,"gam_nb_count","pfpr_5_50"
"m1mo5y","(Intercept)",-2.40291232081959,0.678230099727023,-90.9545862150598,0.000395728622499174,"gam_nb_count","pfpr_5_50"
"m1mo5y","pfpr10",0.0834333045644295,0.0272775286466834,8.70127140887178,0.00222312486912473,"gam_nb_count","pfpr_5_50"
"m1mo5y","dtp3",-0.00929980933288312,0.00335810842340235,-0.925669984623989,0.00561666298634907,"gam_nb_count","pfpr_5_50"
"m1mo5y","log_gdp",0.0161749434800219,0.0836892916389153,1.63064660447982,0.846744580848101,"gam_nb_count","pfpr_5_50"
"m1mo5y","pct_urban",-0.00630737128596131,0.00115801613577806,-0.628752157478429,5.13117050585594e-08,"gam_nb_count","pfpr_5_50"
