"country","pfpr_pct","allcause_u5","c1_u5","c1_u5_lo","c1_u5_hi","c2_u5","c2_u5_lo","c2_u5_hi","allcause_pn","c1_pn","c1_pn_lo","c1_pn_hi","c2_pn","c2_pn_lo","c2_pn_hi","ihme"
"Nigeria",24.7029050973954,873988.514612402,178351.589620873,119927.957462475,236775.221779272,133962.448251387,65043.7362484596,197009.574218801,579130.797744896,189730.122261915,121552.069079327,257908.175444502,134093.385805913,75487.2236875939,185879.87938251,150493.13610871
"Congo - Kinshasa",36.0389696426312,400758.080478892,125534.986274059,86451.8459761262,164618.126571991,86371.2487803883,42758.4591820672,124670.972935631,295318.942248102,146431.700673345,95711.1949558866,197152.206390804,94214.0781035585,54436.9392051618,127422.769550693,68299.9225401062
"Niger",17.3322123852766,123948.853307928,26495.5928963824,20682.1780772288,32309.007715536,13656.8842698338,6546.42214832662,20336.7022293589,87223.267142616,31258.8827913226,24054.3427873288,38463.4227953165,14716.2206037519,8141.50391777835,20744.3270759657,23329.372234712
"Uganda",21.8989085169071,83876.9697850544,21246.1167852665,16275.617684316,26216.615886217,11502.3955312296,5557.76211681158,16995.8156675268,47191.5600022688,19984.5022108072,15059.4968427667,24909.5075788477,9826.35715872712,5495.43851654407,13707.4292536329,28473.9253198729
"Mozambique",23.8959888516995,76171.2948680112,17192.7930297463,12267.2837311082,22118.3023283844,11323.8380068851,5490.47186094128,16675.7700219723,43984.4345786664,16012.9932210827,11004.0751822846,21021.9112598809,9892.23031387774,5558.28388169766,13737.3666171138,11387.9817126498
"Cameroon",25.154436708263,62927.4173718528,13726.7174658248,9443.31085678535,18010.1240748643,9807.12942768301,4765.44282369799,14411.7847236653,38844.08479744,13871.6618473781,9215.16412461958,18528.1595701366,9137.40886789522,5149.28515541075,12653.4974023981,17718.226133822
"Angola",20.3629860173891,68980.356479958,8394.28938616031,4593.25590262211,12195.3228696985,8840.62760245592,4260.24212915486,13096.8490767518,43499.8574536878,8549.59292416044,4328.26391991842,12770.9219284025,8489.01840189394,4730.3458815695,11883.2906875453,15265.5258014429
"Côte d’Ivoire",21.6097900536211,65014.19630394,11183.6366870147,7381.79924289462,14985.4741311348,8806.31813809374,4252.92588870571,13018.4834704819,37395.762525212,10664.8937616363,6813.7223796456,14516.0651436269,7695.2400978582,4300.67035390143,10741.628193402,14112.9387768486
"Chad",15.0399054719793,85450.9283520256,10901.4514260134,7423.71479429011,14379.1880577367,8232.06377380593,3930.1992636438,12306.9180686432,58753.0021248768,12324.5617289485,8113.4663855616,16535.6570723355,8704.41327242347,4789.21908705346,12335.5512881508,5497.81037301096
"Mali",17.8159583489328,70641.21068042,13424.480836024,10018.814312774,16830.147359274,7987.83132345161,3832.20710537155,11884.9692340313,43545.9517893,13846.4577388235,10149.2242253065,17543.6912523406,7533.2423296838,4172.45074636329,10607.1678795723,15376.9431014676
"Benin",36.4195176021028,36104.7340696932,10138.2839140231,6580.06112003357,13696.5067080126,7853.78350104414,3890.55822739779,11329.4235995625,22958.16423441,10175.6727356669,6191.0128999347,14160.3325713991,7387.52635926215,4272.18578483401,9983.47497779844,8123.38963423525
"Burkina Faso",20.8895299226178,55270.5526460584,13717.3798250006,10593.0471403782,16841.712509623,7254.1477952807,3498.93406697428,10736.9800425307,37707.9471323576,15671.9422733646,11918.0529716775,19425.8315750516,7528.61982842542,4200.40631374261,10526.2508852884,12438.7300943295
"Guinea",21.3918844138873,45285.8656525125,6607.73693614314,3986.25713940807,9229.21673287821,6076.56785212095,2933.50788594103,8986.37454807089,30633.1099907875,7159.76868562803,4036.85458581934,10282.6827854367,6247.04432465108,3489.51800036589,8724.43265423722,7978.83064374528
"South Sudan",23.0925969704235,33749.2929712992,7040.47624475236,4931.49725633125,9149.45523317347,4861.37122621198,2353.80371284048,7168.65854065578,19963.3873625472,6778.12877527632,4581.14467131016,8975.11287924247,4356.71936860473,2443.36402216261,6061.11787688329,4282.22125812668
"Central African Republic",33.7173529884399,22087.778516349,5178.80619907852,3163.50339438953,7194.10900376751,4487.27543806343,2212.69961060278,6501.54059106569,14725.185677566,5230.04983160784,2863.94404726064,7596.15561595505,4446.4033221513,2555.64673112893,6043.39689534454,4319.77192218517
"Sierra Leone",30.8228777964225,23547.556853028,8044.34347403792,6080.28760949515,10008.3993385807,4414.4474685488,2166.06043759274,6426.4037023918,16184.0666989872,9076.31001371986,6699.02775688042,11453.5922705593,4532.86724389466,2588.17027676246,6199.40334715097,7181.23666935144
"Malawi",19.1949461379247,32911.2359086224,8494.2708597961,6784.78352613733,10203.7581934549,3991.33051822815,1919.48327503125,5924.67152559217,16995.1464118296,7333.8378155795,5779.19110223676,8888.48452892225,3145.20650180548,1747.76340400737,4414.57206586671,6315.80132217637
"Ghana",16.1684528452277,32035.672694592,5914.24894656965,4512.60692220037,7315.89097093893,3305.42639540138,1581.22631074913,4932.00966921277,15883.982561664,5073.62355606565,3849.71838168603,6297.52873044527,2515.08051176386,1387.56169065871,3554.90191408827,7254.33644799362
"Burundi",23.4233910534999,21974.0820818466,7092.65680714785,5699.83579688765,8485.47781740805,3207.08643024575,1553.7142529156,4726.59032568842,13063.148583688,6937.07475577605,5478.87325599994,8395.27625555216,2886.79539124658,1620.24838168138,4013.15579609445,15659.2043758806
"Zambia",14.2547402661023,33759.5140149696,6196.39509875074,4894.15731356553,7498.63288393595,3090.52170164179,1473.45833905874,4626.59363111648,18832.786743888,5934.47096845061,4655.10792267925,7213.83401422197,2655.26998689519,1458.18975777369,3769.8734209521,5272.14715193377
"Togo",20.988802052246,15120.2210037318,3570.48961237118,2711.71224831994,4429.26697642243,1993.27829080903,961.595286461834,2949.78663889275,9029.008977273,3574.52327891758,2671.39874267889,4477.64781515627,1810.34048908241,1010.27129706036,2530.58281339156,1971.63171351714
"Liberia",15.0772926520803,14828.2363073376,2656.473034684,2051.48378022436,3261.46228914363,1431.87775031546,683.66024190896,2140.51616937376,9181.8361393815,2773.74770553378,2114.00771858888,3433.48769247868,1363.43046892402,750.234774356229,1932.03096222955,3088.41507207042
"Congo - Brazzaville",23.0367083039643,7533.5536136424,1439.3366250498,969.707411683839,1908.96583841575,1082.7327227443,524.192293584501,1596.76589985057,4354.4325234864,1374.39707656564,896.348649893219,1852.44550323807,948.26267440438,531.741155107259,1319.39989261126,1414.0779827042
"Equatorial Guinea",22.7908740948625,3859.960493472,455.963946307222,217.908216234374,694.01967638007,549.281660466583,265.814881495659,810.391689473788,2367.0640084968,457.929108160575,200.835731210492,715.022485110658,510.615079747807,286.163708891152,710.856536324101,724.113499098486
"Gabon",18.3941089285982,2245.2973194704,117.956496024768,6.19623439291045,229.716757656626,261.62893842153,125.644921127269,388.889047506153,1122.6486597352,96.3661534755936,-2.04459188189045,194.776898833078,199.918105161037,110.88152615859,281.119370940336,262.056217142271
"TOTAL (25 countries)",NA,2292071.37638711,513116.472427102,357648.823150302,668584.121703901,354351.542794758,172582.222510862,519653.435267847,1507889.57611316,550323.211893208,367934.49372862,732711.930057797,354835.694611603,200713.707257766,489777.476740185,436241.746107133
