"model","label","year","deaths","lo","hi"
"A","A: additive",2000,847650.113888844,580787.097626005,1104361.48509856
"A","A: additive",2001,854971.219144667,586287.054633579,1112044.28942558
"A","A: additive",2002,812473.29831878,556684.073501198,1057595.99767036
"A","A: additive",2003,788974.302169218,539503.407279531,1030535.93432081
"A","A: additive",2004,765268.580795314,521713.685927843,1001930.6904866
"A","A: additive",2005,701766.091889551,476423.166982379,921237.939542761
"A","A: additive",2006,663054.078994186,450551.029250972,870054.509289331
"A","A: additive",2007,629128.772273637,426640.605267841,825939.02361536
"A","A: additive",2008,597714.861088878,405342.731862108,784361.277946998
"A","A: additive",2009,599767.891807669,404440.352147575,790459.54256961
"A","A: additive",2010,553313.434310153,366234.433810418,732630.158653122
"A","A: additive",2011,522245.917146671,341990.221241698,695804.343657838
"A","A: additive",2012,501596.740708726,325088.332367741,672026.954470915
"A","A: additive",2013,489777.244813169,314202.178467664,660908.58397973
"A","A: additive",2014,474563.168819433,298425.210321866,644866.937228938
"A","A: additive",2015,441575.357146789,272164.311571488,610694.111543432
"A","A: additive",2016,418254.93312664,253267.164859712,585011.27819515
"A","A: additive",2017,417818.267990854,254164.257667902,582821.837896215
"A","A: additive",2018,414973.553570978,257352.280761923,571160.306309066
"A","A: additive",2019,439379.175355224,278270.513784312,595540.696562235
"A","A: additive",2020,433717.197863196,274799.045352298,588253.123522627
"A","A: additive",2021,419618.751585862,260261.502755841,575786.68112689
"A","A: additive",2022,420092.301743122,257453.557533245,585248.700312467
"A","A: additive",2023,395037.429557442,239003.520651045,552697.111339471
"A","A: additive",2024,387949.344379535,235362.654169036,541838.377648869
"C","C: curve shifts linearly in time",2000,471695.473535374,29010.6286532856,922298.496735037
"C","C: curve shifts linearly in time",2001,505789.512953206,68943.6488235348,939473.658810609
"C","C: curve shifts linearly in time",2002,510941.30131267,111906.062955289,902096.827661422
"C","C: curve shifts linearly in time",2003,526895.60485219,159475.397498365,890066.27054959
"C","C: curve shifts linearly in time",2004,539772.713507342,206553.022154278,879157.744126767
"C","C: curve shifts linearly in time",2005,520778.98466785,234480.481513648,816661.254936142
"C","C: curve shifts linearly in time",2006,516091.570966084,258950.22238403,777213.52607448
"C","C: curve shifts linearly in time",2007,512076.824222511,281477.045312574,746957.078643419
"C","C: curve shifts linearly in time",2008,506088.979299473,296842.03693763,719472.164122712
"C","C: curve shifts linearly in time",2009,523439.076935903,321136.257397773,732489.789434707
"C","C: curve shifts linearly in time",2010,494988.850410664,310070.314892968,688183.383911514
"C","C: curve shifts linearly in time",2011,479141.669869309,304143.653443467,660211.16955621
"C","C: curve shifts linearly in time",2012,469508.696715866,300991.204015097,645097.683970406
"C","C: curve shifts linearly in time",2013,468240.513766229,299255.755973989,642423.518960698
"C","C: curve shifts linearly in time",2014,463110.211131835,293140.07324179,636965.842924345
"C","C: curve shifts linearly in time",2015,439372.862512218,272403.903806397,610392.36577811
"C","C: curve shifts linearly in time",2016,425963.006012453,260575.566544875,594784.815535144
"C","C: curve shifts linearly in time",2017,436732.402300439,267142.547823523,602876.333243742
"C","C: curve shifts linearly in time",2018,445736.80276179,275858.848827047,604984.592163963
"C","C: curve shifts linearly in time",2019,485312.224579036,309158.659065187,650102.267300411
"C","C: curve shifts linearly in time",2020,489803.710226456,307651.764357585,657159.657569792
"C","C: curve shifts linearly in time",2021,481778.866003842,291894.83649793,655473.758882701
"C","C: curve shifts linearly in time",2022,490718.600632188,281643.344025402,679163.558007924
"C","C: curve shifts linearly in time",2023,470459.603144043,264235.123095245,658585.740017089
"C","C: curve shifts linearly in time",2024,470944.103189226,259824.56194206,660398.928956068
"D","D: full surface",2000,448676.314007092,1131.38989548178,1014866.16483142
"D","D: full surface",2001,480238.419933359,21392.6293487364,970440.841159075
"D","D: full surface",2002,486884.980758261,72633.7527187442,900482.630585847
"D","D: full surface",2003,503330.610365235,124306.546911046,877974.592221591
"D","D: full surface",2004,519691.521706687,153122.44879119,876244.879280249
"D","D: full surface",2005,506835.246148044,176838.064851533,816501.737223988
"D","D: full surface",2006,510072.707989193,209522.886043065,793880.386144297
"D","D: full surface",2007,512636.500857019,243285.898923396,776875.201377971
"D","D: full surface",2008,508645.279873364,254142.531471458,752435.959048967
"D","D: full surface",2009,529048.809810561,275900.121340755,775819.867363425
"D","D: full surface",2010,507645.259992879,269326.715755964,738727.4810775
"D","D: full surface",2011,494107.972011053,274581.075584677,709225.231964742
"D","D: full surface",2012,484162.609713407,268643.789173387,683697.710507104
"D","D: full surface",2013,486916.217748284,272074.464851654,682457.259424937
"D","D: full surface",2014,489944.748629272,274686.456774182,688933.783089923
"D","D: full surface",2015,479659.266674892,275617.652428625,676861.494240637
"D","D: full surface",2016,478651.242299103,286131.796664381,670230.12872051
"D","D: full surface",2017,499846.397308958,312004.92103091,693252.47350481
"D","D: full surface",2018,511891.516077781,330237.118125786,702601.135135046
"D","D: full surface",2019,549813.6961255,364433.089084911,750658.720554068
"D","D: full surface",2020,537533.810345398,355203.339701016,729239.074481476
"D","D: full surface",2021,498351.732819695,309384.2139398,690543.933248105
"D","D: full surface",2022,464349.052586198,247235.118013428,691102.46064066
"D","D: full surface",2023,397076.64327837,115276.898431243,655828.306643923
"D","D: full surface",2024,350285.0299735,19835.2437895674,649909.51814458
