"split","group","model","regions","surveys","elpd_diff_vs_A","se_diff"
"era","2013 onwards","C",519,52,1.66148767479342,2.63423950109568
"era","2013 onwards","D",519,52,3.70508503171291,2.52399601274111
"era","before 2013","C",536,66,4.36852983939274,2.1102641715861
"era","before 2013","D",536,66,3.39374758958002,2.35405235160092
"region","Central & East","C",642,67,1.49295597363584,3.03542064545513
"region","Central & East","D",642,67,1.64881166517237,2.81668663096718
"region","West","C",413,51,4.53706154055032,1.47111407160134
"region","West","D",413,51,5.45002095612056,1.98733143571101
"prevalence band","PfPR < 10%","C",373,61,0.0527000105555162,1.89788296308366
"prevalence band","PfPR < 10%","D",373,61,1.16153811285066,1.9479817990163
"prevalence band","10-30%","C",353,83,-0.651236593768817,1.36046859054375
"prevalence band","10-30%","D",353,83,-0.808331527487702,1.51207542163321
"prevalence band","30%+","C",329,64,6.62855409739946,2.42007987489157
"prevalence band","30%+","D",329,64,6.74562603592997,2.39724405502576
