"subset","split","region","era","prevalence","af","lo","hi"
"all data","reference","Both regions","All years",1.74911910905139,0.0120485864495402,0.00595454673760751,0.0188900055431256
"all data","reference","Both regions","All years",3.49957219074335,0.0395898887704784,0.019765633521884,0.0616003087890041
"all data","reference","Both regions","All years",5.25002527243531,0.0662423216625277,0.0337011663221825,0.101902650677268
"all data","reference","Both regions","All years",7.00047835412726,0.0919244846929042,0.0481923120311542,0.139740646039758
"all data","reference","Both regions","All years",8.75093143581922,0.116538278286763,0.0635812190438936,0.174363007733141
"all data","reference","Both regions","All years",10.5013845175112,0.139984418719707,0.0795652253068641,0.20574831841317
"all data","reference","Both regions","All years",12.2518375992031,0.162168951243612,0.0960262547991495,0.232954813243448
"all data","reference","Both regions","All years",14.0022906808951,0.183007374421515,0.112657370762192,0.257235772754358
"all data","reference","Both regions","All years",15.752743762587,0.202428022840479,0.129241318857855,0.277954941276782
"all data","reference","Both regions","All years",17.503196844279,0.220377730783719,0.14552253826261,0.295985718832924
"all data","reference","Both regions","All years",19.253649925971,0.236826486887631,0.161087024476497,0.312927205812051
"all data","reference","Both regions","All years",21.0041030076629,0.251770139958512,0.174333162568953,0.327873082669759
"all data","reference","Both regions","All years",22.7545560893549,0.265230037948511,0.187684317977021,0.341318364097957
"all data","reference","Both regions","All years",24.5050091710468,0.27725330712532,0.199130143380275,0.352518988028494
"all data","reference","Both regions","All years",26.2554622527388,0.287908963837758,0.209406869500661,0.362077900258988
"all data","reference","Both regions","All years",28.0059153344307,0.2972784847203,0.220564896802986,0.37068932882548
"all data","reference","Both regions","All years",29.7563684161227,0.305451000016768,0.228558265951517,0.379032258978656
"all data","reference","Both regions","All years",31.5068214978147,0.312522715955486,0.235483283276813,0.386017838529533
"all data","reference","Both regions","All years",33.2572745795066,0.318594770913995,0.242505633410771,0.391496364936264
"all data","reference","Both regions","All years",35.0077276611986,0.323771231208106,0.248511376806173,0.397081119876331
"all data","reference","Both regions","All years",36.7581807428905,0.328159424106187,0.252390715939575,0.400968625371323
"all data","reference","Both regions","All years",38.5086338245825,0.331867374117047,0.254964186528543,0.404881602260121
"all data","reference","Both regions","All years",40.2590869062744,0.335000330641184,0.258125492910469,0.407896460955058
"all data","reference","Both regions","All years",42.0095399879664,0.337657392524217,0.259944682036628,0.410865493749953
"all data","reference","Both regions","All years",43.7599930696583,0.339927202519736,0.261223712489771,0.41344005927424
"all data","reference","Both regions","All years",45.5104461513503,0.341886450558215,0.262255601698583,0.415674446580604
"all data","reference","Both regions","All years",47.2608992330423,0.343602032300804,0.263772041713497,0.41830028495504
"all data","reference","Both regions","All years",49.0113523147342,0.345132543378866,0.265471631627433,0.41985848026452
"all data","reference","Both regions","All years",50.7618053964262,0.346524722655789,0.265211039301056,0.421962849367384
"all data","reference","Both regions","All years",52.5122584781181,0.34781524748515,0.265800436192882,0.423775742444945
"all data","reference","Both regions","All years",54.2627115598101,0.349032922673893,0.265346993393771,0.425361991966702
"all data","reference","Both regions","All years",56.013164641502,0.350201320236458,0.266583747921608,0.427196712677332
"all data","reference","Both regions","All years",57.763617723194,0.35133944947289,0.267652509775173,0.429575745162346
"all data","reference","Both regions","All years",59.514070804886,0.352461187592942,0.268330208578284,0.431516930307066
"all data","reference","Both regions","All years",61.2645238865779,0.35357573173717,0.267387071501145,0.432327422734974
"all data","reference","Both regions","All years",63.0149769682699,0.354687518093078,0.268728061158766,0.433871478682333
"all data","reference","Both regions","All years",64.7654300499618,0.355797133046341,0.26785385659318,0.435403991639775
"all data","reference","Both regions","All years",66.5158831316538,0.35690226861991,0.267575663201136,0.437556692504967
"all data","reference","Both regions","All years",68.2663362133457,0.357998851821653,0.267963532917503,0.439247980042879
"all data","reference","Both regions","All years",70.0167892950377,0.359081824320834,0.266505920431589,0.44211294626758
"before 2013","era","Both regions","before 2013",1.89022801562048,0.0166572488477809,0.00762447983111281,0.0266939119362409
