"split","subset","n","surveys","countries","prevalence","af","lo","hi","divergent_transitions","max_rhat","min_ess"
"reference","all data",1111,118,35,10,0.133393672367002,0.0750573332291815,0.196881354851757,0,1.00791733049594,764.91202313293
"reference","all data",1111,118,35,30,0.306498932727805,0.229587687666049,0.379896375282026,0,1.00791733049594,764.91202313293
"reference","all data",1111,118,35,50,0.345933306951036,0.26540114764585,0.420482851775644,0,1.00791733049594,764.91202313293
"era","before 2010",367,44,28,10,0.141344706617975,0.0608795210832267,0.225117699199306,0,1.0027870589604,809.396963060795
"era","before 2010",367,44,28,30,0.324758910048626,0.202060037357987,0.437515030035858,0,1.0027870589604,809.396963060795
"era","before 2010",367,44,28,50,0.373992234725617,0.255902314510491,0.480544625280872,0,1.0027870589604,809.396963060795
"era","2010 onwards",744,74,32,10,0.132195068448024,0.0526947203874118,0.211115181384643,0,1.00213073523615,1358.58099986917
"era","2010 onwards",744,74,32,30,0.317470799049642,0.214083430905471,0.406019140829022,0,1.00213073523615,1358.58099986917
"era","2010 onwards",744,74,32,50,0.367356058991895,0.263577363687358,0.462354566394823,0,1.00213073523615,1358.58099986917
"region","West",427,51,14,10,0.0955257600828261,0.0151468698537469,0.203541240176389,0,1.00263513804917,1617.63720867143
"region","West",427,51,14,30,0.220393589051997,0.0728917340112173,0.384224026013711,0,1.00263513804917,1617.63720867143
"region","West",427,51,14,50,0.266886911389674,0.117594728762874,0.415285156320023,0,1.00263513804917,1617.63720867143
"region","Central & East",684,67,21,10,0.116030861920341,0.0415120661481364,0.190491159341939,0,1.00260451740794,1092.17437822846
"region","Central & East",684,67,21,30,0.292231099621179,0.193553223343353,0.379470579068169,0,1.00260451740794,1092.17437822846
"region","Central & East",684,67,21,50,0.322904141836971,0.210769813943715,0.424865481024221,0,1.00260451740794,1092.17437822846
"era x region","West, before 2010",134,16,10,10,0.0806546180356095,0,0.237637944721506,1,1.00248236512542,775.060071128603
"era x region","West, before 2010",134,16,10,30,0.174303833500752,0,0.426914376037781,1,1.00248236512542,775.060071128603
"era x region","West, before 2010",134,16,10,50,0.204079127422273,0,0.431640298567939,1,1.00248236512542,775.060071128603
"era x region","Central & East, before 2010",233,28,18,10,0.120226074116395,0.0155270622324144,0.221389934542667,0,1.00433126153642,995.060203206107
"era x region","Central & East, before 2010",233,28,18,30,0.305824088487641,0.144291778577509,0.449142197648291,0,1.00433126153642,995.060203206107
"era x region","Central & East, before 2010",233,28,18,50,0.373572129469078,0.207941824354732,0.523266575493061,0,1.00433126153642,995.060203206107
"era x region","West, 2010 onwards",293,35,14,10,0.0983332377384346,0.000485363813660165,0.22625545861211,0,1.00246678826409,1444.19471126562
"era x region","West, 2010 onwards",293,35,14,30,0.229182344082363,0.0432296605227022,0.419396075101706,0,1.00246678826409,1444.19471126562
"era x region","West, 2010 onwards",293,35,14,50,0.288066496527324,0.101282770184405,0.459631820353637,0,1.00246678826409,1444.19471126562
"era x region","Central & East, 2010 onwards",451,39,18,10,0.142455000984693,0.0403576872132318,0.249080385246952,0,1.0030852512199,1558.53695533476
"era x region","Central & East, 2010 onwards",451,39,18,30,0.334767268883578,0.206186263297011,0.447392924078074,0,1.0030852512199,1558.53695533476
"era x region","Central & East, 2010 onwards",451,39,18,50,0.365850950838627,0.220669975235737,0.491515979168917,0,1.0030852512199,1558.53695533476
