"SurveyId","svkey","pipeline","dhs_api","diff","year"
"AO2011MIS","AO62FL",49.9412968693415,58.9,-8.95870313065853,2011
"AO2015DHS","AO71FL",42.8464065562118,66.9,-24.0535934437883,2015
"AO2023DHS","AO81FL",60.7701960123767,69.9,-9.12980398762328,2023
"BF2003DHS","BF43FL",58.3815112632189,60.6,-2.21848873678115,2003
"BF2010DHS","BF62FL",76.1342143893985,77,-0.865785610601549,2010
"BF2021DHS","BF81FL",81.8883190889133,84.4,-2.51168091108667,2021
"BJ2001DHS","BJ41FL",53.2846994069345,66.5,-13.2153005930655,2001
"BJ2006DHS","BJ51FL",68.9607150485141,71,-2.0392849514859,2006
"BJ2012DHS","BJ61FL",77.9902178226614,78.6,-0.609782177338587,2012
"BJ2017DHS","BJ71FL",69.8038555358111,71.7,-1.89614446418892,2017
"BU2010DHS","BU61FL",75.0788269490325,75.3,-0.221173050967536,2010
"BU2016DHS","BU71FL",82.5381854123927,82.9,-0.361814587607313,2016
"CD2007DHS","CD51FL",45.4377177423616,46.3,-0.862282257638391,2007
"CD2013DHS","CD61FL",48.3131769441282,48.8,-0.486823055871781,2013
"CD2023DHS","CD81FL",51.4018158281736,52.5,-1.09818417182638,2023
"CG2005DHS","CG51FL",0.265001802537049,66.3,-66.034998197463,2005
"CG2011DHS","CG61FL",75.228627720073,75.7,-0.471372279927053,2011
"CI2012DHS","CI62FL",77.2089739777878,78.4,-1.1910260222122,2012
"CI2021DHS","CI81FL",81.8464404491909,84.9,-3.0535595508091,2021
"CM2004DHS","CM44FL",44.645368781749,59.6,-14.954631218251,2004
"CM2011DHS","CM61FL",68.5067206673309,71.1,-2.59327933266911,2011
"CM2018DHS","CM71FL",74.2553143142183,78.8,-4.54468568578167,2018
"ET2000DHS","ET41FL",15.2673378971571,25.3,-10.0326621028429,2000
"ET2005DHS","ET51FL",59.6945058040503,61.6,-1.90549419594975,2005
"ET2011DHS","ET61FL",50.6688010381175,54.4,-3.73119896188248,2011
"ET2016DHS","ET71FL",61.9265058535751,65.2,-3.2734941464249,2016
"ET2019DHS","ET81FL",68.2001185611392,68.7,-0.499881438860783,2019
"ET2024DHS","ET8AFL",71.4877359266716,74.9,-3.41226407332844,2024
"GA2000DHS","GA41FL",83.4846818543891,78.8,4.68468185438907,2000
"GA2012DHS","GA61FL",90.8118805598472,93.1,-2.2881194401528,2012
"GA2019DHS","GA71FL",92.6927869774811,92.5,0.192786977481106,2019
"GH2003DHS","GH4BFL",65.3443546622591,70,-4.65564533774092,2003
"GH2008DHS","GH5AFL",85.375225371965,87.5,-2.12477462803504,2008
"GH2014DHS","GH72FL",87.5706978192318,90.1,-2.5293021807682,2014
"GH2022DHS","GH8CFL",88.1827919970489,90.5,-2.31720800295109,2022
"GM2013DHS","GM61FL",90.0910727163076,91,-0.908927283692421,2013
"GM2019DHS","GM81FL",92.953798314761,94.9,-1.94620168523906,2019
"GN2005DHS","GN52FL",27.6789814474747,61.9,-34.2210185525253,2005
"GN2012DHS","GN62FL",74.3059830982275,75,-0.694016901772457,2012
"GN2018DHS","GN71FL",77.862292208022,79.3,-1.43770779197804,2018
"KE2003DHS","KE42FL",31.0824128202823,45.4,-14.3175871797177,2003
"KE2008DHS","KE52FL",62.1255830008203,64.8,-2.67441699917967,2008
"KE2014DHS","KE72FL",68.5806109449584,73.1,-4.5193890550416,2014
"KE2022DHS","KE8CFL",75.6143180777264,80.4,-4.78568192227358,2022
"KM2012DHS","KM61FL",86.6071955446995,91,-4.39280445530048,2012
"LB2007DHS","LB51FL",65.78819166178,67.9,-2.11180833822,2007
"LB2009MIS","LB5AFL",74.9635007193011,75.2,-0.236499280698922,2009
"LB2013DHS","LB6AFL",71.3771401276312,75.5,-4.12285987236881,2013
"LB2019DHS","LB7AFL",83.50574019716,84,-0.49425980284002,2019
"MD2004DHS","MD42FL",33.9311309329773,34.8,-0.868869067022658,2004
"MD2008DHS","MD51FL",41.0930421693952,41.5,-0.406957830604775,2008
"MD2021DHS","MD81FL",45.8815455899553,48,-2.11845441004474,2021
"ML2001DHS","ML41FL",44.0740491169136,41.9,2.17404911691357,2001
"ML2006DHS","ML53FL",55.7405175078186,56,-0.259482492181426,2006
