"DataId","Indicator","Value","Precision","DHS_CountryCode","CountryName","SurveyYear","SurveyId","IndicatorId","IndicatorOrder","IndicatorType","CharacteristicId","CharacteristicOrder","CharacteristicCategory","CharacteristicLabel","ByVariableId","ByVariableLabel","IsTotal","IsPreferred","SDRID","RegionId","SurveyYearLabel","SurveyType","DenominatorWeighted","DenominatorUnweighted","CILow","CIHigh","LevelRank"
2973874,"Households using an improved water source",51.2,1,"AO","Angola",2011,"AO2011MIS","WS_SRCE_H_IMP",250161010,"I",506001,1506001,"Region","Stable mesoendemic",0,"",0,1,"WSSRCEHIMP","AOMIS2011506001","2011","MIS",3050,1999,"","","1"
7625239,"Households using an improved water source",30.7,1,"AO","Angola",2011,"AO2011MIS","WS_SRCE_H_IMP",250161010,"I",506002,1506002,"Region","Hyperendemic",0,"",0,1,"WSSRCEHIMP","AOMIS2011506002","2011","MIS",1794,1984,"","","1"
458206,"Households using an improved water source",61.7,1,"AO","Angola",2011,"AO2011MIS","WS_SRCE_H_IMP",250161010,"I",506003,1506003,"Region","Instable mesoendemic",0,"",0,1,"WSSRCEHIMP","AOMIS2011506003","2011","MIS",1369,1994,"","","1"
3898710,"Households using an improved water source",97.7,1,"AO","Angola",2011,"AO2011MIS","WS_SRCE_H_IMP",250161010,"I",506004,1506004,"Region","Luanda",0,"",0,1,"WSSRCEHIMP","AOMIS2011506004","2011","MIS",1816,2053,"","","1"
3808569,"Population using an improved water source",54.2,1,"AO","Angola",2011,"AO2011MIS","WS_SRCE_P_IMP",250162010,"I",506001,1506001,"Region","Stable mesoendemic",0,"",0,1,"WSSRCEPIMP","AOMIS2011506001","2011","MIS",14934,9724,"","","1"
5170724,"Population using an improved water source",33.2,1,"AO","Angola",2011,"AO2011MIS","WS_SRCE_P_IMP",250162010,"I",506002,1506002,"Region","Hyperendemic",0,"",0,1,"WSSRCEPIMP","AOMIS2011506002","2011","MIS",8177,9089,"","","1"
2972671,"Population using an improved water source",62.5,1,"AO","Angola",2011,"AO2011MIS","WS_SRCE_P_IMP",250162010,"I",506003,1506003,"Region","Instable mesoendemic",0,"",0,1,"WSSRCEPIMP","AOMIS2011506003","2011","MIS",6912,9834,"","","1"
6579945,"Population using an improved water source",98,1,"AO","Angola",2011,"AO2011MIS","WS_SRCE_P_IMP",250162010,"I",506004,1506004,"Region","Luanda",0,"",0,1,"WSSRCEPIMP","AOMIS2011506004","2011","MIS",9945,11239,"","","1"
6329345,"Households with an improved sanitation facility",34.3,1,"AO","Angola",2011,"AO2011MIS","WS_TLET_H_IMP",250261010,"I",506001,1506001,"Region","Stable mesoendemic",0,"",0,1,"WSTLETHIMP","AOMIS2011506001","2011","MIS",3050,1999,"","","1"
2972720,"Households with an improved sanitation facility",24.5,1,"AO","Angola",2011,"AO2011MIS","WS_TLET_H_IMP",250261010,"I",506002,1506002,"Region","Hyperendemic",0,"",0,1,"WSTLETHIMP","AOMIS2011506002","2011","MIS",1794,1984,"","","1"
252631,"Households with an improved sanitation facility",27.6,1,"AO","Angola",2011,"AO2011MIS","WS_TLET_H_IMP",250261010,"I",506003,1506003,"Region","Instable mesoendemic",0,"",0,1,"WSTLETHIMP","AOMIS2011506003","2011","MIS",1369,1994,"","","1"
7275007,"Households with an improved sanitation facility",92.7,1,"AO","Angola",2011,"AO2011MIS","WS_TLET_H_IMP",250261010,"I",506004,1506004,"Region","Luanda",0,"",0,1,"WSTLETHIMP","AOMIS2011506004","2011","MIS",1816,2053,"","","1"
1350953,"Population with an improved sanitation facility",37.9,1,"AO","Angola",2011,"AO2011MIS","WS_TLET_P_IMP",250262010,"I",506001,1506001,"Region","Stable mesoendemic",0,"",0,1,"WSTLETPIMP","AOMIS2011506001","2011","MIS",14934,9724,"","","1"
5635462,"Population with an improved sanitation facility",26.7,1,"AO","Angola",2011,"AO2011MIS","WS_TLET_P_IMP",250262010,"I",506002,1506002,"Region","Hyperendemic",0,"",0,1,"WSTLETPIMP","AOMIS2011506002","2011","MIS",8177,9089,"","","1"
429880,"Population with an improved sanitation facility",28.1,1,"AO","Angola",2011,"AO2011MIS","WS_TLET_P_IMP",250262010,"I",506003,1506003,"Region","Instable mesoendemic",0,"",0,1,"WSTLETPIMP","AOMIS2011506003","2011","MIS",6912,9834,"","","1"
2972697,"Population with an improved sanitation facility",93.5,1,"AO","Angola",2011,"AO2011MIS","WS_TLET_P_IMP",250262010,"I",506004,1506004,"Region","Luanda",0,"",0,1,"WSTLETPIMP","AOMIS2011506004","2011","MIS",9945,11239,"","","1"
601105,"Households using an improved water source",85.3,1,"AO","Angola",2015,"AO2015DHS","WS_SRCE_H_IMP",250161010,"I",506011,1506011,"Region","Cabinda         ",0,"",0,1,"WSSRCEHIMP","AODHS2015506011","2015-16","DHS",398,842,"","","1"
7251353,"Households using an improved water source",70.2,1,"AO","Angola",2015,"AO2015DHS","WS_SRCE_H_IMP",250161010,"I",506012,1506012,"Region","Zaire           ",0,"",0,1,"WSSRCEHIMP","AODHS2015506012","2015-16","DHS",343,852,"","","1"
4799870,"Households using an improved water source",40,1,"AO","Angola",2015,"AO2015DHS","WS_SRCE_H_IMP",250161010,"I",506013,1506013,"Region","Uíge            ",0,"",0,1,"WSSRCEHIMP","AODHS2015506013","2015-16","DHS",905,855,"","","1"
2980796,"Households using an improved water source",96.7,1,"AO","Angola",2015,"AO2015DHS","WS_SRCE_H_IMP",250161010,"I",506014,1506014,"Region","Luanda          ",0,"",0,1,"WSSRCEHIMP","AODHS2015506014","2015-16","DHS",4931,1676,"","","1"
6579981,"Households using an improved water source",79.3,1,"AO","Angola",2015,"AO2015DHS","WS_SRCE_H_IMP",250161010,"I",506015,1506015,"Region","Cuanza Norte    ",0,"",0,1,"WSSRCEHIMP","AODHS2015506015","2015-16","DHS",274,858,"","","1"
2980855,"Households using an improved water source",35.8,1,"AO","Angola",2015,"AO2015DHS","WS_SRCE_H_IMP",250161010,"I",506016,1506016,"Region","Cuanza Sul      ",0,"",0,1,"WSSRCEHIMP","AODHS2015506016","2015-16","DHS",1364,840,"","","1"
5579745,"Households using an improved water source",54.7,1,"AO","Angola",2015,"AO2015DHS","WS_SRCE_H_IMP",250161010,"I",506017,1506017,"Region","Malanje         ",0,"",0,1,"WSSRCEHIMP","AODHS2015506017","2015-16","DHS",661,857,"","","1"
3614796,"Households using an improved water source",54.3,1,"AO","Angola",2015,"AO2015DHS","WS_SRCE_H_IMP",250161010,"I",506018,1506018,"Region","Lunda Norte     ",0,"",0,1,"WSSRCEHIMP","AODHS2015506018","2015-16","DHS",493,857,"","","1"
7667016,"Households using an improved water source",60.6,1,"AO","Angola",2015,"AO2015DHS","WS_SRCE_H_IMP",250161010,"I",506019,1506019,"Region","Benguela        ",0,"",0,1,"WSSRCEHIMP","AODHS2015506019","2015-16","DHS",1355,851,"","","1"
256739,"Households using an improved water source",53.9,1,"AO","Angola",2015,"AO2015DHS","WS_SRCE_H_IMP",250161010,"I",506020,1506020,"Region","Huambo          ",0,"",0,1,"WSSRCEHIMP","AODHS2015506020","2015-16","DHS",1150,846,"","","1"
