"svkey","rule","jmp","ambiguous","dhs_api","year","rule_minus_api","jmp_minus_api","numeric_code_share"
"AO62FL",13.8340124286093,45.0344610736808,0,44.2,2011,-30.3659875713907,0.834461073680814,0
"AO71FL",64.1465709994344,66.1372053255301,0,63.7,2015,0.446570999434414,2.43720532553006,0
"AO81FL",67.5237892441246,67.6015965910485,0,66.8,2023,0.723789244124617,0.801596591048508,0
"BF43FL",19.5447624727046,19.5447624727046,0,21.4,2003,-1.85523752729544,-1.85523752729544,0
"BF62FL",30.0493589630991,30.0493589630991,0,31.3,2010,-1.25064103690088,-1.25064103690088,0
"BF81FL",62.32042135576,62.32042135576,0,64.3,2021,-1.97957864424003,-1.97957864424003,0
"BJ41FL",32.1183463434168,17.1406224767571,0,17.1,2001,15.0183463434168,0.0406224767571359,0
"BJ51FL",35.541441117728,20.6299161872005,0,18,2006,17.541441117728,2.62991618720052,0
"BJ61FL",33.0066218020722,33.0066218020722,0,33.7,2012,-0.693378197927835,-0.693378197927835,0
"BJ71FL",33.2294397250876,33.2294397250876,0,34.4,2017,-1.17056027491241,-1.17056027491241,0
"BU61FL",39.4535654322412,39.4535654322412,0,39.9,2010,-0.446434567758772,-0.446434567758772,0
"BU71FL",49.9337418184655,49.9337418184655,0,49.8,2016,0.133741818465467,0.133741818465467,0
"CD51FL",0,0,0,37.8,2007,-37.8,-37.8,99.078166598668
"CD61FL",39.6377140534805,39.6377140534805,0,39.7,2013,-0.0622859465195447,-0.0622859465195447,0
"CD81FL",32.9704591107417,32.9704591107417,0,33.5,2023,-0.529540889258271,-0.529540889258271,0
"CG51FL",20.1446576688979,20.1446576688979,0,19.9,2005,0.244657668897929,0.244657668897929,0
"CG61FL",42.0988455499042,42.0988455499042,0,41.6,2011,0.498845549904217,0.498845549904217,0
"CI62FL",47.4586633568111,47.4586633568111,0,46.8,2012,0.658663356811111,0.658663356811111,0
"CI81FL",62.4183446739999,62.4183446739999,0,64.1,2021,-1.68165532600014,-1.68165532600014,0
