"svkey","rule","jmp","ambiguous","dhs_api","year","rule_minus_api","jmp_minus_api","numeric_code_share"
"AO62FL",50.3952701219823,61.1718629922426,0,58.9,2011,-8.5047298780177,2.27186299224262,0
"AO71FL",43.1147241780575,69.3730909068089,0,66.9,2015,-23.7852758219425,2.47309090680888,0
"AO81FL",61.2410069884957,70.9563486216486,0,69.9,2023,-8.65899301150435,1.05634862164855,0
"BF43FL",59.0206299288534,59.0206299288534,0,60.6,2003,-1.57937007114658,-1.57937007114658,0
"BF62FL",76.5353141940644,76.6024717042631,0,77,2010,-0.464685805935645,-0.397528295736876,0
"BF81FL",82.4352326021411,83.4570177551076,0,84.4,2021,-1.96476739785886,-0.942982244892448,0
"BJ41FL",54.3967158387536,66.7230698974104,0,66.5,2001,-12.1032841612464,0.223069897410411,0
"BJ51FL",69.7630998024573,69.879235605222,0,71,2006,-1.23690019754268,-1.12076439477799,0
"BJ61FL",78.2759029977937,78.5094295987156,0,78.6,2012,-0.324097002206329,-0.0905704012843955,0
"BJ71FL",70.5357425564312,71.062729004423,0,71.7,2017,-1.16425744356883,-0.637270995576969,0
"BU61FL",75.2711160250052,75.2893351976807,0,75.3,2010,-0.0288839749947556,-0.0106648023193259,0
"BU71FL",82.7767036888057,82.8592015436225,0,82.9,2016,-0.123296311194295,-0.0407984563774875,0
"CD51FL",45.8083409897602,45.8778580638279,0,46.3,2007,-0.491659010239758,-0.422141936172096,0
"CD61FL",48.6878247450401,48.7236949053898,0,48.8,2013,-0.11217525495988,-0.0763050946102197,0
"CD81FL",51.703545422387,52.4517385684952,0,52.5,2023,-0.796454577613048,-0.0482614315047627,0
"CG51FL",5.26770844091663,15.3549178003547,0,66.3,2005,-61.0322915590834,-50.9450821996453,91.9151053998107
"CG61FL",77.1242066836732,77.1242066836732,0,75.7,2011,1.4242066836732,1.4242066836732,0
"CI62FL",78.1884557626401,78.2983732405802,0,78.4,2012,-0.211544237359945,-0.101626759419844,0
"CI81FL",82.9938065722787,83.7149983246549,0,84.9,2021,-1.90619342772133,-1.18500167534506,0
"CM44FL",46.3645853675615,65.6897036447162,0,59.6,2004,-13.2354146324385,6.08970364471624,0
"CM61FL",69.8496845106542,70.3386340011978,0,71.1,2011,-1.25031548934581,-0.761365998802233,0
"CM71FL",76.42694252222,76.9071653644045,0,78.8,2018,-2.37305747777997,-1.89283463559549,0
"ET41FL",15.5322285522472,23.1791041408889,0,25.3,2000,-9.76777144775278,-2.12089585911113,0
"ET51FL",59.9798833091776,60.1807136365171,0,61.6,2005,-1.62011669082239,-1.41928636348288,0
"ET61FL",51.3300506148963,51.9847167083214,0,54.4,2011,-3.06994938510366,-2.41528329167856,0
"ET71FL",62.5196033110727,63.0032703626507,0,65.2,2016,-2.68039668892735,-2.19672963734927,0
"ET81FL",68.5278174001134,69.0528844799946,0,68.7,2019,-0.172182599886568,0.352884479994643,0
"ET8AFL",72.1815197765728,74.0065827820491,0,74.9,2024,-2.71848022342718,-0.893417217950912,0
"GA41FL",83.4846818543891,83.4846818543891,0,78.8,2000,4.68468185438907,4.68468185438907,0
"GA61FL",93.8890238180739,93.8890238180739,0,93.1,2012,0.789023818073886,0.789023818073886,1.47853070919102
"GA71FL",94.1506715337965,94.4200063323473,0,92.5,2019,1.65067153379654,1.92000633234733,0
"GH4BFL",65.7481078838088,67.8121353180813,0,70,2003,-4.25189211619124,-2.18786468191865,0
"GH5AFL",85.9223519475767,86.6770613278,0,87.5,2008,-1.57764805242327,-0.822938672200038,0
"GH72FL",89.0833567735688,89.2825791205568,0,90.1,2014,-1.01664322643123,-0.81742087944319,0
"GH8CFL",89.2181595026576,89.3423198562686,0,90.5,2022,-1.28184049734244,-1.1576801437314,0
"GM61FL",90.5438949814695,90.5438949814695,0,91,2013,-0.456105018530451,-0.456105018530451,0
"GM81FL",94.1602736429761,94.1602736429761,0,94.9,2019,-0.73972635702394,-0.73972635702394,0
"GN52FL",28.1319152744298,60.9776040381877,0,61.9,2005,-33.7680847255702,-0.922395961812342,0
"GN62FL",75.037868240616,75.0900078830042,0,75,2012,0.0378682406160209,0.0900078830041764,0
"GN71FL",78.538253336334,78.8670807089505,0,79.3,2018,-0.761746663665946,-0.432919291049501,0
"KE42FL",31.7440160659465,43.7044276364078,0,45.4,2003,-13.6559839340535,-1.69557236359224,0
"KE52FL",62.7060560103353,63.9253808189812,0,64.8,2008,-2.09394398966472,-0.874619181018808,0
"KE72FL",69.4360444608424,71.1136309417696,0,73.1,2014,-3.6639555391576,-1.98636905823038,0
"KE8CFL",76.7943589611204,79.2657444332813,0,80.4,2022,-3.6056410388796,-1.13425556671871,0
"KM61FL",86.8006146002897,89.5315757016897,0,91,2012,-4.19938539971027,-1.46842429831027,0
"LB51FL",66.1888545618362,68.4966202023227,0,67.9,2007,-1.71114543816378,0.596620202322654,0
"LB5AFL",75.4754582477453,76.0155774529031,0,75.2,2009,0.275458247745306,0.815577452903085,0
"LB6AFL",72.1820899686133,75.1001104439153,0,75.5,2013,-3.31791003138672,-0.399889556084716,0
"LB7AFL",84.4734565600066,84.9846254733573,0,84,2019,0.473456560006554,0.98462547335734,0
"MD42FL",34.4084948568654,34.4163555391532,0,34.8,2004,-0.391505143134566,-0.383644460846824,0
"MD51FL",41.2901593120482,41.4012357093833,0,41.5,2008,-0.209840687951832,-0.0987642906166926,0
"MD81FL",46.10496922795,46.6384540490829,0,48,2021,-1.89503077205003,-1.36154595091706,0
"ML41FL",44.4219184555554,44.6127444698388,0,41.9,2001,2.52191845555537,2.71274446983876,0
"ML53FL",56.1567830976997,56.1567830976997,0,56,2006,0.156783097699694,0.156783097699694,0
"ML6AFL",66.4137696461328,66.5827467177927,0,66.2,2012,0.213769646132775,0.382746717792685,0
"ML7AFL",68.8006458891728,69.6148967611899,0,69.3,2018,-0.499354110827156,0.314896761189857,0
"ML8AFL",81.564709935139,82.6664302517086,0,83.1,2023,-1.53529006486103,-0.433569748291347,0
"MR71FL",68.7449101670155,79.4407431827421,0,80.5,2020,-11.7550898329845,-1.05925681725788,0
"MW41FL",64.8413355086412,64.8795179391252,0,65.2,2000,-0.358664491358809,-0.320482060874795,0
"MW4EFL",0,100,0,63.6,2004,-63.6,36.4,99.3035327811846
