"svkey","rule","jmp","ambiguous","dhs_api","year","rule_minus_api","jmp_minus_api","numeric_code_share"
"AO62FL",50.3952701219823,50.3952701219823,0,58.9,2011,-8.5047298780177,-8.5047298780177,0
"AO71FL",43.1147241780575,54.1379751619998,0,66.9,2015,-23.7852758219425,-12.7620248380002,0
"AO81FL",61.2410069884957,61.2410069884957,0,69.9,2023,-8.65899301150435,-8.65899301150435,0
"BF43FL",59.0206299288534,59.0206299288534,0,60.6,2003,-1.57937007114658,-1.57937007114658,0
"BF62FL",76.5353141940644,76.5353141940644,0,77,2010,-0.464685805935645,-0.464685805935645,0
"BF81FL",82.4352326021411,83.2261593418775,0,84.4,2021,-1.96476739785886,-1.17384065812246,0
"BJ41FL",54.3967158387536,66.6674362676717,0,66.5,2001,-12.1032841612464,0.167436267671746,0
"BJ51FL",69.7630998024573,69.7630998024573,0,71,2006,-1.23690019754268,-1.23690019754268,0
"BJ61FL",78.2759029977937,78.2759029977937,0,78.6,2012,-0.324097002206329,-0.324097002206329,0
"BJ71FL",70.5357425564312,70.6290569781522,0,71.7,2017,-1.16425744356883,-1.0709430218478,0
"BU61FL",75.2711160250052,75.2711160250052,0,75.3,2010,-0.0288839749947556,-0.0288839749947556,0
"BU71FL",82.7767036888057,82.7767036888057,0,82.9,2016,-0.123296311194295,-0.123296311194295,0
"CD51FL",45.8083409897602,45.8083409897602,0,46.3,2007,-0.491659010239758,-0.491659010239758,0
"CD61FL",48.6878247450401,48.6878247450401,0,48.8,2013,-0.11217525495988,-0.11217525495988,0
"CD81FL",51.703545422387,51.703545422387,0,52.5,2023,-0.796454577613048,-0.796454577613048,0
"CG51FL",5.26770844091663,5.26770844091663,0,66.3,2005,-61.0322915590834,-61.0322915590834,91.9151053998107
"CG61FL",77.1242066836732,77.1242066836732,0,75.7,2011,1.4242066836732,1.4242066836732,0
"CI62FL",78.1884557626401,78.1884557626401,0,78.4,2012,-0.211544237359945,-0.211544237359945,0
"CI81FL",82.9938065722787,83.5858662999037,0,84.9,2021,-1.90619342772133,-1.31413370009632,0
"CM44FL",46.3645853675615,65.6897036447162,0,59.6,2004,-13.2354146324385,6.08970364471624,0
"CM61FL",69.8496845106542,69.8496845106542,0,71.1,2011,-1.25031548934581,-1.25031548934581,0
"CM71FL",76.42694252222,76.42694252222,0,78.8,2018,-2.37305747777997,-2.37305747777997,0
"ET41FL",15.5322285522472,23.1791041408889,0,25.3,2000,-9.76777144775278,-2.12089585911113,0
"ET51FL",59.9798833091776,59.9798833091776,0,61.6,2005,-1.62011669082239,-1.62011669082239,0
"ET61FL",51.3300506148963,51.3300506148963,0,54.4,2011,-3.06994938510366,-3.06994938510366,0
