"label","matched","numeric_code","w_hh","n_hh","surveys"
"tube well or borehole",TRUE,FALSE,141004.36741,145224,82
"public tap/standpipe",TRUE,FALSE,110924.604366,108957,92
"unprotected well",FALSE,FALSE,97433.66593,100768,90
"piped to yard/plot",TRUE,FALSE,79020.991058,75563,93
"protected well",TRUE,FALSE,74204.067171,74518,91
"piped into dwelling",TRUE,FALSE,56510.335159,52420,113
"river/dam/lake/ponds/stream/canal/irrigation channel",FALSE,FALSE,55905.316797,63849,73
"unprotected spring",FALSE,FALSE,48553.779062,49684,84
"protected spring",TRUE,FALSE,40066.636659,38330,89
"piped to neighbor",TRUE,FALSE,19085.840245,18061,37
"public tap",TRUE,FALSE,16285.9324480001,17692,19
"river/dam/lake/ponds/stream/canal/irirgation channel",FALSE,FALSE,15064.192066,15902,13
"open public well",FALSE,FALSE,13861.73926,13954,17
"protected public well",TRUE,FALSE,10455.05436,10468,17
"sachet water",TRUE,FALSE,10425.69625,8202,11
"spring",FALSE,FALSE,9878.34841700001,8952,19
"river, stream",FALSE,FALSE,8780.719782,7722,14
"borehole",TRUE,FALSE,7956.28123799996,7967,3
"rainwater",TRUE,FALSE,7021.95530299999,7644,101
"bottled water",TRUE,FALSE,6172.461363,4475,100
"not a dejure resident",FALSE,FALSE,5685.957762,5881,67
"tanker truck",FALSE,FALSE,5518.376644,5724,95
"cart with small tank",FALSE,FALSE,4603.79062,4332,73
"open well",FALSE,FALSE,4509.56450899999,4160,3
"other",FALSE,FALSE,4289.865667,4216,98
"public borehole",TRUE,FALSE,4175.72962599996,4304,2
"open spring",FALSE,FALSE,4095.841644,2931,2
"piped into yard/plot",TRUE,FALSE,3710.400303,4269,12
"river/stream",FALSE,FALSE,3534.94129599999,3776,8
"unprotected public well",FALSE,FALSE,3477.63491799999,2753,1
"33",FALSE,TRUE,3427.74511200001,3659,2
"not dejure resident",FALSE,FALSE,2779.094948,2865,40
"river",FALSE,FALSE,2750.86057099999,2537,1
"piped outside compound",TRUE,FALSE,2718.784236,3141,2
"pond, lake",FALSE,FALSE,2618.728869,2390,13
"river/dam/lake/pond/stream/canal/irrigation channel",FALSE,FALSE,2497.47495799999,2122,1
"13",FALSE,TRUE,2179.70123800001,2292,2
"23",FALSE,TRUE,2035.58226099999,2058,1
"unprotected public well/spring",FALSE,FALSE,1986.547201,1727,2
"borehole with pump",TRUE,FALSE,1904.754682,2041,4
"tube well or borehole (with manual bomb)",TRUE,FALSE,1698.03868,1636,1
"protected public well/spring",TRUE,FALSE,1682.60948,1633,2
"piped from the neighbor",TRUE,FALSE,1587.250459,1238,2
"lake/pond/river/channel/irrigation channel",FALSE,FALSE,1585.55432400001,2059,1
"community stand pipe",TRUE,FALSE,1532.10261100001,1778,1
"forage",FALSE,FALSE,1429.630783,1519,1
"piped into residence/yard/plot",TRUE,FALSE,1419.49218100002,1120,1
"piped into compound/plot",TRUE,FALSE,1367.080342,1405,5
"river/lake",FALSE,FALSE,1353.439091,1258,1
"protected well in dwelling",TRUE,FALSE,1333.817288,1219,12
"traditional public well",FALSE,FALSE,1286.688282,930,1
"borehole public",TRUE,FALSE,1245.60713599999,1127,1
"along the road",FALSE,FALSE,1237.80851,1222,1
"42",FALSE,TRUE,1209.001948,1092,2
"river/stream not protected",TRUE,FALSE,1194.67469000001,1381,1
"12",FALSE,TRUE,1193.740284,1202,2
"tube well",TRUE,FALSE,1172.191779,1060,2
"piped to neighbour's house",TRUE,FALSE,1163.632059,1235,1
"pond/lake",FALSE,FALSE,1075.968103,930,6
"public fountain",FALSE,FALSE,1070.817005,1121,1
"open well in yard/plot",FALSE,FALSE,1062.364724,1118,14
"standpipe",TRUE,FALSE,1018.322206,1072,1
"sachet water (in a bag)",TRUE,FALSE,996.709985000003,927,1
"covered well/borehole, public",TRUE,FALSE,975.644305,757,1
"open well in dwelling",FALSE,FALSE,917.751158,911,11
"public water",FALSE,FALSE,835.512049999998,828,1
"dam",FALSE,FALSE,819.054335,868,16
"piped into compound",TRUE,FALSE,818.883225,1678,2
"communal tap",TRUE,FALSE,812.022193,731,1
"mineral water in sachet",TRUE,FALSE,785.921642000001,346,1
"unprotected dug well",FALSE,FALSE,743.251238,724,1
"naighbor's tap",TRUE,FALSE,711.008528,612,1
"non protected well",TRUE,FALSE,710.883259999998,668,1
"well with pump",FALSE,FALSE,696.78121,668,1
"32",FALSE,TRUE,695.845385,664,2
"protected dug well",TRUE,FALSE,661.1222,621,2
