"label","n_hh","w_hh","matched","numeric_code","group_rule_improved","svkey","v113_class"
"bottled water",12,10.857528,TRUE,FALSE,NA,"AO62FL","character"
"cart with small tank",167,120.044934,FALSE,FALSE,NA,"AO62FL","character"
"not dejure resident",52,53.277734,FALSE,FALSE,NA,"AO62FL","character"
"other",12,10.725609,FALSE,FALSE,NA,"AO62FL","character"
"piped into dwelling",302,302.902686,TRUE,FALSE,NA,"AO62FL","character"
"piped to yard/plot",410,421.684847999998,TRUE,FALSE,NA,"AO62FL","character"
"protected spring",236,213.993626,TRUE,FALSE,NA,"AO62FL","character"
"protected well",561,717.570701,TRUE,FALSE,NA,"AO62FL","character"
"public tap/standpipe",1100,1074.24332500002,TRUE,FALSE,NA,"AO62FL","character"
"rainwater",6,6.079368,TRUE,FALSE,NA,"AO62FL","character"
"river/dam/lake/ponds/stream/canal/irirgation channel",1867,1869.16128399998,FALSE,FALSE,NA,"AO62FL","character"
"tanker truck",576,511.576371999996,FALSE,FALSE,NA,"AO62FL","character"
"tube well or borehole",256,206.359006999999,TRUE,FALSE,NA,"AO62FL","character"
"unprotected spring",111,107.68725,FALSE,FALSE,NA,"AO62FL","character"
"unprotected well",231,288.161695000001,FALSE,FALSE,NA,"AO62FL","character"
"borehole with pump",214,178.062666,TRUE,FALSE,NA,"AO71FL","character"
"bottled water",75,104.413387,TRUE,FALSE,NA,"AO71FL","character"
"cart with small tank",94,175.066962,FALSE,FALSE,NA,"AO71FL","character"
"lake/pond/river/channel/irrigation channel",2059,1585.55432400001,FALSE,FALSE,NA,"AO71FL","character"
"motorcycle with three wheels",119,269.368813,FALSE,FALSE,NA,"AO71FL","character"
"not a dejure resident",71,60.833157,FALSE,FALSE,NA,"AO71FL","character"
"other",164,195.239672,FALSE,FALSE,NA,"AO71FL","character"
"piped into dwelling",286,412.894639,TRUE,FALSE,NA,"AO71FL","character"
"piped to neighbour's house",1235,1163.632059,TRUE,FALSE,NA,"AO71FL","character"
"piped to yard/plot",715,1005.056436,TRUE,FALSE,NA,"AO71FL","character"
"protected spring",362,280.573815,TRUE,FALSE,NA,"AO71FL","character"
"protected well",1035,890.788304999997,TRUE,FALSE,NA,"AO71FL","character"
"public fountain",1121,1070.817005,FALSE,FALSE,NA,"AO71FL","character"
"rainwater",210,152.814984,TRUE,FALSE,NA,"AO71FL","character"
"tanker truck",926,1035.528805,FALSE,FALSE,NA,"AO71FL","character"
"unprotected spring",534,420.789478,FALSE,FALSE,NA,"AO71FL","character"
"unprotected well",924,773.565609999998,FALSE,FALSE,NA,"AO71FL","character"
"borehole with pump",446,342.341943,TRUE,FALSE,NA,"AO81FL","character"
"bottled water",52,134.897732,TRUE,FALSE,NA,"AO81FL","character"
"cart with small tank",20,20.745072,FALSE,FALSE,NA,"AO81FL","character"
"motorcycle with three wheels",114,233.214949,FALSE,FALSE,NA,"AO81FL","character"
"not a dejure resident",78,69.94547,FALSE,FALSE,NA,"AO81FL","character"
"other",9,5.571091,FALSE,FALSE,NA,"AO81FL","character"
"piped into dwelling",220,231.267377,TRUE,FALSE,NA,"AO81FL","character"
"piped to neighbor",1367,1316.956821,TRUE,FALSE,NA,"AO81FL","character"
"piped to yard/plot",1251,1377.438393,TRUE,FALSE,NA,"AO81FL","character"
"protected spring",299,296.220631,TRUE,FALSE,NA,"AO81FL","character"
"protected well",904,881.104997999999,TRUE,FALSE,NA,"AO81FL","character"
"public tap/standpipe",888,873.535304000001,TRUE,FALSE,NA,"AO81FL","character"
"rainwater",146,75.2289600000001,TRUE,FALSE,NA,"AO81FL","character"
"river/dam/lake/ponds/stream/canal/irrigation channel",1629,1350.12351199999,FALSE,FALSE,NA,"AO81FL","character"
"tanker truck",403,623.16546,FALSE,FALSE,NA,"AO81FL","character"
"unprotected spring",628,480.733134999999,FALSE,FALSE,NA,"AO81FL","character"
"unprotected well",972,785.706166,FALSE,FALSE,NA,"AO81FL","character"
"bottled water",4,2.019428,TRUE,FALSE,NA,"BU61FL","character"
"cart with small tank",1,0.513267,FALSE,FALSE,NA,"BU61FL","character"
"not a dejure resident",19,15.038727,FALSE,FALSE,NA,"BU61FL","character"
"other",122,77.191018,FALSE,FALSE,NA,"BU61FL","character"
"piped into dwelling",133,63.193772,TRUE,FALSE,NA,"BU61FL","character"
"piped to yard/plot",338,191.856526,TRUE,FALSE,NA,"BU61FL","character"
"protected spring",2326,2603.12151999999,TRUE,FALSE,NA,"BU61FL","character"
"protected well",117,146.763163,TRUE,FALSE,NA,"BU61FL","character"
"public tap/standpipe",1396,1393.147691,TRUE,FALSE,NA,"BU61FL","character"
"river/dam/lake/ponds/stream/canal/irrigation channel",457,498.889124,FALSE,FALSE,NA,"BU61FL","character"
"tanker truck",1,0.556533,FALSE,FALSE,NA,"BU61FL","character"
"tube well or borehole",25,19.694636,TRUE,FALSE,NA,"BU61FL","character"
"unprotected spring",741,828.285997999999,FALSE,FALSE,NA,"BU61FL","character"
"unprotected well",46,46.603653,FALSE,FALSE,NA,"BU61FL","character"
"bottled water",7,3.291353,TRUE,FALSE,NA,"BU71FL","character"
"cart with small tank",3,4.435676,FALSE,FALSE,NA,"BU71FL","character"
"not a dejure resident",31,31.659361,FALSE,FALSE,NA,"BU71FL","character"
"other",9,12.57279,FALSE,FALSE,NA,"BU71FL","character"
"piped into dwelling",135,119.213277,TRUE,FALSE,NA,"BU71FL","character"
"piped to neighbor",327,244.147424,TRUE,FALSE,NA,"BU71FL","character"
"piped to yard/plot",659,484.811338999999,TRUE,FALSE,NA,"BU71FL","character"
"protected spring",4874,5297.97313999995,TRUE,FALSE,NA,"BU71FL","character"
"protected well",190,187.647676,TRUE,FALSE,NA,"BU71FL","character"
"public tap/standpipe",2603,2664.01151800001,TRUE,FALSE,NA,"BU71FL","character"
"river/dam/lake/ponds/stream/canal/irrigation channel",485,486.928027,FALSE,FALSE,NA,"BU71FL","character"
"tanker truck",3,4.602443,FALSE,FALSE,NA,"BU71FL","character"
"tube well or borehole",58,67.572786,TRUE,FALSE,NA,"BU71FL","character"
"unprotected spring",1133,1190.488772,FALSE,FALSE,NA,"BU71FL","character"
"unprotected well",184,187.884406,FALSE,FALSE,NA,"BU71FL","character"
"manual pumped water",467,451.355496999999,FALSE,FALSE,NA,"BJ41FL","character"
"not dejure resident",78,76.7639579999999,FALSE,FALSE,NA,"BJ41FL","character"
"open well",833,790.919998000001,FALSE,FALSE,NA,"BJ41FL","character"
"piped into dwelling",363,382.348847000002,TRUE,FALSE,NA,"BJ41FL","character"
"piped into yard/plot",708,718.831325,TRUE,FALSE,NA,"BJ41FL","character"
"protected well",216,211.101867,TRUE,FALSE,NA,"BJ41FL","character"
"public tap",480,506.983539,TRUE,FALSE,NA,"BJ41FL","character"
"rainwater",10,9.518594,TRUE,FALSE,NA,"BJ41FL","character"
"rainwater in a cistern",170,172.097264,TRUE,FALSE,NA,"BJ41FL","character"
"river, stream",385,384.294016,FALSE,FALSE,NA,"BJ41FL","character"
"spring",56,48.8156109999999,FALSE,FALSE,NA,"BJ41FL","character"
"tanker truck",2,2.046379,FALSE,FALSE,NA,"BJ41FL","character"
"not de-jure resident",132,135.051264,FALSE,FALSE,NA,"BJ51FL","character"
"other rainwater",28,26.971872,TRUE,FALSE,NA,"BJ51FL","character"
"piped into dwelling",983,1043.01867,TRUE,FALSE,NA,"BJ51FL","character"
"piped to yard/plot",2395,2501.239141,TRUE,FALSE,NA,"BJ51FL","character"
"protected spring",73,61.0379,TRUE,FALSE,NA,"BJ51FL","character"
"protected well",935,917.521312999998,TRUE,FALSE,NA,"BJ51FL","character"
"public tap/standpipe",1390,1320.32642700001,TRUE,FALSE,NA,"BJ51FL","character"
"rainwater collected in tank",403,446.559735,TRUE,FALSE,NA,"BJ51FL","character"
"river/dam/lake/ponds/stream/canal/irirgation channel",1138,1056.552412,FALSE,FALSE,NA,"BJ51FL","character"
"tanker truck",12,13.479813,FALSE,FALSE,NA,"BJ51FL","character"
"tube well or borehole",1803,1780.686111,TRUE,FALSE,NA,"BJ51FL","character"
"unprotected well",2459,2439.54665300001,FALSE,FALSE,NA,"BJ51FL","character"
"bottled water",5,5.067871,TRUE,FALSE,NA,"BJ61FL","character"
"cart with small tank",14,12.131196,FALSE,FALSE,NA,"BJ61FL","character"
"not a dejure resident",38,39.850764,FALSE,FALSE,NA,"BJ61FL","character"
"other",8,9.628959,FALSE,FALSE,NA,"BJ61FL","character"
"piped into dwelling",654,826.322897999999,TRUE,FALSE,NA,"BJ61FL","character"
"piped to yard/plot",1033,1232.297309,TRUE,FALSE,NA,"BJ61FL","character"
"protected spring",136,135.334699,TRUE,FALSE,NA,"BJ61FL","character"
"protected well",1017,954.512414000001,TRUE,FALSE,NA,"BJ61FL","character"
"public tap/standpipe",3136,3100.716637,TRUE,FALSE,NA,"BJ61FL","character"
"rainwater",44,40.720244,TRUE,FALSE,NA,"BJ61FL","character"
"river/dam/lake/ponds/stream/canal/irrigation channel",449,402.906270999998,FALSE,FALSE,NA,"BJ61FL","character"
"tanker truck",17,13.274169,FALSE,FALSE,NA,"BJ61FL","character"
"tube well or borehole",2405,2220.66545500001,TRUE,FALSE,NA,"BJ61FL","character"
"unprotected spring",296,276.510245,FALSE,FALSE,NA,"BJ61FL","character"
"unprotected well",1723,1648.914239,FALSE,FALSE,NA,"BJ61FL","character"
"bottled water",3,1.399976,TRUE,FALSE,NA,"BJ71FL","character"
"cart with small tank",24,21.689419,FALSE,FALSE,NA,"BJ71FL","character"
"not a dejure resident",95,100.397908,FALSE,FALSE,NA,"BJ71FL","character"
"other",40,39.912071,FALSE,FALSE,NA,"BJ71FL","character"
"piped into dwelling",456,419.690098999999,TRUE,FALSE,NA,"BJ71FL","character"
"piped to neighbor",1374,1392.897175,TRUE,FALSE,NA,"BJ71FL","character"
"piped to yard/plot",434,383.154877999999,TRUE,FALSE,NA,"BJ71FL","character"
"protected spring",24,24.379661,TRUE,FALSE,NA,"BJ71FL","character"
"protected well",397,409.830483,TRUE,FALSE,NA,"BJ71FL","character"
"public tap/standpipe",1168,1204.724276,TRUE,FALSE,NA,"BJ71FL","character"
"rainwater",24,31.101979,TRUE,FALSE,NA,"BJ71FL","character"
"river/dam/lake/ponds/stream/canal/irrigation channel",620,576.114924000001,FALSE,FALSE,NA,"BJ71FL","character"
"tanker truck",18,19.836709,FALSE,FALSE,NA,"BJ71FL","character"
"tube well or borehole",2899,2886.94923900001,TRUE,FALSE,NA,"BJ71FL","character"
"unprotected spring",123,121.383067,FALSE,FALSE,NA,"BJ71FL","character"
"unprotected well",1930,2033.469189,FALSE,FALSE,NA,"BJ71FL","character"
"water bags",10,8.935293,FALSE,FALSE,NA,"BJ71FL","character"
"dam",30,26.578564,FALSE,FALSE,NA,"BF43FL","character"
"not dejure resident",72,72.765592,FALSE,FALSE,NA,"BF43FL","character"
"open public well",1448,1529.453805,FALSE,FALSE,NA,"BF43FL","character"
"open well in dwelling",114,119.875859,FALSE,FALSE,NA,"BF43FL","character"
"open well in yard/plot",124,118.829317,FALSE,FALSE,NA,"BF43FL","character"
"other",12,12.678511,FALSE,FALSE,NA,"BF43FL","character"
"piped into dwelling",177,194.46891,TRUE,FALSE,NA,"BF43FL","character"
"piped into yard/plot",226,196.945778,TRUE,FALSE,NA,"BF43FL","character"
"pond, lake",557,640.575167999998,FALSE,FALSE,NA,"BF43FL","character"
"protected public well",1828,1745.561276,TRUE,FALSE,NA,"BF43FL","character"
"protected well in dwelling",767,885.868795999998,TRUE,FALSE,NA,"BF43FL","character"
"protected well in yard/plot",36,25.77913,TRUE,FALSE,NA,"BF43FL","character"
"public tap",935,872.213660000003,TRUE,FALSE,NA,"BF43FL","character"
"rainwater",2,2.211507,TRUE,FALSE,NA,"BF43FL","character"
"river, stream",249,200.920336,FALSE,FALSE,NA,"BF43FL","character"
"spring",77,74.950915,FALSE,FALSE,NA,"BF43FL","character"
"bottled water",5,6.786986,TRUE,FALSE,NA,"BF62FL","character"
"cart with small tank",5,5.463045,FALSE,FALSE,NA,"BF62FL","character"
"not a dejure resident",58,54.736634,FALSE,FALSE,NA,"BF62FL","character"
"piped into dwelling",213,236.966111,TRUE,FALSE,NA,"BF62FL","character"
"piped to yard/plot",436,484.483153000001,TRUE,FALSE,NA,"BF62FL","character"
"protected spring",16,17.308027,TRUE,FALSE,NA,"BF62FL","character"
"protected well",1042,1063.158617,TRUE,FALSE,NA,"BF62FL","character"
"public tap/standpipe",1789,1548.83028499999,TRUE,FALSE,NA,"BF62FL","character"
"rainwater",3,2.748548,TRUE,FALSE,NA,"BF62FL","character"
"river/dam/lake/ponds/stream/canal/irrigation channel",598,666.913420999998,FALSE,FALSE,NA,"BF62FL","character"
"tanker truck",1,1.514459,FALSE,FALSE,NA,"BF62FL","character"
"tube well or borehole",4638,4591.55358300003,TRUE,FALSE,NA,"BF62FL","character"
"unprotected spring",83,87.9962409999999,FALSE,FALSE,NA,"BF62FL","character"
"unprotected well",1555,1676.037328,FALSE,FALSE,NA,"BF62FL","character"
"autonomous water station",108,78.002426,FALSE,FALSE,NA,"BF81FL","character"
"borehole",3687,3528.14705300001,TRUE,FALSE,NA,"BF81FL","character"
"bottled water",6,9.84601,TRUE,FALSE,NA,"BF81FL","character"
"cart with small tank",15,20.312071,FALSE,FALSE,NA,"BF81FL","character"
"not a dejure resident",62,65.867101,FALSE,FALSE,NA,"BF81FL","character"
"other",3,2.385573,FALSE,FALSE,NA,"BF81FL","character"
"piped into dwelling",253,294.197083,TRUE,FALSE,NA,"BF81FL","character"
"piped to neighbor",34,37.461288,TRUE,FALSE,NA,"BF81FL","character"
"piped to yard/plot",1100,1198.967922,TRUE,FALSE,NA,"BF81FL","character"
"protected spring",12,8.435434,TRUE,FALSE,NA,"BF81FL","character"
"protected well",383,331.641788,TRUE,FALSE,NA,"BF81FL","character"
"public tap/standpipe",557,536.631873000001,TRUE,FALSE,NA,"BF81FL","character"
