"label","matched","w_hh","n_hh","surveys"
"pit latrine with slab",TRUE,175813.447618,176269,71
"pit latrine without slab/open pit",FALSE,160785.417099,160395,67
"no facility/bush/field",FALSE,158069.288632,173492,84
"flush to septic tank",TRUE,57013.497894,48297,72
"traditional pit toilet",FALSE,41830.4594789999,40982,15
"ventilated improved pit latrine (vip)",TRUE,37081.4777590001,37105,73
"flush to piped sewer system",TRUE,27596.254173,22095,72
"pit latrine - without slab / open pit",FALSE,26020.9805259999,25625,9
"no facility, bush, field",FALSE,25832.0462290001,23635,14
"flush to pit latrine",TRUE,19291.555928,18129,64
"no facility",FALSE,18208.639289,17864,8
"pit latrine - with slab",TRUE,8604.84245799996,8222,9
"latrine",FALSE,8600.472185,8661,2
"pit latrine - ventilated improved pit (vip)",TRUE,8247.08411499992,8222,9
"no toilet, in nature",FALSE,7370.84917600009,7594,1
"no facility / bush / field",FALSE,7222.93637699994,6656,2
"traditional pit latrine",FALSE,6776.03596099999,7421,3
"not a dejure resident",FALSE,6064.692318,6244,69
"flush toilet",TRUE,5891.397945,6580,24
"hanging toilet/latrine",FALSE,5704.300722,6979,63
"flush - to piped sewer system",TRUE,3932.20756000001,3547,8
"traditional latrine",FALSE,3906.921005,6012,5
"covered pit latrine no slab",TRUE,3811.627245,3454,2
"rudimentary pit toilet latrine",FALSE,3340.45160000001,3399,1
"pit latrine without slab non-wahable",FALSE,3302.52367,3177,1
"toilet to septic tank",TRUE,3238.64161799999,2677,1
"pit latrine with log/rock",FALSE,3184.53303000003,2766,1
"ventilated improved pit latrine",TRUE,3091.959014,3184,10
"composting toilet",TRUE,2994.296848,2746,69
"flush - to septic tank",TRUE,2974.23745900002,2386,8
"pit latrine with drainage",FALSE,2846.058618,3009,1
"covered pit latrine, no slab",TRUE,2707.61533499998,2619,1
"no facility/outdoors/bush",FALSE,2692.006003,3389,1
"latrine to septic tank",TRUE,2644.87431199999,2754,1
"not dejure resident",FALSE,2633.467091,2700,38
"ventilated improved pit",TRUE,2590.28467300001,2467,1
"no facility/ bush/ field",FALSE,2584.51561000001,2584,1
"pit latrine without slab / open pit",FALSE,2337.438629,2026,1
"pit latrine with slab (not washable)",TRUE,2200.20610199999,2108,1
"ventilated pit latrine",TRUE,2070.158122,1964,1
"inside yard: flush to septic tank",TRUE,1996.881452,1920,1
"open latrine",FALSE,1967.647983,2071,1
" no facility, bush, field",FALSE,1948.12099400001,2345,1
"covered pit latrine with slab",TRUE,1927.188911,1960,2
"flush to somewhere else",FALSE,1925.244818,1784,61
"indoors: flush to septic tank",TRUE,1888.339802,1321,1
"improved pit latrine",FALSE,1863.971187,1983,1
"ventilated improved pit (vip) latrine",TRUE,1836.534596,2095,4
"pit latrine with slab (washable)",TRUE,1822.40644899999,1820,1
"other",FALSE,1803.005415,1853,100
"ventilated improved pit lat",TRUE,1789.357653,1849,1
