"svkey","regkey","imp_water","imp_sanit","imp_water_api","imp_water_api_source","imp_sanit_api","imp_sanit_api_source"
"AO62FL","hyperendemic",26.2111601115813,7.8926909264192,30.7,"regional",24.5,"regional"
"AO62FL","luanda",59.5647245895175,28.8970239761726,97.7,"regional",92.7,"regional"
"AO62FL","mesoendemicstable",54.0173029916252,10.3397784668249,58.9,"national",44.2,"national"
"AO62FL","mesoendemicunstable",57.4406766361658,8.94226374492699,58.9,"national",44.2,"national"
"AO71FL","bengo",16.3965968358431,64.1491944475463,41.9,"regional",62.3,"regional"
"AO71FL","benguela",47.1151721792317,48.9244673582043,60.6,"regional",48.3,"regional"
"AO71FL","bie",49.7542968212557,66.4329962539936,56.7,"regional",70,"regional"
"AO71FL","cabinda",79.90852586406,66.0068708337489,85.3,"regional",70.9,"regional"
"AO71FL","cuandocubango",35.1938171357367,40.8373057296348,54.3,"regional",46.1,"regional"
"AO71FL","cuanzanorte",46.9842280298535,50.3527181364771,79.3,"regional",49.6,"regional"
"AO71FL","cuanzasul",22.535534051851,27.8042220374239,35.8,"regional",28.4,"regional"
"AO71FL","cunene",41.6796014468626,17.4263778337041,65,"regional",15.2,"regional"
"AO71FL","huambo",47.9301506978036,76.3965883500641,53.9,"regional",77.7,"regional"
"AO71FL","huila",38.1116298331609,31.19707939485,50.7,"regional",31.5,"regional"
"AO71FL","luanda",49.6683422018902,92.3008326210212,96.7,"regional",95.5,"regional"
"AO71FL","lundanorte",33.4080988309709,51.9183059122929,54.3,"regional",46.8,"regional"
"AO71FL","lundasul",23.499295222518,47.1023310809216,60.6,"regional",48,"regional"
"AO71FL","malanje",49.4500054551654,58.073168798375,54.7,"regional",53.7,"regional"
"AO71FL","moxico",18.1044425481317,38.0558722697519,41.1,"regional",58.6,"regional"
"AO71FL","namibe",53.303459882763,40.5203433316858,73.3,"regional",41.3,"regional"
"AO71FL","uige",26.6702876302488,57.2003199867132,40,"regional",53.6,"regional"
"AO71FL","zaire",32.3978726287291,74.7070475172113,70.2,"regional",73.6,"regional"
"AO81FL","bengo",41.0437659401116,49.546283555726,48.8,"regional",51.9,"regional"
"AO81FL","benguela",68.6216841155874,60.9458168532511,77.8,"regional",59.9,"regional"
"AO81FL","bie",47.6651939045447,33.3838839995321,43.8,"regional",32.8,"regional"
"AO81FL","cabinda",85.1157160984269,92.7630971649135,89.9,"regional",94.6,"regional"
"AO81FL","cuandocubango",51.7429924705949,54.0322923485629,49.8,"regional",46,"regional"
"AO81FL","cunene",65.5101111562265,28.481375194954,67.9,"regional",27.4,"regional"
"AO81FL","huambo",45.1144703087201,84.5828587391081,42,"regional",84.1,"regional"
"AO81FL","huila",63.3138765104964,45.3021695637886,63,"regional",43.3,"regional"
"AO81FL","luanda",74.4851592426388,96.5359039382782,99.9,"regional",97.4,"regional"
"AO81FL","malanje",58.5420702005102,45.2715984112287,60.4,"regional",45,"regional"
"AO81FL","moxico",46.0016560600654,43.3212795819333,45.7,"regional",43.6,"regional"
"AO81FL","namibe",70.5840786145187,51.5111737778427,80.4,"regional",53.4,"regional"
"AO81FL","northcuanza",44.9710567377792,43.0519495783114,69.9,"national",66.8,"national"
"AO81FL","northlunda",60.3445095946782,58.7783350388362,69.9,"national",66.8,"national"
"AO81FL","southcuanza",52.2297974094697,51.4168499253112,69.9,"national",66.8,"national"
"AO81FL","southlunda",73.3299534944435,86.8257869938069,69.9,"national",66.8,"national"
"AO81FL","uige",34.3159539102075,58.1969499331041,32.4,"regional",56.6,"regional"
"AO81FL","zaire",52.6349495297348,57.1660885385074,58.4,"regional",58.8,"regional"
