"variable","level","type","missing_n","total_n","missing_prop","included_in_main","imputation"
"pct_urban","survey-region","proportion",0,1125,0,TRUE,"none required"
"dtp3_reg","survey-region","proportion",37,1125,0.0328888888888889,TRUE,"country median; overall median fallback"
"measles","survey-region","proportion",37,1125,0.0328888888888889,TRUE,"country median; overall median fallback"
"pentavalent3_reg","survey-region","proportion",667,1125,0.592888888888889,FALSE,"not imputed; excluded"
"pcv3_reg","survey-region","proportion",686,1125,0.609777777777778,FALSE,"not imputed; excluded"
"rotavirus_complete_reg","survey-region","proportion",704,1125,0.625777777777778,FALSE,"not imputed; excluded"
"facility","survey-region","proportion",37,1125,0.0328888888888889,TRUE,"country median; overall median fallback"
"educ_yrs","survey-region","continuous",0,1125,0,TRUE,"none required"
"wealth_q","survey-region","continuous",68,1125,0.0604444444444444,FALSE,"not imputed; excluded"
"excl_bf","survey-region","proportion",27,1125,0.024,TRUE,"country median; overall median fallback"
"stunting","survey-region","proportion",252,1125,0.224,FALSE,"not imputed; excluded"
"underweight","survey-region","proportion",274,1125,0.243555555555556,FALSE,"not imputed; excluded"
"wasting","survey-region","proportion",274,1125,0.243555555555556,FALSE,"not imputed; excluded"
"birth_int","survey-region","proportion",0,1125,0,TRUE,"none required"
"mage1","survey-region","continuous",0,1125,0,TRUE,"none required"
"imp_water","survey-region","proportion",0,1125,0,TRUE,"none required"
"imp_sanit","survey-region","proportion",0,1125,0,TRUE,"none required"
"elec_dhs","survey-region","proportion",0,1125,0,TRUE,"none required"
"hib3_wuenic","national-exact-year","proportion",0,1125,0,TRUE,"none required"
"pcv3_wuenic","national-exact-year","proportion",0,1125,0,TRUE,"none required"
"rotac_wuenic","national-exact-year","proportion",0,1125,0,TRUE,"none required"
"log_hiv_prev","national-exact-year","continuous",43,1125,0.0382222222222222,TRUE,"country median; overall median fallback"
"log_gdp","national-nearest-year","continuous",0,1125,0,TRUE,"none required"
"log_hexp_pc","national-nearest-year","continuous",0,1125,0,TRUE,"none required"
"polstab","national-nearest-year","continuous",0,1125,0,TRUE,"none required"
