"age_months","deaths_w","deaths_n","share_w","cumulative_share_w","segment"
0,36219.440451,35977,0.321705821269189,0.321705821269189,"0"
1,4475.955794,4423,0.0397560265079578,0.361461847777147,"1-2"
2,3580.534665,3656,0.0318027785808829,0.39326462635803,"1-2"
3,3681.211514,3676,0.0326970035602598,0.42596162991829,"3-5"
4,2728.337155,2720,0.0242334485077415,0.450195078426031,"3-5"
5,2319.620422,2345,0.0206031728707087,0.47079825129674,"3-5"
6,3374.427103,3412,0.02997210417848,0.50077035547522,"6-11"
7,2749.983694,2767,0.024425715906683,0.525196071381903,"6-11"
8,2822.385726,2822,0.0250688002524401,0.550264871634343,"6-11"
9,3294.624216,3212,0.0292632844677857,0.579528156102129,"6-11"
10,1738.49435,1753,0.0154415348684149,0.594969690970544,"6-11"
11,1806.806051,1784,0.0160482883576697,0.611017979328213,"6-11"
12,6788.36990199999,6761,0.0602951919524107,0.671313171280624,"12-23"
13,1638.244086,1605,0.0145510988729665,0.68586427015359,"12-23"
14,1550.131929,1535,0.0137684751361411,0.699632745289731,"12-23"
15,1237.051034,1227,0.010987649557515,0.710620394847246,"12-23"
16,940.427543,890,0.00835300080006144,0.718973395647308,"12-23"
17,749.507666,719,0.00665722540811439,0.725630621055422,"12-23"
18,2066.671987,2012,0.0183564516898412,0.743987072745263,"12-23"
19,586.285619,626,0.00520746577556536,0.749194538520829,"12-23"
20,721.653276,687,0.00640981906225917,0.755604357583088,"12-23"
21,383.443232,388,0.00340579308583069,0.759010150668919,"12-23"
22,372.512631,371,0.00330870605389744,0.762318856722816,"12-23"
23,493.2541,453,0.00438114762014534,0.766700004342961,"12-23"
24,13097.238347,12937,0.116331389063842,0.883031393406804,"24-35"
25,71.18921,68,0.000632311901657842,0.883663705308462,"24-35"
26,82.184771,81,0.0007299759168324,0.884393681225294,"24-35"
27,44.331107,43,0.000393754707627283,0.884787435932921,"24-35"
28,40.72687,39,0.000361741401797712,0.885149177334719,"24-35"
29,27.142416,23,0.000241082499392088,0.885390259834111,"24-35"
30,54.314983,45,0.000482432803921316,0.885872692638032,"24-35"
31,9.231649,7,8.19967174046139e-05,0.885954689355437,"24-35"
32,9.167131,9,8.14236600652901e-05,0.886036113015502,"24-35"
33,5.425785,6,4.81925341120739e-05,0.886084305549614,"24-35"
34,3.352831,3,2.97802847587066e-05,0.886114085834373,"24-35"
35,7.716652,7,6.85403153167704e-05,0.88618262614969,"24-35"
36,8090.123192,8032,0.0718575354352118,0.958040161584902,"36-47"
37,0.433823,1,3.8532727939095e-06,0.958044014857696,"36-47"
38,0.64804,1,5.75597628840589e-06,0.958049770833984,"36-47"
39,1.412879,2,1.25493766162376e-05,0.9580623202106,"36-47"
40,0,0,0,0.9580623202106,"36-47"
41,1.087077,1,9.65556051427599e-06,0.958071975771114,"36-47"
42,1.021259,1,9.0709564044212e-06,0.958081046727519,"36-47"
43,4.043643,2,3.59161675618457e-05,0.958116962895081,"36-47"
44,0,0,0,0.958116962895081,"36-47"
45,0,0,0,0.958116962895081,"36-47"
46,0,0,0,0.958116962895081,"36-47"
47,1.877458,2,1.66758282366489e-05,0.958133638723317,"36-47"
48,4707.40368,4679,0.0418117769922144,0.999945415715532,"48-59"
49,0,0,0,0.999945415715532,"48-59"
50,0,0,0,0.999945415715532,"48-59"
51,0,0,0,0.999945415715532,"48-59"
52,0,0,0,0.999945415715532,"48-59"
53,0,0,0,0.999945415715532,"48-59"
54,0,0,0,0.999945415715532,"48-59"
55,1.492612,1,1.32575755814303e-05,0.999958673291113,"48-59"
56,0,0,0,0.999958673291113,"48-59"
57,0,0,0,0.999958673291113,"48-59"
58,0,0,0,0.999958673291113,"48-59"
59,4.652792,1,4.13267088866191e-05,1,"48-59"
