"region_group","n","surveys","marker","variable","correlation"
"West Africa",427,51,"Urban residence","pct_urban",-0.463311500820091
"West Africa",427,51,"Maternal education","educ_yrs",-0.402653393990237
"West Africa",427,51,"Facility delivery","facility",-0.337095762654889
"West Africa",427,51,"Improved water","imp_water",-0.284820895916403
"West Africa",427,51,"Improved sanitation","imp_sanit",-0.465859946977384
"West Africa",427,51,"Household electricity","elec_dhs",-0.392794154602923
"Central Africa",195,16,"Urban residence","pct_urban",-0.179220262277341
"Central Africa",195,16,"Maternal education","educ_yrs",-0.0164216146282773
"Central Africa",195,16,"Facility delivery","facility",-0.165280597905314
"Central Africa",195,16,"Improved water","imp_water",-0.398438674590894
"Central Africa",195,16,"Improved sanitation","imp_sanit",-0.0762804099881235
"Central Africa",195,16,"Household electricity","elec_dhs",-0.165301237605115
"East & Southern",448,45,"Urban residence","pct_urban",-0.258755714298306
"East & Southern",448,45,"Maternal education","educ_yrs",-0.236185009599384
"East & Southern",448,45,"Facility delivery","facility",-0.205649454282236
"East & Southern",448,45,"Improved water","imp_water",-0.17423483243752
"East & Southern",448,45,"Improved sanitation","imp_sanit",-0.219305469549594
"East & Southern",448,45,"Household electricity","elec_dhs",-0.295097412067273
