"year","source","deaths","lo","hi"
2000,"Our model (prevalence)",260465.303695927,22.3691132149767,562189.984126454
2001,"Our model (prevalence)",314326.662249233,55.6875360533514,601437.198417112
2002,"Our model (prevalence)",344989.611591154,64718.0823211419,598023.302644161
2003,"Our model (prevalence)",373559.376817358,126305.028356635,598861.588453287
2004,"Our model (prevalence)",397854.375074479,176082.332561904,600156.867764452
2005,"Our model (prevalence)",395243.206658996,207423.859176304,566887.100896987
2006,"Our model (prevalence)",408019.972381183,241111.476976167,562808.557287164
2007,"Our model (prevalence)",418355.849246751,265984.198368911,557653.479154838
2008,"Our model (prevalence)",420367.986124676,280487.459600259,546443.695969993
2009,"Our model (prevalence)",435119.039291635,302979.105297847,555009.761812083
2010,"Our model (prevalence)",410626.236523433,292415.380940756,517187.821000757
2011,"Our model (prevalence)",400130.244309699,291511.356438785,501445.880584406
2012,"Our model (prevalence)",392643.92015618,290119.887226328,489075.485916812
2013,"Our model (prevalence)",394144.96747745,292868.332927509,490112.020325025
2014,"Our model (prevalence)",392364.782551385,291282.921531901,487184.279245267
2015,"Our model (prevalence)",373581.227057599,275480.363325214,463951.202542226
2016,"Our model (prevalence)",366325.813696335,267946.844378026,456795.47881662
2017,"Our model (prevalence)",382633.185496516,279005.941675604,477711.311370212
2018,"Our model (prevalence)",399702.635374435,291751.604361929,498170.338666405
2019,"Our model (prevalence)",446460.09316639,324029.805890451,557004.431572514
2020,"Our model (prevalence)",456325.676982032,329556.258380924,570150.588993758
2021,"Our model (prevalence)",449407.207777222,320338.113273716,564087.178734388
2022,"Our model (prevalence)",459036.580982695,324208.686219593,579603.122938
2023,"Our model (prevalence)",443468.405314488,311770.647624727,561934.495818773
2024,"Our model (prevalence)",448653.733878838,296830.898557365,612033.144901354
2000,"IHME/GBD (under-5)",563873.917172404,306270.541792617,902766.576200437
2001,"IHME/GBD (under-5)",579564.070381438,314008.258453334,922668.292055994
2002,"IHME/GBD (under-5)",584245.781121561,317624.589442808,906730.658937674
2003,"IHME/GBD (under-5)",588047.039113033,329526.042660438,898099.685818389
2004,"IHME/GBD (under-5)",584677.442697789,328301.277937332,886220.054903986
2005,"IHME/GBD (under-5)",564235.382723966,323484.911316801,862620.923282065
2006,"IHME/GBD (under-5)",555070.297878564,330791.693705314,838222.39323624
2007,"IHME/GBD (under-5)",536805.464542994,324756.305304292,809435.665367892
2008,"IHME/GBD (under-5)",523617.616517695,313426.095540081,790801.227735549
2009,"IHME/GBD (under-5)",512719.0935621,301211.562779681,783099.362264307
2010,"IHME/GBD (under-5)",493710.959875497,280666.287158068,749076.259815716
2011,"IHME/GBD (under-5)",466302.424381573,252873.377155186,727992.560453271
2012,"IHME/GBD (under-5)",450219.133215199,230606.536059241,711799.05552185
2013,"IHME/GBD (under-5)",441256.704817405,217459.091626611,711899.573144863
2014,"IHME/GBD (under-5)",422457.384808125,209267.885809301,696729.110271874
2015,"IHME/GBD (under-5)",416191.577644388,198033.372285836,713725.77392022
2016,"IHME/GBD (under-5)",399527.086275468,176736.102773846,709406.248905202
2017,"IHME/GBD (under-5)",392014.313525214,164953.664406176,703817.142740839
2018,"IHME/GBD (under-5)",394542.932614326,167834.559390731,687449.83444608
2019,"IHME/GBD (under-5)",396775.775055348,172059.48309707,674204.87689947
2020,"IHME/GBD (under-5)",442214.827563535,186542.661781793,745724.468283171
2021,"IHME/GBD (under-5)",433520.823248362,184214.786974582,729907.694260849
2022,"IHME/GBD (under-5)",411853.123283096,157891.488484449,724418.604262294
2023,"IHME/GBD (under-5)",400220.887879535,155111.292000495,715971.485177542
2024,"IHME/GBD (under-5)",428232.293686377,392016.685458799,468915.292556741
2000,"WHO (under-5 proxy, 0.75×all-age)",603000,585750,625500
2001,"WHO (under-5 proxy, 0.75×all-age)",611250,591750,638250
2002,"WHO (under-5 proxy, 0.75×all-age)",589500,570750,614250
2003,"WHO (under-5 proxy, 0.75×all-age)",568500,549750,594000
2004,"WHO (under-5 proxy, 0.75×all-age)",563250,541500,602250
2005,"WHO (under-5 proxy, 0.75×all-age)",534000,514500,566250
2006,"WHO (under-5 proxy, 0.75×all-age)",542250,521250,574500
2007,"WHO (under-5 proxy, 0.75×all-age)",528000,507750,556500
2008,"WHO (under-5 proxy, 0.75×all-age)",499500,480750,525000
2009,"WHO (under-5 proxy, 0.75×all-age)",504750,484500,537000
2010,"WHO (under-5 proxy, 0.75×all-age)",487500,465000,523500
2011,"WHO (under-5 proxy, 0.75×all-age)",463500,444000,493500
2012,"WHO (under-5 proxy, 0.75×all-age)",433500,414000,462000
2013,"WHO (under-5 proxy, 0.75×all-age)",417000,394500,448500
2014,"WHO (under-5 proxy, 0.75×all-age)",412500,388500,450750
2015,"WHO (under-5 proxy, 0.75×all-age)",412500,387750,453750
2016,"WHO (under-5 proxy, 0.75×all-age)",409500,384750,451500
2017,"WHO (under-5 proxy, 0.75×all-age)",411000,384750,456000
2018,"WHO (under-5 proxy, 0.75×all-age)",414000,385500,468000
2019,"WHO (under-5 proxy, 0.75×all-age)",408750,378750,469500
2020,"WHO (under-5 proxy, 0.75×all-age)",448500,414750,533250
2021,"WHO (under-5 proxy, 0.75×all-age)",432750,401250,518250
2022,"WHO (under-5 proxy, 0.75×all-age)",429750,397500,523500
2023,"WHO (under-5 proxy, 0.75×all-age)",425250,390000,520500
2024,"WHO (under-5 proxy, 0.75×all-age)",434250,398250,529500
