"year","pfpr","pfpr_lo","pfpr_hi","pnmr","pnmr_lo","pnmr_hi"
2000,33.158598897131,NA,NA,111.652308263115,106.817291390326,116.689457933491
2001,34.2665805703115,NA,NA,108.271321677271,103.829007493137,113.037620026256
2002,33.9293854416134,NA,NA,101.908783033322,97.6559247255615,106.340551868299
2003,33.353277290399,NA,NA,96.9164237111582,92.9156217894648,101.245047739135
2004,32.6800207657394,NA,NA,92.4694358648482,88.6270903284228,96.461107697971
2005,31.4173588442322,NA,NA,85.448768689868,81.8575512545446,89.2408187633019
2006,30.4391357927721,NA,NA,80.4379362517933,76.8571060196164,84.0417547138152
2007,29.5721332063047,NA,NA,76.1949670800643,72.8796762342207,79.6887141083472
2008,28.217719582959,NA,NA,72.1297723419208,69.1220506324159,75.3650437012516
2009,26.9263165836617,NA,NA,70.5884729881889,67.6209650832512,73.7391027278882
2010,25.6788358235242,NA,NA,66.0133175190347,63.3056937519469,69.0267776254175
2011,24.1744500496438,NA,NA,66.0249076325731,63.1827409065815,69.1466672374312
2012,22.8258672192202,NA,NA,60.5998613563254,58.1067565461687,63.349324583984
2013,22.1279006091757,NA,NA,57.8319840429347,55.6692973009032,60.1677104829567
2014,20.4187567417795,NA,NA,57.2523488246348,55.4289512684522,59.1866307148141
2015,18.7668695208814,NA,NA,55.6551317654866,53.9341240411487,57.4109913625332
2016,17.7838886803601,NA,NA,54.3497416501421,52.6567084456161,56.0701875472018
2017,17.8019781437654,NA,NA,53.6486241567051,51.9782764475018,55.3478358435765
2018,18.5353823626912,NA,NA,50.5164533736916,48.9427288140276,52.1197940501738
2019,19.6731077825066,NA,NA,49.7066080333214,48.1657606089859,51.2960230663529
2020,20.0148224093123,NA,NA,47.9982185034978,46.506458838514,49.5319370783848
2021,18.7208616898728,NA,NA,49.5102085233035,47.9804364828516,51.0920284726291
2022,17.7833664973025,NA,NA,50.6504977124951,49.082528016681,52.2752191379831
2023,17.846311339677,NA,NA,46.2618584160274,44.8149432423759,47.7549368420299
2024,17.6373547922881,NA,NA,44.614282461756,36.3633679013108,53.7143351009695
