"iso3","year","pfpr_pct","share_pn","malaria_deaths","allcause_pn","hib3_wuenic","pcv3_wuenic","rotac_wuenic","log_hiv_prev","log_gdp","log_hexp_pc","hiv_imputed"
"AGO",2000,18.7015285756444,17.0726523143857,13107.4043980653,76774.2712538041,0,0,0,-1.30669052587776,6.33458214640641,2.57718082711237,FALSE
"AGO",2001,19.8687909014979,18.0126338106788,13734.3986815387,76248.6975857812,0,0,0,-1.242871087882,6.27962063671921,3.37625412643021,FALSE
"AGO",2002,19.1841411358811,18.8957444041439,14220.5654143045,75258.032232834,0,0,0,-1.18786997184036,6.90682069835431,3.38000001010224,FALSE
"AGO",2003,20.2343511641614,20.4150084908471,15120.6811885716,74066.4947327884,0,0,0,-1.14069133891649,7.03320954391262,3.56163385017575,FALSE
"AGO",2004,20.2112549107484,23.168988225024,16840.2384014899,72684.3927664538,0,0,0,-1.10064355757719,7.28033292705585,3.91667434157277,FALSE
"AGO",2005,19.9947348079463,24.0535163699316,17036.3618753842,70826.9078556873,0,0,0,-1.06665665855036,7.67130789801346,4.0011582088842,FALSE
"AGO",2006,17.6922941052575,22.4409760880408,16033.85231336,71448.9969173163,0,0,0,-1.03795743853022,7.98290932398526,4.25251362495207,FALSE
"AGO",2007,15.2981781832391,20.9262090550252,14264.5952262389,68166.169939,43,0,0,-1.01413001027599,8.16481096054525,4.53718024022439,FALSE
"AGO",2008,12.8685341232089,17.9755474999122,11786.116586455,65567.4971041222,45,0,0,-0.994675964129803,8.42905141529576,4.9151586778955,FALSE
"AGO",2009,11.1274621252115,14.4485875128759,9249.86913522215,64019.1930663057,47,0,0,-1.00564245819868,8.2011523749306,4.79189031901312,FALSE
"AGO",2010,10.4097581917389,12.6441578942466,7840.07661934476,62005.5260691755,49,0,0,-0.991856973569148,8.31914147924616,4.57421573176525,FALSE
"AGO",2011,9.95390855648856,11.0415323109681,6651.2719279627,60238.6674298426,50,0,0,-1.00562664669773,8.55336169198076,4.80499500658986,FALSE
"AGO",2012,9.74809288661676,10.6022115384451,6168.97734901078,58185.7598920868,52,0,0,-0.995971967631184,8.64865172313376,4.80277830744522,FALSE
"AGO",2013,10.3245608013752,10.5628816074763,5955.0538103079,56377.1708478958,54,9,0,-1.01140385209438,8.64621578805323,4.96133650143728,FALSE
"AGO",2014,10.9215342324691,11.0066248871419,6010.99073820952,54612.4793008224,55,43,18,-1.02666847652636,8.63935553494399,4.87203352136396,FALSE
"AGO",2015,11.934278269143,12.8062405158916,6832.55631081913,53353.3342774599,56,57,46,-1.04131637517944,8.20021383115933,4.67775659904336,FALSE
"AGO",2016,13.6277674936813,13.5914544911562,7102.59601152999,52257.8066692684,57,58,51,-1.05528512077629,7.64126359713868,4.54345238984928,FALSE
"AGO",2017,16.8144815408297,14.7285979448213,7532.27757226622,51140.492805119,55,60,52,-1.08998934818155,7.94879141227614,4.72520532242734,FALSE
"AGO",2018,19.2600748272712,16.2308810916538,8120.27574603041,50029.7901276969,64,68,60,-1.12333671411406,7.96964491066792,4.42933423550825,FALSE
"AGO",2019,21.5425600428514,17.3539007194501,8504.47336601432,49006.1197393079,61,64,69,-1.1553448107018,7.82718829755281,4.16583712132958,FALSE
"AGO",2020,22.8851547812017,20.4499394770964,9999.7407128122,48898.6323114148,55,65,51,-1.20793487826791,7.4669020905929,4.02564483455002,FALSE
"AGO",2021,23.6586269344225,24.5258087860406,11880.305593974,48440.0155673393,50,48,44,-1.25976792187541,7.72619868861731,4.20386944485486,FALSE
"AGO",2022,22.2853805346396,22.8123793524331,10898.2269129496,47773.3021381973,48,39,48,-1.31081132951494,8.18828256702577,4.64386249735019,FALSE
"AGO",2023,20.3175454879086,17.8516592846476,8575.76414075322,48039.0310167322,60,58,50,-1.38509034389904,7.96745814969305,4.33166951049486,FALSE
"AGO",2024,20.3387199328232,26.4509886819595,14651.9398492798,55392.7871107253,58,56,39,-1.43524754771473,7.90868821937027,4.33166951049486,FALSE
"BDI",2000,57.754132137673,35.3599525651077,11851.0069900365,33515.3362217198,0,0,0,-0.305779282155339,4.90184565944596,1.73682291816307,FALSE
"BDI",2001,55.5684724049061,36.416952402958,11749.9101379523,32264.9463028594,0,0,0,-0.319884801510323,4.88400993917023,2.01598987237145,FALSE
"BDI",2002,51.1373529134507,39.0017050209369,12204.6743041074,31292.6686091177,0,0,0,-0.381837556926357,4.79539632389718,1.86717438053605,FALSE
"BDI",2003,45.2340955170483,39.1285673373638,11873.0101819366,30343.5852367616,0,0,0,-0.402725601508476,4.71318731496132,1.77039417991131,FALSE
"BDI",2004,37.0856581212235,35.1066802814858,10413.3682689786,29662.0705389517,83,0,0,-0.474308635110451,4.82987224367634,2.18408086709248,FALSE
"BDI",2005,32.8192509953754,32.5757612454175,9544.83585622456,29300.4230486472,87,0,0,-0.551708896408703,4.99202736406574,2.40975033395504,FALSE
"BDI",2006,27.8185604016529,32.7944692554577,9205.6083017342,28070.6122426488,92,0,0,-0.688609121349933,5.08693411379191,2.64653979175848,FALSE
"BDI",2007,21.2545483169778,30.539587040419,8336.95992020717,27298.8626505435,99,0,0,-0.780093874085097,5.11296769909171,2.72542806947645,FALSE
"BDI",2008,16.771686805917,27.6334687126178,7492.81082953826,27114.984758019,92,0,0,-0.877637737538046,5.24439997206555,2.6858220194059,FALSE
"BDI",2009,13.5543666908353,26.1470205892352,7055.31797907276,26983.2578247078,94,0,0,-0.988278935094849,5.29044407360098,2.90799136470251,FALSE
"BDI",2010,13.1521543046999,26.948102404025,7321.71824105396,27169.6987464333,96,0,0,-1.10537413765655,5.3786417513252,3.19667713015781,FALSE
"BDI",2011,12.745377216336,25.6478085502927,7098.30337800836,27676.061929772,96,14,0,-1.22173330264653,5.43838257328666,3.14277297269456,FALSE
"BDI",2012,13.0061596380758,25.1429174803975,6848.41947835859,27237.9666508388,96,96,0,-1.34466648640985,5.44284527196804,2.99633004885073,FALSE
"BDI",2013,14.0010892149667,26.997418159752,7184.09579710481,26610.3067878355,96,96,0,-1.47505670427317,5.45892474333372,3.00880769444044,FALSE
"BDI",2014,14.9485828758602,26.8423124406684,7167.86265565524,26703.5959420371,95,95,85,-1.61178595362654,5.52363651814748,2.89403235140762,FALSE
"BDI",2015,16.8718316295086,28.4187989317804,7621.7837339771,26819.5139149732,94,94,96,-1.73150374448754,5.53891799346932,2.87222422241291,FALSE
"BDI",2016,20.5975509852874,32.4291380543115,8525.94107761011,26290.9888734356,94,94,96,-1.86586559112189,5.45077151708362,2.92287812495797,FALSE
"BDI",2017,22.5585769952985,34.7840631324753,8945.8946246008,25718.3716305088,91,91,93,-1.99559333839533,5.50557835796598,2.95317780051328,FALSE
"BDI",2018,27.5559620307837,41.5718245034538,10547.7363768518,25372.320081779,90,90,92,-2.13464941224085,5.50395529801796,2.92735664760324,FALSE
"BDI",2019,29.1669214521629,42.4023249372506,10910.2149621501,25730.2281851188,93,93,95,-2.25259982973219,5.45664765352382,3.10205153496819,FALSE
"BDI",2020,31.6746001506521,47.058754453942,12405.5845104953,26361.9057802244,93,93,96,-2.37694156673622,5.5322127205204,3.26649742805994,FALSE
"BDI",2021,29.6976009348351,46.5294662436119,12454.020918451,26765.8796110965,94,94,94,-2.470328517685,5.57660360136031,3.14044717280581,FALSE
"BDI",2022,25.9225935122415,45.0201816325531,11986.4535838054,26624.6228894338,91,91,91,-2.56760132071149,5.7098714185389,3.23952323758561,FALSE
"BDI",2023,23.5164440697452,39.3082433675397,10501.404362192,26715.5269799309,89,88,89,-2.6471710772059,5.52064123817273,3.33720233272792,FALSE
"BDI",2024,23.5469084975939,47.8487126985141,14430.2985954673,30158.1751768118,89,88,89,-2.72884165864953,5.37635157483683,3.33720233272792,FALSE
"BEN",2000,37.4889841649523,17.4673843078563,4759.10597885623,27245.6705307372,0,0,0,-1.55932957550875,6.18913467091287,2.66887370201147,FALSE
