"indicator","region_group","era","n","mean_coverage_pct","correlation"
"ITN","West Africa","ALL",187,52.2399294286461,0.24847527262284
"ITN","West Africa","2005-2011",36,39.0511639458829,0.207092294149639
"ITN","West Africa","2012-2017",74,57.6004223980245,0.20044068747542
"ITN","West Africa","2018-2024",77,53.2544629045612,0.475537539492541
"ITN","Central Africa","ALL",92,39.4658789634263,0.115727609014826
"ITN","Central Africa","2012-2017",29,33.0625249463143,-0.174049918350449
"ITN","Central Africa","2018-2024",58,44.6122830543917,0.214832380813723
"ITN","East & Southern","ALL",95,49.0277078317451,-0.0507321563609936
"ITN","East & Southern","2012-2017",34,49.6532269716619,-0.300577899429931
"ITN","East & Southern","2018-2024",39,53.7213830587788,0.0983557293591737
"ACT","West Africa","ALL",180,10.5861949154854,0.15093088127396
"ACT","West Africa","2005-2011",49,7.06059388934602,0.101881827175983
"ACT","West Africa","2012-2017",91,13.6510840925697,0.175968250526472
"ACT","West Africa","2018-2024",40,7.93243329463942,0.17713305847566
"ACT","Central Africa","ALL",86,3.93921647278661,0.0187915846996075
"ACT","Central Africa","2012-2017",58,2.79842998379781,0.0942931845902627
"ACT","East & Southern","ALL",197,12.4418866002998,0.472861487482169
"ACT","East & Southern","2005-2011",92,6.15291210287843,0.0267921404067185
"ACT","East & Southern","2012-2017",69,19.8505436562613,0.677942265568371
"ACT","East & Southern","2018-2024",36,14.3137842920063,0.697612552088652
