"iso3","pfpr_pct","u5mr_year","m_1mo_5y","births","region","country","allcause_postneonatal_2024","af_spline_no_time_interaction_2025","deaths_spline_no_time_interaction_2025","af_spline_ti_interaction_2025","deaths_spline_ti_interaction_2025","af_full_te_surface_2025","deaths_full_te_surface_2025","ihme_u5_2025","ihme_u5_lo_2025","ihme_u5_hi_2025","who_region","who_all_age_2024","who_all_age_lo_2024","who_all_age_hi_2024","who_u5_proxy_2024","who_u5_proxy_lo_2024","who_u5_proxy_hi_2024","best_model","best_model_deaths","ratio_vs_ihme","ratio_vs_who_u5_proxy","absolute_difference_vs_ihme","absolute_difference_vs_who_u5_proxy","very_different_vs_ihme","very_different_vs_who"
"COD",36.0389696426312,2024,66.1,4467760.094525,"Sub-Saharan Africa","Congo - Kinshasa",295318.942248102,0.368273770133476,108758.220253539,0.439406286941946,129764.999876862,0.39890044331201,117802.856981202,68299.9225401062,46973.0259583173,93607.2666060378,"AFR",67676,43400,110000,50757,32550,82500,"spline_no_interaction",108758.220253539,1.59236227815157,2.14272357021768,40458.2977134328,58001.220253539,FALSE,TRUE
"NGA",24.7029050973954,2024,76.6,7560454.278654,"Sub-Saharan Africa","Nigeria",579130.797744896,0.304147194679352,176141.007486525,0.366918230637503,212493.647616243,0.343684609150203,199038.3418698,150493.13610871,126733.193388934,177641.852556508,"AFR",184933,135000,264000,138699.75,101250,198000,"spline_no_interaction",176141.007486525,1.17042552265831,1.26994466454716,25647.8713778151,37441.2574865254,FALSE,FALSE
"UGA",21.8989085169071,2024,27.4,1722319.708112,"Sub-Saharan Africa","Uganda",47191.5600022688,0.28012269651715,13219.4270406864,0.33980933799376,16036.1327632638,0.317471988835777,14981.9984101832,28473.9253198729,21401.9179241844,36218.5876755845,"AFR",16204,14000,19500,12153,10500,14625,"spline_no_interaction",13219.4270406864,0.464264301187169,1.08775010620311,-15254.4982791865,1066.42704068644,TRUE,FALSE
"BDI",23.4233910534999,2024,28,466541.020846,"Sub-Saharan Africa","Burundi",13063.148583688,0.293626466041187,3835.68615399925,0.355088086504762,4638.56843430916,0.332659286382898,4345.57768576342,15659.2043758806,10773.5635554497,19985.1967941268,"AFR",6389,5200,8440,4791.75,3900,6330,"spline_no_interaction",3835.68615399925,0.244947703722881,0.800477102102415,-11823.5182218814,-956.063846000752,TRUE,FALSE
"TCD",15.0399054719793,2024,66.9,878221.257472,"Sub-Saharan Africa","Chad",58753.0021248768,0.20638619884988,12125.8087795722,0.254518551374087,14953.7289897023,0.224696381491051,13201.5869791958,5497.81037301096,4263.47425262352,6652.6328161557,"AFR",13862,10500,19100,10396.5,7875,14325,"spline_no_interaction",12125.8087795722,2.20557057389583,1.16633566869352,6627.99840656127,1729.30877957222,TRUE,FALSE
"CMR",25.154436708263,2024,40,971102.119936,"Sub-Saharan Africa","Cameroon",38844.08479744,0.307685077060243,11951.7452242349,0.370885198237242,14406.6960904428,0.347238476744366,13488.160835592,17718.226133822,13526.3997390562,21495.0522110474,"AFR",11702,9800,14400,8776.5,7350,10800,"spline_no_interaction",11951.7452242349,0.674545247022242,1.36178946325243,-5766.48090958712,3175.24522423492,FALSE,FALSE
"TZA",8.82259173357379,2024,17.1,2385962.023757,"Sub-Saharan Africa","Tanzania",40799.9506062447,0.122845847305152,5012.10450223248,0.15441690951923,6300.20228115355,0.12690449688393,5177.69720457467,10729.3102045926,8696.1661239403,12468.58375411,"AFR",26062,24500,28000,19546.5,18375,21000,"spline_no_interaction",5012.10450223248,0.467141354538064,0.256419538138924,-5717.20570236016,-14534.3954977675,TRUE,TRUE
"ETH",3.96603043268051,2024,19.3,4155788.807723,"Sub-Saharan Africa","Ethiopia",80206.7239890539,0.048632087380548,3900.62040954317,0.0621269958463793,4983.00280811964,0.0494800850845842,3968.63552733415,9330.18058822834,6729.57664057195,11932.461222601,"AFR",22360,8410,43400,16770,6307.5,32550,"spline_no_interaction",3900.62040954317,0.418064835150617,0.232595134737219,-5429.56017868518,-12869.3795904568,TRUE,TRUE
"MLI",17.8159583489328,2024,45,967687.81754,"Sub-Saharan Africa","Mali",43545.9517893,0.238739225449164,10396.1268016241,0.292298696025526,12728.4249252028,0.266089653149969,11587.1272077001,15376.9431014676,12938.1832412761,18062.5418298261,"AFR",14239,11200,18400,10679.25,8400,13800,"spline_no_interaction",10396.1268016241,0.676085404818326,0.973488475466358,-4980.81629984353,-283.123198375895,FALSE,FALSE
"GHA",16.1684528452277,2024,17.8,892358.57088,"Sub-Saharan Africa","Ghana",15883.982561664,0.219935744629521,3493.45553238189,0.270406681964398,4295.13502087992,0.24196181366865,3843.31722890143,7254.33644799362,5349.78305851293,9187.2650202414,"AFR",11635,11000,12600,8726.25,8250,9450,"spline_no_interaction",3493.45553238189,0.481567894931052,0.400338694442847,-3760.88091561173,-5232.79446761811,TRUE,TRUE
"CIV",21.6097900536211,2024,37.1,1007972.03572,"Sub-Saharan Africa","Côte d’Ivoire",37395.762525212,0.277441903228857,10375.1515276892,0.33676190820197,12593.4683466581,0.314322884710911,11754.3439528888,14112.9387768486,11550.2287558787,16888.3968172106,"AFR",10817,9260,12800,8112.75,6945,9600,"spline_no_interaction",10375.1515276892,0.735151742081459,1.27886986874848,-3737.78724915937,2262.40152768919,FALSE,FALSE
"AGO",20.3629860173891,2024,30.9,1407762.377142,"Sub-Saharan Africa","Angola",43499.8574536878,0.265442992987639,11546.7323570426,0.323067596251096,14053.3943848282,0.299816354480646,13041.9686821925,15265.5258014429,12305.7644300597,17768.1650735704,"AFR",16385,11400,25500,12288.75,8550,19125,"spline_no_interaction",11546.7323570426,0.756392705186162,0.939618135045677,-3718.79344440035,-742.017642957437,FALSE,FALSE
"NER",17.3322123852766,2024,77.9,1119682.50504,"Sub-Saharan Africa","Niger",87223.267142616,0.233340510018216,20352.7216405131,0.286031965989068,24948.6425807921,0.259163271894824,22605.0672980366,23329.372234712,19841.4995627169,27894.8071006506,"AFR",35478,28500,44500,26608.5,21375,33375,"spline_no_interaction",20352.7216405131,0.872407599988059,0.764895489806383,-2976.65059419883,-6255.77835948686,FALSE,FALSE
"SDN",4.74760862160875,2024,37.9,1664613.983148,"Sub-Saharan Africa","Sudan",63088.8699613092,0.0610399852444884,3850.94369152976,0.0777860488762411,4907.43392235721,0.0621805305860045,3922.89940826565,1352.07031334233,1103.90591364761,1736.56595885971,"EMR",12689,4670,25200,9516.75,3502.5,18900,"spline_no_interaction",3850.94369152976,2.84818300759092,0.40464903370686,2498.87337818743,-5665.80630847024,TRUE,TRUE
"BFA",20.8895299226178,2024,51.1,737924.601416,"Sub-Saharan Africa","Burkina Faso",37707.9471323576,0.270597002292821,10203.6574566321,0.328960449150521,12404.4232252045,0.306120731940721,11543.1843761393,12438.7300943295,10392.2781775649,14880.9886338766,"AFR",16184,11300,24100,12138,8475,18075,"spline_no_interaction",10203.6574566321,0.82031343869128,0.840637457293799,-2235.07263769735,-1934.34254336787,FALSE,FALSE
"RWA",2.95286330052362,2024,20.3,400067.783154,"Sub-Saharan Africa","Rwanda",8121.3759980262,0.0322943854366664,262.274846756349,0.0413806709291488,336.067987666209,0.0328220268155919,266.56002078672,2454.49793187811,1306.76810258719,3389.23959906107,"AFR",3410,3190,3840,2557.5,2392.5,2880,"spline_no_interaction",262.274846756349,0.10685478416992,0.102551259728778,-2192.22308512176,-2295.22515324365,TRUE,TRUE
"MWI",19.1949461379247,2024,25.2,674410.571898,"Sub-Saharan Africa","Malawi",16995.1464118296,0.253559448426103,4309.27995010437,0.309422840339347,5258.68647473137,0.284971837620395,4843.13810360674,6315.80132217637,5233.00759652494,7452.66750034794,"AFR",7501,6480,9320,5625.75,4860,6990,"spline_no_interaction",4309.27995010437,0.682301378761457,0.765992081074412,-2006.521372072,-1316.47004989563,FALSE,FALSE
"MOZ",23.8959888516995,2024,34.3,1282345.031448,"Sub-Saharan Africa","Mozambique",43984.4345786664,0.29759820241578,13089.6886648856,0.359560697388969,15815.0739713648,0.336902967923596,14818.486551994,11387.9817126498,9845.60864285642,12660.5584584126,"AFR",17946,12500,27400,13459.5,9375,20550,"spline_no_interaction",13089.6886648856,1.14943007419353,0.972524140189874,1701.70695223585,-369.811335114387,FALSE,FALSE
"SLE",30.8228777964225,2024,62.2,260193.998376,"Sub-Saharan Africa","Sierra Leone",16184.0666989872,0.344747751496991,5579.42060455316,0.41238548420707,6674.07418210136,0.380270734734138,6154.32693461016,7181.23666935144,6373.77430845913,8544.73313153461,"AFR",6646,5320,8360,4984.5,3990,6270,"spline_no_interaction",5579.42060455316,0.776944259247907,1.11935411867854,-1601.81606479828,594.920604553162,FALSE,FALSE
"ZMB",14.2547402661023,2024,27,697510.620144,"Sub-Saharan Africa","Zambia",18832.786743888,0.196648499456929,3703.43925377793,0.243041716048095,4577.15280820236,0.212443490485979,4000.90295144964,5272.14715193377,4427.24832736203,6295.06346536455,"AFR",8682,7740,10200,6511.5,5805,7650,"spline_no_interaction",3703.43925377793,0.702453696198435,0.568753628776461,-1568.70789815584,-2808.06074622207,FALSE,FALSE
"SSD",23.0925969704235,2024,57.2,349010.268576,"Sub-Saharan Africa","South Sudan",19963.3873625472,0.290786260442649,5805.07875692313,0.351884216645134,7024.80092365329,0.32956296946674,6579.19321981585,4282.22125812668,3273.02406693928,5229.02105410461,"AFR",6749,3720,13800,5061.75,2790,10350,"spline_no_interaction",5805.07875692313,1.35562326348888,1.14685212760866,1522.85749879646,743.328756923133,FALSE,FALSE
"KEN",4.56630179838788,2024,18.1,1521883.633792,"Sub-Saharan Africa","Kenya",27546.0937716352,0.0581769359138739,1602.54733202998,0.0741806127221845,2043.38611408265,0.0592452490415187,1631.97518562156,2905.21639819498,1961.38917907544,3632.5858458306,"AFR",11656,11300,12100,8742,8475,9075,"spline_no_interaction",1602.54733202998,0.551610314820489,0.183315869598488,-1302.669066165,-7139.45266797002,FALSE,TRUE
"LBR",15.0772926520803,2024,53.5,171623.105409,"Sub-Saharan Africa","Liberia",9181.8361393815,0.206843583964354,1899.2038944431,0.255056420864162,2341.88626267186,0.225275648648065,2068.44409207941,3088.41507207042,2594.39899388134,3451.68320838564,"AFR",3563,2870,4710,2672.25,2152.5,3532.5,"spline_no_interaction",1899.2038944431,0.614944510411906,0.710713404226063,-1189.21117762733,-773.046105556903,FALSE,FALSE
"CAF",33.7173529884399,2024,59.8,246240.56317,"Sub-Saharan Africa","Central African Republic",14725.185677566,0.358903840293278,5284.92568871001,0.428480969999557,6309.46184254706,0.391416485765514,5763.68043015757,4319.77192218517,3505.81700943583,5282.49228767641,"AFR",5062,3920,6580,3796.5,2940,4935,"spline_no_interaction",5284.92568871001,1.22342701973872,1.39205207130515,965.153766524847,1488.42568871001,FALSE,FALSE
"SOM",3.0050584106644,2024,66.9,804961.508246,"Sub-Saharan Africa","Somalia",53851.9249016574,0.0331429954152478,1784.8141001179,0.0424616514222702,2286.64166359245,0.0336859270586896,1814.05201420726,1275.3617721339,851.023885536486,1858.2525595698,"EMR",2592,930,5370,1944,697.5,4027.5,"spline_no_interaction",1784.8141001179,1.39945711022183,0.918114249031841,509.452327983997,-159.185899882101,FALSE,FALSE
"TGO",20.988802052246,2024,33.5,269522.656038,"Sub-Saharan Africa","Togo",9029.008977273,0.271554525867505,2451.86825187682,0.330053505251293,2980.05606189435,0.307280710791715,2774.44029628122,1971.63171351714,1551.71179630058,2364.35609016244,"AFR",3486,2900,4290,2614.5,2175,3217.5,"spline_no_interaction",2451.86825187682,1.24357314556632,0.937796233267094,480.23653835968,-162.631748123182,FALSE,FALSE
"GIN",21.3918844138873,2024,62.3,491703.210125,"Sub-Saharan Africa","Guinea",30633.1099907875,0.275396117877184,8436.23956996766,0.334433259336397,10244.7308178294,0.311894412619701,9554.29584729137,7978.83064374528,6802.32567358553,9014.98888967093,"AFR",10245,8480,12600,7683.75,6360,9450,"spline_no_interaction",8436.23956996766,1.0573278148949,1.09793259410674,457.408926222378,752.48956996766,FALSE,FALSE
"BEN",36.4195176021028,2024,47.5,483329.773356,"Sub-Saharan Africa","Benin",22958.16423441,0.369658440056338,8486.67917744921,0.441051266861985,10125.727420412,0.400057064016775,9184.575778833,8123.38963423525,6396.09877254168,9862.69374517238,"AFR",9946,7860,12700,7459.5,5895,9525,"spline_no_interaction",8486.67917744921,1.04472142289998,1.13770080802322,363.289543213963,1027.17917744921,FALSE,FALSE
"ZWE",3.38456270889392,2024,31,497218.043343,"Sub-Saharan Africa","Zimbabwe",15413.759343633,0.0392904747398627,605.613922137335,0.05028163608509,775.02903801971,0.0399481107491343,615.750565319954,302.167062423287,247.554521451937,370.554186123868,"AFR",381,140,730,285.75,105,547.5,"spline_no_interaction",605.613922137335,2.00423539640786,2.11938380450511,303.446859714048,319.863922137335,FALSE,FALSE
