"svkey","SurveyId","iso3","year","success","regions","reason"
"AO62FL","AO2011MIS","AGO",2011,TRUE,4,""
"AO71FL","AO2015DHS","AGO",2015,TRUE,18,""
"AO81FL","AO2023DHS","AGO",2023,TRUE,18,""
"BU61FL","BU2010DHS","BDI",2010,TRUE,5,""
"BU71FL","BU2016DHS","BDI",2016,TRUE,18,""
"BJ41FL","BJ2001DHS","BEN",2001,TRUE,6,""
"BJ51FL","BJ2006DHS","BEN",2006,TRUE,12,""
"BJ61FL","BJ2012DHS","BEN",2012,TRUE,12,""
"BJ71FL","BJ2017DHS","BEN",2017,TRUE,12,""
"BF43FL","BF2003DHS","BFA",2003,TRUE,14,""
"BF62FL","BF2010DHS","BFA",2010,TRUE,13,""
"BF81FL","BF2021DHS","BFA",2021,TRUE,13,""
"CI62FL","CI2012DHS","CIV",2012,TRUE,11,""
"CI81FL","CI2021DHS","CIV",2021,TRUE,14,""
"CM44FL","CM2004DHS","CMR",2004,TRUE,12,""
"CM61FL","CM2011DHS","CMR",2011,TRUE,12,""
"CM71FL","CM2018DHS","CMR",2018,TRUE,12,""
"CD51FL","CD2007DHS","COD",2007,TRUE,11,""
"CD61FL","CD2013DHS","COD",2013,TRUE,11,""
"CD81FL","CD2023DHS","COD",2023,TRUE,26,""
"CG51FL","CG2005DHS","COG",2005,TRUE,4,""
"CG61FL","CG2011DHS","COG",2011,TRUE,12,""
"KM61FL","KM2012DHS","COM",2012,TRUE,3,""
"ET41FL","ET2000DHS","ETH",2000,TRUE,11,""
"ET51FL","ET2005DHS","ETH",2005,TRUE,11,""
"ET61FL","ET2011DHS","ETH",2011,TRUE,11,""
"ET71FL","ET2016DHS","ETH",2016,TRUE,11,""
"ET81FL","ET2019DHS","ETH",2019,TRUE,11,""
"ET8AFL","ET2024DHS","ETH",2024,TRUE,14,""
"GA41FL","GA2000DHS","GAB",2000,TRUE,5,""
"GA61FL","GA2012DHS","GAB",2012,TRUE,10,""
"GA71FL","GA2019DHS","GAB",2019,TRUE,11,""
"GH4BFL","GH2003DHS","GHA",2003,TRUE,10,""
"GH5AFL","GH2008DHS","GHA",2008,TRUE,10,""
"GH72FL","GH2014DHS","GHA",2014,TRUE,10,""
"GH8CFL","GH2022DHS","GHA",2022,TRUE,16,""
"GN52FL","GN2005DHS","GIN",2005,TRUE,8,""
"GN62FL","GN2012DHS","GIN",2012,TRUE,8,""
"GN71FL","GN2018DHS","GIN",2018,TRUE,8,""
"GM61FL","GM2013DHS","GMB",2013,TRUE,8,""
"GM81FL","GM2019DHS","GMB",2019,TRUE,8,""
"KE42FL","KE2003DHS","KEN",2003,TRUE,8,""
"KE52FL","KE2008DHS","KEN",2008,TRUE,8,""
"KE72FL","KE2014DHS","KEN",2014,TRUE,8,""
"KE8CFL","KE2022DHS","KEN",2022,TRUE,47,""
"LB51FL","LB2007DHS","LBR",2007,TRUE,6,""
"LB5AFL","LB2009MIS","LBR",2009,TRUE,6,""
"LB6AFL","LB2013DHS","LBR",2013,TRUE,5,""
"LB7AFL","LB2019DHS","LBR",2019,TRUE,5,""
"LS41FL","LS2004DHS","LSO",2004,FALSE,0,"unknown failure"
"LS61FL","LS2009DHS","LSO",2009,FALSE,0,"unknown failure"
"LS71FL","LS2014DHS","LSO",2014,FALSE,0,"unknown failure"
"LS81FL","LS2023DHS","LSO",2023,FALSE,0,"unknown failure"
"MD42FL","MD2004DHS","MDG",2004,TRUE,6,""
"MD51FL","MD2008DHS","MDG",2008,TRUE,22,""
"MD81FL","MD2021DHS","MDG",2021,TRUE,23,""
"ML41FL","ML2001DHS","MLI",2001,TRUE,7,""
