"iso3","country","pfpr_window","pfpr_target_year","allcause_1mo5y","attributable_fraction_pct","malaria_deaths","malaria_deaths_lo","malaria_deaths_hi","deaths_per_1000_births","births","pfpr_years"
"NGA","Nigeria",26.651964246232,24.694238167759,579130.797744896,24.3278099022339,140889.839560669,84302.3905131384,189309.841589058,18.6351023851111,7560454.278654,5
"COD","Congo - Kinshasa",37.4221857725483,36.0595229709644,295318.942248102,28.6314962413778,84554.231849842,54780.8549988149,110423.473908779,18.9254190155507,4467760.094525,5
"NER","Niger",19.7051934047147,17.3155144567501,87223.267142616,19.8899575896022,17348.6708429317,9302.5210022939,24316.4335412846,15.4942769623001,1119682.50504,5
"UGA","Uganda",22.1434352440319,21.8888318498397,47191.5600022688,21.6244212916836,10204.9017490083,5741.80277420698,14042.2718720402,5.92509143392131,1722319.708112,5
"MOZ","Mozambique",24.6159782710498,23.9051215608327,43984.4345786664,23.1838970219565,10197.3060184078,5950.86163510258,13847.1462290239,7.95207667853107,1282345.031448,5
"TCD","Chad",15.0849260190525,15.0481054075522,58753.0021248768,16.0285789908682,9417.27135509233,4535.37210130004,13724.7091241163,10.7231193448908,878221.257472,5
"AGO","Angola",21.8970855341991,20.3387199328232,43499.8574536878,21.458273006524,9334.3181698611,5247.38766427508,12869.6026711457,6.63060635901591,1407762.377142,5
"CMR","Cameroon",24.8086849055559,25.1747465384929,38844.08479744,23.2974308055626,9049.67377773765,5303.55633433584,12273.4883129761,9.31897232222505,971102.119936,5
"CIV","Côte d’Ivoire",24.1518360055363,21.6145073637869,37395.762525212,22.9057966958947,8565.79733690464,4971.43151516035,11668.3612223305,8.49805057417694,1007972.03572,5
"BFA","Burkina Faso",22.377610159991,20.8674487845733,37707.9471323576,21.7805080294322,8212.98245289719,4637.30329273412,11281.7990740361,11.1298396030398,737924.601416,5
"MLI","Mali",16.2428825777981,17.831434657684,43545.9517893,17.0688481183741,7432.79237261604,3691.58127115617,10734.0867376454,7.68098165326836,967687.81754,5
"GIN","Guinea",22.7270952641847,21.4175935803199,30633.1099907875,22.0101262050409,6742.38616950132,3821.94155732703,9248.01597359569,13.7123086257405,491703.210125,5
