"outcome","specification","n","countries","AIC","dAIC","selected"
"nnmr","linear_time_interaction",1055,35,6985.9121554159,0,TRUE
"nnmr","linear_no_interaction",1055,35,6986.87694561036,0.964790194459056,FALSE
"nnmr","spline_no_interaction",1055,35,6986.90746982218,0.995314406273792,FALSE
"nnmr","spline_time_interaction",1055,35,6988.9766884105,3.06453299459372,FALSE
"nnmr","full_te_surface",1055,35,6992.1668777089,6.25472229299521,FALSE
"postneonatal_mortality","linear_time_interaction",1055,35,8144.69750143711,0,TRUE
"postneonatal_mortality","spline_time_interaction",1055,35,8144.80496350965,0.107462072541239,FALSE
"postneonatal_mortality","spline_no_interaction",1055,35,8145.13708647994,0.439585042826366,FALSE
"postneonatal_mortality","full_te_surface",1055,35,8150.71103073404,6.01352929692803,FALSE
"postneonatal_mortality","linear_no_interaction",1055,35,8151.06436761831,6.36686618120257,FALSE
