"period","variable","pct_change","lo","hi","label"
"2000-2006","pct_urban",-1.99159262358339,-7.33756726916107,3.66280738995517,"Urban residence"
"2000-2006","dtp3_reg",-4.04172865791643,-10.3435533875598,2.70304241215926,"DTP3 coverage (DHS region)"
"2000-2006","measles",-3.00704574580776,-9.16895035372727,3.57287746417532,"Measles vaccination"
"2000-2006","facility",-2.81042075564077,-9.22002678510235,4.0517415810986,"Facility delivery"
"2000-2006","educ_yrs",-1.12977400884248,-7.86335574903942,6.09591511621226,"Maternal education"
"2000-2006","excl_bf",2.74872113968774,-3.92582946179215,9.88697208312372,"Exclusive breastfeeding"
"2000-2006","birth_int",2.82071204688294,-2.88827077993079,8.86531329156046,"Birth interval <24 months"
"2000-2006","mage1",-4.36407936020818,-9.83817800238054,1.44237454365159,"Maternal age at first birth"
"2000-2006","imp_water",-4.60653186105987,-9.65781991511245,0.727188064584028,"Improved water"
"2000-2006","imp_sanit",-1.88630524343969,-7.60900766088655,4.19086163130458,"Improved sanitation"
"2000-2006","elec_dhs",-1.38941141907377,-7.52552164978288,5.15385816451992,"Household electricity"
"2000-2006","hib3_wuenic",-3.89569220664024,-10.1070372827812,2.74483894245579,"Hib3 coverage (WUENIC)"
"2000-2006","pcv3_wuenic",-3.33066907387547e-14,-8.30054027556921,9.05189659842423,"PCV completion (WUENIC)"
"2000-2006","rotac_wuenic",4.44089209850063e-14,-8.30054027556914,9.05189659842431,"Rotavirus completion (WUENIC)"
"2000-2006","log_hiv_prev",2.26918236465237,-4.38986043169468,9.39201332367543,"Child HIV prevalence (log, UNAIDS)"
"2000-2006","log_gdp",-1.76946154203559,-8.81636662114721,5.82204643733211,"GDP per capita"
"2000-2006","log_hexp_pc",-0.503606747501839,-7.29495604447086,6.78526051942323,"Health expenditure per capita"
"2000-2006","polstab",-2.72056425141591,-9.37801368241626,4.42596773810398,"polstab"
"2007-2012","pct_urban",-0.977648369285178,-6.35647770214032,4.71013778495006,"Urban residence"
"2007-2012","dtp3_reg",-4.1045052646046,-10.2312549022105,2.44039727333443,"DTP3 coverage (DHS region)"
"2007-2012","measles",-2.16980908167559,-8.69418183022157,4.82077097561842,"Measles vaccination"
"2007-2012","facility",-5.16974351785543,-11.1640094530617,1.22898938936025,"Facility delivery"
"2007-2012","educ_yrs",-2.27926996819817,-8.58924058330885,4.4662700417806,"Maternal education"
"2007-2012","excl_bf",-3.33598399322836,-10.0053754776466,3.82766793183851,"Exclusive breastfeeding"
"2007-2012","birth_int",5.03785400039292,-0.915052122220561,11.3484036608358,"Birth interval <24 months"
"2007-2012","mage1",-3.42860535890503,-9.09294202565882,2.58867100900362,"Maternal age at first birth"
"2007-2012","imp_water",-0.520156286743112,-6.91485185118621,6.31383740608169,"Improved water"
"2007-2012","imp_sanit",-2.40383762614267,-8.84704371705546,4.49481068434125,"Improved sanitation"
"2007-2012","elec_dhs",-1.15222772883382,-7.79264044457235,5.96640148988175,"Household electricity"
"2007-2012","hib3_wuenic",-1.24317944404498,-8.19303657622512,6.23278717217031,"Hib3 coverage (WUENIC)"
"2007-2012","pcv3_wuenic",-1.92415539420784,-9.03031703677313,5.73710913148697,"PCV completion (WUENIC)"
"2007-2012","rotac_wuenic",-4.44089209850063e-14,-8.34564793381425,9.10556645230287,"Rotavirus completion (WUENIC)"
"2007-2012","log_hiv_prev",4.01019794274013,-2.55585381105413,11.0186881324965,"Child HIV prevalence (log, UNAIDS)"
"2007-2012","log_gdp",-0.54137472273047,-7.49145026824065,6.93085310198376,"GDP per capita"
"2007-2012","log_hexp_pc",0.585242162388311,-6.70125531268022,8.44080458717418,"Health expenditure per capita"
"2007-2012","polstab",-0.0793153724596984,-6.565400688764,6.85702395082377,"polstab"
"2013-2018","pct_urban",0.601705285836629,-5.6787990293562,7.30040544721502,"Urban residence"
"2013-2018","dtp3_reg",-4.50396855177952,-11.3432663212457,2.8629371278643,"DTP3 coverage (DHS region)"
"2013-2018","measles",-2.39811084803667,-8.76967819321894,4.4184496707987,"Measles vaccination"
"2013-2018","facility",-2.38915903920345,-9.415264788659,5.18191890548299,"Facility delivery"
"2013-2018","educ_yrs",-3.43014269738118,-9.94689577908782,3.55819957711723,"Maternal education"
"2013-2018","excl_bf",-4.45538779994813,-11.8774362191813,3.59177637141479,"Exclusive breastfeeding"
"2013-2018","birth_int",2.08689534185291,-4.15874776107659,8.73954541576738,"Birth interval <24 months"
"2013-2018","mage1",-6.26284394772785,-11.5974842695951,-0.606285328303591,"Maternal age at first birth"
"2013-2018","imp_water",-0.145961153243512,-6.23286014841334,6.33606922202432,"Improved water"
"2013-2018","imp_sanit",-1.59100339817914,-8.86890478708853,6.26812494189264,"Improved sanitation"
"2013-2018","elec_dhs",-0.00123612240168214,-6.99645449915219,7.52012434791003,"Household electricity"
"2013-2018","hib3_wuenic",-1.40048144470705,-10.0975975259666,8.13798955087475,"Hib3 coverage (WUENIC)"
"2013-2018","pcv3_wuenic",-3.30587518201566,-10.6045485397439,4.5886968698033,"PCV completion (WUENIC)"
"2013-2018","rotac_wuenic",-4.16020293235256,-10.8753981629086,3.06095637607844,"Rotavirus completion (WUENIC)"
"2013-2018","log_hiv_prev",0.00417496878279966,-8.22132576018699,8.96687159650236,"Child HIV prevalence (log, UNAIDS)"
"2013-2018","log_gdp",-3.009328077683,-10.9087425283987,5.59050020077627,"GDP per capita"
"2013-2018","log_hexp_pc",-0.796198225026856,-8.9989373708455,8.14592711640738,"Health expenditure per capita"
"2013-2018","polstab",-3.3795731103619,-10.2700698799938,4.04005530652316,"polstab"
"2019-2024","pct_urban",-1.16259587375791,-8.80163018611532,7.11630563517838,"Urban residence"
"2019-2024","dtp3_reg",-2.34627640329561,-10.9508356111721,7.08971608831803,"DTP3 coverage (DHS region)"
"2019-2024","measles",-0.504274951748895,-8.67945600719222,8.4027631685685,"Measles vaccination"
"2019-2024","facility",-4.84442088197681,-12.3845158142449,3.34456656188296,"Facility delivery"
"2019-2024","educ_yrs",0.242661882285278,-7.48476158685681,8.61552576206315,"Maternal education"
"2019-2024","excl_bf",-2.43675340334545,-12.1526232428577,8.35368610714635,"Exclusive breastfeeding"
"2019-2024","birth_int",11.2635011846945,3.99355836265101,19.0416684532125,"Birth interval <24 months"
"2019-2024","mage1",-8.20514938556864,-14.2002055504358,-1.79120295819583,"Maternal age at first birth"
"2019-2024","imp_water",-1.54399589214731,-8.78304680772517,6.2695519379226,"Improved water"
"2019-2024","imp_sanit",4.56663970137707,-4.61230459515682,14.6288532502111,"Improved sanitation"
"2019-2024","elec_dhs",-3.11831075367122,-11.3355707229391,5.86051010256221,"Household electricity"
"2019-2024","hib3_wuenic",-0.753714570112551,-11.6911487543719,11.538368268813,"Hib3 coverage (WUENIC)"
"2019-2024","pcv3_wuenic",-0.00242004075360347,-10.6751433321949,11.9455028614666,"PCV completion (WUENIC)"
"2019-2024","rotac_wuenic",-1.62168009386049,-12.1377131859572,10.152992580747,"Rotavirus completion (WUENIC)"
"2019-2024","log_hiv_prev",-1.06990134081758,-10.0029740128168,8.74986493564121,"Child HIV prevalence (log, UNAIDS)"
"2019-2024","log_gdp",-2.97790217069935,-12.1871676750136,7.19717401166109,"GDP per capita"
"2019-2024","log_hexp_pc",-5.3424362020806,-14.7103775968602,5.05445013937977,"Health expenditure per capita"
"2019-2024","polstab",-4.779848640456,-12.6953323211841,3.85329291087269,"polstab"
