"level","iso3","year","age_band","allcause_deaths","malaria_deaths","lo","hi"
"band","NGA",2025,"<1 month",295006,17628.4274313623,0,36006.6203452224
"band","NGA",2025,"1-3 months",88784.5985133441,9276.84282718559,1711.24243328301,16032.8149097391
"band","NGA",2025,"4-11 months",135853.401486656,29852.3987793318,19322.8993847492,39175.8145268163
"band","NGA",2025,"12-23 months",128844.312489111,57673.4098097838,47668.0721875022,67004.1842624212
"band","NGA",2025,"24-35 months",112116.196362126,58846.5658108785,50238.9919065382,66008.9378974818
"band","NGA",2025,"36-59 months",95071.491148763,38199.0246204788,29928.6802068505,45616.8390224456
"band","COD",2025,"<1 month",105425,8228.28994215708,1418.83798525589,14621.2906171176
"band","COD",2025,"1-3 months",44777.623613119,6605.56899846475,2342.03193927178,10666.5574966318
"band","COD",2025,"4-11 months",96822.376386881,27422.7522516493,20736.3681211821,33948.4495402658
"band","COD",2025,"12-23 months",49503.975835621,23432.7925207258,19628.9515478262,26733.0202001367
"band","COD",2025,"24-35 months",46076.6425880689,24718.5184273114,21322.1735325841,27769.6093846845
"band","COD",2025,"36-59 months",42433.3815763101,17455.8466895904,13502.7490515629,20639.5754912579
"region","NGA",2025,"northcentral",NA,22128.135303371,18912.5762044799,25388.4710592761
"region","NGA",2025,"northeast",NA,55245.9861417182,49033.6712515199,61559.4838177303
"region","NGA",2025,"northwest",NA,113175.396344192,99905.9801094368,126279.909972985
"region","NGA",2025,"southeast",NA,8495.77780034453,7164.496814213,9868.02250832428
"region","NGA",2025,"southsouth",NA,6831.26745450161,5711.94699159794,7991.350385625
"region","NGA",2025,"southwest",NA,5600.10623489365,4251.03427585198,7077.97267281974
"region","COD",2025,"basuele",NA,1022.50572968369,911.506516959786,1123.49126045309
"region","COD",2025,"equateur",NA,1903.49286959371,1620.52187380223,2190.46490064856
"region","COD",2025,"hautkatanga",NA,8668.20050538256,7584.3436273452,9685.87581084583
"region","COD",2025,"hautlomami",NA,4514.05019474433,3943.24763627137,5081.92047252996
"region","COD",2025,"hautuele",NA,1350.60713065576,1201.12390966403,1504.82571181736
"region","COD",2025,"ituri",NA,5160.37725442671,4578.84234228631,5769.5255581891
"region","COD",2025,"kasai",NA,4388.52074548909,3787.4872511509,4979.03749735394
"region","COD",2025,"kasaicentral",NA,8752.87605025629,7943.62724808849,9579.63564534541
"region","COD",2025,"kasaioriental",NA,3504.1504189143,3091.1167507617,3901.67568039632
"region","COD",2025,"kinshasa",NA,5673.25230195774,4823.57789607872,6544.28409330251
"region","COD",2025,"kongocentral",NA,4397.06114899729,3925.92126699015,4824.01050130623
"region","COD",2025,"kwango",NA,2598.45489538335,2312.90745151579,2896.01621625685
"region","COD",2025,"kwilu",NA,5585.07541653627,5066.81820772384,6149.75036424044
"region","COD",2025,"lomami",NA,4249.44934064888,3850.60848513959,4685.73222033649
"region","COD",2025,"lualaba",NA,9199.86249591603,8210.02292575025,10166.4739321859
"region","COD",2025,"maindombe",NA,1035.09593032028,887.149708301252,1184.76567240259
"region","COD",2025,"maniema",NA,5763.23770537391,5055.36392241122,6443.10039736446
"region","COD",2025,"mongala",NA,4434.29698780798,3858.68301487993,5018.32804667341
"region","COD",2025,"nordkivu",NA,2161.04824156753,1649.30338739187,2715.31237056964
"region","COD",2025,"nordubangi",NA,1339.94220573821,1198.53406230145,1489.49089541767
"region","COD",2025,"sankuru",NA,3122.59505736472,2821.07064131668,3413.81228753336
"region","COD",2025,"sudkivu",NA,5481.47992768079,4813.77660760234,6172.62956580438
"region","COD",2025,"sudubangi",NA,5950.98399698664,5301.23681592872,6547.55496290911
"region","COD",2025,"tanganyika",NA,1860.51533391515,1574.69744422131,2140.39298828492
"region","COD",2025,"tshopo",NA,1603.47186639384,1422.90404622498,1784.4665108945
"region","COD",2025,"tshuapa",NA,4143.16507816364,3703.29726447725,4601.45720378491
