"iso3","year","pfpr_death_weighted","allcause_under5_deaths","allcause_postneonatal_deaths","malaria_deaths","lo","hi","malaria_deaths_1_59m","lo_1_59m","hi_1_59m","carried_forward"
"NGA",2005,43.8708495936881,916994.266688538,665418.336184138,303265.584235644,275769.933552426,331236.523977883,280436.186090946,259044.936876393,302036.671302288,FALSE
"NGA",2006,44.5634215260712,906827.702879823,653894.213006317,298688.220524465,271565.887786298,326259.102704756,275895.151356424,254827.782883862,296920.127362537,FALSE
"NGA",2007,45.2408280942285,897447.32738347,642348.746412931,294157.476073762,267301.695115347,321482.513466832,271278.74767646,250599.559554237,292057.299647165,FALSE
"NGA",2008,44.5066392259602,893783.968412065,634755.256057172,291321.395213895,264202.391563711,318977.637901968,267744.93372807,247336.571037545,288193.38214494,FALSE
"NGA",2009,41.0492233706708,889750.796451754,627370.724123489,287390.54028258,260117.609975179,315038.552727752,263284.656798163,243087.211329899,283576.794513101,FALSE
"NGA",2010,37.3649542175092,886899.38558935,620759.348266814,280692.73941175,254123.739572572,308263.681077123,257433.442691684,237242.221096622,277149.194599201,FALSE
"NGA",2011,35.4772326132234,886713.481354693,616688.455126325,274225.167543849,248657.517134593,301525.689067875,251903.355491784,232436.250411741,271409.704066964,FALSE
"NGA",2012,35.8344568759955,880951.251536,608551.85139,268298.522362814,242829.974779602,295228.75422147,246470.694344896,227293.629914066,265567.068301402,FALSE
"NGA",2013,36.3988075267821,877886.280871124,601853.647102639,264701.554736801,238954.591750331,291515.224210838,242960.1816148,223916.227508199,262055.000870531,FALSE
"NGA",2014,34.3064975157367,880255.428328466,599938.198414262,261288.565800285,236136.035268862,288137.34134859,239746.481119522,220887.920907248,258477.652341583,FALSE
"NGA",2015,29.3452276997657,874884.145693408,592663.453534244,250686.055866479,226688.992352321,276891.820039497,230852.500711408,211682.825617556,249329.51483177,FALSE
"NGA",2016,25.3659374907257,866659.00874298,584662.63622184,237418.646888144,213502.613683376,262505.889723638,219977.276527436,201117.112070958,238275.436563798,FALSE
"NGA",2017,24.8689560929764,861178.716521348,578282.977732339,233828.729771614,210398.314232443,258727.027059793,216575.834969146,197672.724066902,234611.272782188,FALSE
"NGA",2018,28.4275463512639,857231.76024934,574169.737027075,244561.838877371,220123.136873369,270719.116276666,224648.090446739,205825.105368591,243171.196733926,FALSE
"NGA",2019,32.9487418420883,853029.510379179,569655.141513864,253022.462586277,227768.518962645,279960.657443993,230345.452598307,212138.562576969,248032.536753117,FALSE
"NGA",2020,33.5851903078455,847454.151437561,564488.199679874,252640.082964114,227275.600093759,279492.157173662,229605.224929602,211500.084239844,247287.624956465,FALSE
"NGA",2021,29.6266780646413,862100.131151145,574000.342424615,249821.480012075,224814.419843113,276846.057930128,228650.252306211,209824.296435291,247159.672113496,FALSE
"NGA",2022,26.1181337538256,870301.88345376,579213.679030502,241960.21086284,217378.315872678,268259.134603528,223156.497302641,204190.283742107,241585.989843141,FALSE
