"iso3","country","tier","regions","pfpr","allcause_igme","allcause_ihme","ratio_allcause_igme_ihme","model_igme","model_igme_lo","model_igme_hi","model_igme_1_59m","model_igme_neonatal","model_igme_months_1_11","model_igme_years_1_4","model_ihme","model_ihme_lo","model_ihme_hi","model_ihme_1_59m","model_ihme_neonatal","model_ihme_months_1_11","model_ihme_years_1_4","ihme_u5","ihme_lo","ihme_hi","ihme_neonatal","ihme_months_1_11","ihme_years_1_4","ratio_model_igme_ihme","ratio_model_ihme_ihme","region_pipeline_2024","who_u5_proxy_2024","who_all_age_2024"
"NGA","Nigeria","regional (latest DHS)",6,24.7,855676,733038.165705799,1.16730074917193,219504.704328914,191741.286427902,247176.471530672,201244.269732571,18260.4345963429,40623.8321905169,160620.437542054,193725.210083956,170399.249032445,216642.612451689,178682.220919111,15042.9891648444,33800.3090656966,144881.911853415,138110.850542117,114663.070650648,163237.412366247,5217.42867474169,37434.0805721908,95459.3412951845,1.58933714090752,1.40267914739168,192108.179378129,138699.75,184933
"COD","Congo - Kinshasa","regional (latest DHS)",26,36.8,385039,207594.492222304,1.85476500786773,111039.522245581,98254.3566157704,122828.256648164,102792.812001375,8246.71024420611,34863.0513882667,67929.7606131081,60227.1069120956,53442.2209257208,66612.8220677083,55761.9942713462,4465.11264074936,18336.1885977678,37425.8056735784,61774.2754897226,42160.3517504988,85088.5235486626,2450.82134075036,27175.7359358787,32147.7182130936,1.79750424210243,0.974954484445805,125574.963141592,50757,67676
"NER","Niger","regional (latest DHS)",8,17.7,118445,137095.733919724,0.86395832031765,25769.945342551,22264.4325693954,29219.16477507,24192.6376261022,1577.30771644881,5114.90903176894,19077.7285943333,33553.6608107976,29392.6209385119,37550.7898524144,31929.8271880209,1623.83362277674,4822.56009122196,27107.2670967989,20343.4978323923,16923.8370927016,25555.1409014172,899.473109390691,4361.75206729144,15082.2726557102,1.26674112558551,1.64935553793365,21892.4849992966,26608.5,35478
"UGA","Uganda","regional (latest DHS)",13,24,82589,93423.0026856156,0.884032814465685,15963.2364381382,13296.6574837483,18757.4699579187,13766.1077016684,2197.12873646982,4292.22689751475,9473.88080415368,21252.2676708233,18262.4663767604,24151.9221308737,19315.7245757539,1936.54309506939,5081.6424705968,14234.0821051571,26093.0901265167,20916.4354932927,33934.1034384634,1193.73242219033,10941.6989257924,13957.6587785339,0.61178022076871,0.814478759233886,14303.0710159017,12153,16204
"AGO","Angola","regional (latest DHS)",18,28.1,67003,78496.5769564463,0.853578622124841,15543.8681481198,13471.3525147658,17594.7755827198,13834.4292569866,1709.43889113323,3339.13414889171,10495.2951080949,19678.2578063001,17268.8137066026,21917.2359757239,18128.9063922777,1549.35141402238,4653.75715748495,13475.1492347928,14651.9398492798,12467.5818693478,16923.6939760525,559.921440559482,5752.2179661171,8339.80044260326,1.06087441717718,1.34304795192476,12456.3571336889,12288.75,16385
"TCD","Chad","regional (latest DHS)",21,15.2,78958,92505.5931263154,0.853548389146413,15268.4261536077,13203.0012817198,17390.7467726,14277.6212956587,990.804857948931,2474.43663949949,11803.1846561592,16700.5665728378,14240.2859031653,19158.519308615,15601.5736125985,1098.99296023931,3721.20872985733,11880.3648827412,4884.19831764987,4011.16480230283,5854.3928488474,259.47395097138,1616.06134240994,3008.66302426855,3.12608644461316,3.4193055823486,13045.1985196442,10396.5,13862
"CMR","Cameroon","regional (latest DHS)",12,26.6,61508,76158.9596642578,0.807626578293011,14914.0262312722,12860.3180526097,16925.4558931389,13399.8960186475,1514.1302126247,2848.57579951173,10551.3202191358,19612.3810295701,17216.456376375,21923.5758635315,18069.075393382,1543.30563618802,4227.31252769168,13841.7628656904,16295.439261067,12829.7512000615,19364.0649107893,714.68055337968,5145.02686374394,10435.7318439434,0.915227014892731,1.20355031339522,13055.811499853,8776.5,11702
"MOZ","Mozambique","regional (latest DHS)",11,26.2,74215,75208.0645451154,0.986795770491877,14679.2009908646,12267.8913551916,17216.1595406475,12639.8976041086,2039.303386756,3834.70166723701,8805.19593687157,16243.722491131,13818.0804020086,18603.3016425382,14574.7332989347,1668.9891921963,4522.27553268135,10052.4577662533,10284.9934524545,8469.7142092431,11622.699765133,421.829161985457,4885.49740562086,4977.66688484818,1.42724456352098,1.57936148099875,14238.7778983132,13459.5,17946
"MLI","Mali","regional (latest DHS)",9,18.9,68264,87756.7145398564,0.777877799527199,13558.8207813127,11536.8813143039,15649.9080342089,12306.5494592117,1252.27132210101,2571.9424533352,9734.6070058765,18504.8904146582,15939.9639938666,21166.3335079837,16963.8124343173,1541.07798034096,3047.06803162104,13916.7444026962,12944.5842730324,11209.9670277499,15472.8229274054,662.716856159336,3747.51407800678,8534.35333886631,1.04745123484266,1.42954690736648,11185.0067011348,10679.25,14239
"CIV","Côte d’Ivoire","regional (latest DHS)",14,23.4,63784,76149.5103506282,0.837615366222427,13218.7098805216,11165.221954359,15323.7398998134,11689.3403431839,1529.36953733776,2975.58144553064,8713.75889765323,16261.981525977,13801.0624362851,18652.5493545669,14645.5710992903,1616.41042668668,4196.55026082407,10449.0208384662,12847.9944570404,10992.8248129928,14930.7829105665,582.499742016556,5201.43030892562,7064.06440609819,1.02885395263213,1.26572139958123,11218.5146432364,8112.75,10817
