"denominator","year","countries","malaria_deaths","lo","hi","malaria_deaths_1_59m","lo_1_59m","hi_1_59m","malaria_neonatal","malaria_months_1_11","malaria_years_1_4","allcause_under5","model_ihme_matched","ihme_matched_countries","ihme_matched_n"
"IGME",2005,43,847410.238049145,754121.625580871,936572.995705054,787453.164863151,709402.843895686,859807.463948755,59957.0731859933,222044.188146158,565408.976716993,3635250,843195.06161801,564063.375859846,41
"IGME",2006,43,801836.779499723,712734.555745566,885527.142864074,744140.90258324,671131.643210727,811338.398922735,57695.8769164835,208383.117849975,535757.784733264,3541811,798737.60112046,554927.547215635,41
"IGME",2007,43,760733.200637139,675473.588507485,839418.248595378,705335.89442612,636835.669920449,769454.070306601,55397.3062110187,195798.617659603,509537.276766517,3465170,758335.753886133,536693.16738002,41
"IGME",2008,43,722419.690110439,641921.610937078,797283.768326907,667940.224263684,602973.291172958,727762.876808804,54479.4658467571,184078.648008534,483861.576255148,3391534,720769.040143862,523507.920537346,41
"IGME",2009,43,737384.074064961,656290.567256788,813840.311278658,681463.237563095,615746.377680872,741562.187252262,55920.836501864,184851.680882221,496611.556680874,3408238,736049.792034143,512605.229702185,41
"IGME",2010,43,688358.191084214,610670.478806561,762665.733643836,632759.523371658,570943.089931572,689844.661801161,55598.6677125561,169656.471051528,463103.05232013,3286560,687226.476864311,493610.996280619,41
"IGME",2011,43,664085.694062643,588546.757548844,736398.893264924,610278.95152057,550538.545172725,665636.139243873,53806.7425420735,160528.612424365,449750.339096206,3346044,662988.154285369,466206.441385972,41
"IGME",2012,43,649722.19014624,574899.811117634,721378.109927153,596010.264027903,535975.130476714,649931.570798373,53711.9261183365,154094.489997356,441915.774030547,3177703,648600.853742641,450122.664528964,41
"IGME",2013,43,643764.202244439,568595.308119174,716582.834327771,590106.023371827,530296.091180239,644750.225887536,53658.1788726127,150551.345896058,439554.677475768,3115859,642507.116828264,441159.087871251,41
"IGME",2014,43,634335.439312536,559991.146209002,705822.268150919,582462.218499401,523764.958399055,637112.149575256,51873.2208131341,146505.648638195,435956.569861205,3133824,632842.5936973,422364.090962081,41
"IGME",2015,43,620721.387978798,545957.856212656,693105.630278813,570547.543723245,511188.21921399,623198.314334878,50173.8442555535,138976.588690375,431570.95503287,3116204,619039.643380904,416106.090635253,41
"IGME",2016,43,604299.744163231,530516.763166086,675734.600881688,556610.271858938,498374.267080741,609558.733368791,47689.4723042923,132195.267222134,424415.004636804,3100361,601962.29804046,399437.285154483,41
"IGME",2017,43,603455.607847704,529800.239201144,674941.559566747,555666.642657926,497775.813953374,608492.079784373,47788.9651897798,132340.148249331,423326.494408594,3109257,600975.670183728,391914.288866459,41
"IGME",2018,43,588102.84083126,515704.243275392,658721.596389006,538103.814411776,482305.211560365,587579.287269231,49999.0264194844,130104.801452361,407999.012959414,3007869,585262.683523566,394439.127231915,41
"IGME",2019,43,606363.732148023,533194.756491477,677802.656746698,553674.205039587,497545.94271244,605038.229572935,52689.5271084355,137344.621132651,416329.583906936,3005761,603101.996742493,396684.883887116,41
"IGME",2020,43,598359.089043772,524808.265027131,670678.717168814,544564.733964801,488977.330771614,595177.652667659,53794.3550789713,136668.762550658,407895.971414143,2963117,594910.134148962,442101.918943816,41
"IGME",2021,43,588658.809736367,514963.051055639,660298.060504308,537293.966935464,481551.221687824,587186.425847833,51364.8428009032,131996.986916735,405296.980018728,3047672,585221.249996506,433411.298633677,41
"IGME",2022,43,602472.068044797,527123.006010175,676265.650218208,552833.715950051,494522.693918944,605892.567006915,49638.352094746,133608.026671095,419225.689278956,3134154,599124.009375525,411754.38312681,41
"IGME",2023,43,559110.461154759,484680.95299121,631240.191580069,509857.194266627,453953.668619421,561193.077308421,49253.2668881323,123565.559988637,386291.634277989,2969361,554097.235152974,400132.483249034,41
"IGME",2024,43,547671.180763571,474364.7600763,618739.976193855,498736.257165325,444368.090702384,548623.369407879,48934.9235982464,122227.846705247,376508.410460077,2927425,542705.545412512,428127.403579492,41
"IGME",2025,43,547671.180763571,474364.7600763,618739.976193855,498736.257165325,444368.090702384,548623.369407879,48934.9235982464,122227.846705247,376508.410460077,2927425,542705.545412512,470230.650123957,41
"IHME",2005,41,857120.643361369,764948.688675278,945651.279351417,799651.955803823,722400.440842475,871145.156395374,57468.6875575461,214251.717507653,585400.23829617,3393527.53968437,857120.643361369,564063.375859846,41
"IHME",2006,41,811410.018073429,723593.82433347,895727.470418014,756079.856172296,683120.760684904,823491.918941534,55330.1619011322,202054.197749144,554025.658423153,3319044.49252774,811410.018073429,554927.547215635,41
"IHME",2007,41,766341.809188481,683053.356004803,845111.392548137,713345.54802479,645229.756654326,776859.182159878,52996.2611636902,190304.635067377,523040.912957414,3239591.89429381,766341.809188481,536693.16738002,41
"IHME",2008,41,728828.804753101,648766.556937706,803696.436619739,676823.528714747,611381.414818951,736811.706843182,52005.2760383547,180773.244213018,496050.284501729,3180431.94609812,728828.804753101,523507.920537346,41
"IHME",2009,41,711119.294256777,634031.339859063,784720.699802972,657905.85363554,594678.357439764,716323.39916529,53213.4406212375,174089.923426028,483815.930209512,3134758.36430092,711119.294256777,512605.229702185,41
"IHME",2010,41,694254.587944785,618726.653027595,766691.764451325,641425.245828595,579078.904471252,698897.035118324,52829.3421161907,167359.179353762,474066.066474833,3114113.15247556,694254.587944785,493610.996280619,41
