"grouping","age_group","pfpr","hr","lo","hi"
"four groups","0-3 months",0,0.99743487627722,0.993781552166816,1.00110163068025
"four groups","0-3 months",1,1,1,1
"four groups","0-3 months",2,1.00257315718423,0.998903394031859,1.00625640228257
"four groups","0-3 months",3,1.00515783592759,0.997821020114541,1.01254859815507
"four groups","0-3 months",4,1.00775934342107,0.996766917043091,1.01887299516839
"four groups","0-3 months",5,1.01038438847437,0.995758850829588,1.02522474354328
"four groups","0-3 months",6,1.01304068789209,0.994817271964549,1.03159792682154
"four groups","0-3 months",7,1.01573659741308,0.993964338806289,1.03798576573014
"four groups","0-3 months",8,1.0184807679181,0.993223012831421,1.04438083010377
"four groups","0-3 months",9,1.02128182756299,0.992616231287284,1.05077525274572
"four groups","0-3 months",10,1.02414809039206,0.992166161790576,1.05716093880966
"four groups","0-3 months",11,1.0270872918721,0.991893542078721,1.06352976440837
"four groups","0-3 months",12,1.03010635164862,0.991817106724049,1.0698737584913
"four groups","0-3 months",13,1.03321116371061,0.991953101388591,1.07618526251075
"four groups","0-3 months",14,1.0364064140231,0.992314884175507,1.08245706293189
"four groups","0-3 months",15,1.03969542558551,0.992912612895,1.08868249224038
"four groups","0-3 months",16,1.04308003079229,0.993753016578743,1.09485549476209
"four groups","0-3 months",17,1.04656047087615,0.994839249216399,1.10097065436777
"four groups","0-3 months",18,1.05013532217814,0.996170823511236,1.10702318202732
"four groups","0-3 months",19,1.05380144889399,0.997743622134125,1.11300886225239
"four groups","0-3 months",20,1.05755398191675,0.999549983634933,1.11892395876069
"four groups","0-3 months",21,1.06138632330834,1.00157885952156,1.12476508124796
"four groups","0-3 months",22,1.06529017585988,1.00381603810818,1.13052901697242
"four groups","0-3 months",23,1.06925559711424,1.00624442948264,1.136212532921
"four groups","0-3 months",24,1.07327107708284,1.00884440428285,1.14181215657474
"four groups","0-3 months",25,1.07732363877433,1.01159417714842,1.14732394559018
"four groups","0-3 months",26,1.08139896045067,1.01447022365217,1.15274325889407
"four groups","0-3 months",27,1.08548151835024,1.01744771765743,1.15806454349596
"four groups","0-3 months",28,1.08955474837802,1.02050097448126,1.16328115249134
"four groups","0-3 months",29,1.09360122501861,1.02360388436677,1.16838520997022
"four groups","0-3 months",30,1.097602855468,1.02673032081662,1.17336753761524
"four groups","0-3 months",31,1.10154108669936,1.02985450946472,1.17821765553805
"four groups","0-3 months",32,1.10539712291378,1.03295134550603,1.18292386631964
"four groups","0-3 months",33,1.10915215056061,1.03599665109111,1.18747342648025
"four groups","0-3 months",34,1.11278756787684,1.03896736835441,1.19185280398417
"four groups","0-3 months",35,1.11628521568808,1.04184168845912,1.19604801436459
"four groups","0-3 months",36,1.11962760606122,1.04459912179237,1.20004502215497
"four groups","0-3 months",37,1.12279814528613,1.04722051875155,1.20383018904261
"four groups","0-3 months",38,1.1257813476453,1.04968805405374,1.20739074605225
"four groups","0-3 months",39,1.12856303644685,1.05198518983164,1.21071526438311
"four groups","0-3 months",40,1.13113051588282,1.05409662226479,1.2137940838975
"four groups","0-3 months",41,1.1334726503936,1.05600817430262,1.21661960622485
"four groups","0-3 months",42,1.13558006090108,1.05770683436852,1.21918667140502
"four groups","0-3 months",43,1.13744528851483,1.05918082160019,1.22149283482113
"four groups","0-3 months",44,1.13906288656004,1.06041965548981,1.2235384857509
"four groups","0-3 months",45,1.14042948366455,1.06141427279172,1.22532684979882
"four groups","0-3 months",46,1.14154381693935,1.06215718940531,1.22686387569627
"four groups","0-3 months",47,1.14240673464109,1.06264269896835,1.22815801456157
"four groups","0-3 months",48,1.1430211682611,1.06286709417711,1.22921990740947
"four groups","0-3 months",49,1.1433920745601,1.06282889176006,1.23006200367951
"four groups","0-3 months",50,1.14352632554614,1.06252901294005,1.23069811863183
"four groups","0-3 months",51,1.14343251232067,1.06197085158382,1.23114293417947
"four groups","0-3 months",52,1.14312088083459,1.06116044027673,1.23141166839887
"four groups","0-3 months",53,1.14260318831227,1.06010646857903,1.23151974319271
