"age_band","engine","pfpr","af","af_lo","af_hi"
"<1 month","joint model, band-specific nuisance terms",10,0.0238142692636427,-0.0149845803860753,0.0611299922105207
"<1 month","separate model per band",10,0.0230439632807476,-0.0149325008553529,0.0595994345655353
"<1 month","joint model, band-specific nuisance terms",30,0.0745579620222296,-0.00258805234568249,0.145767831909934
"<1 month","separate model per band",30,0.0752020346937482,0.00236948134907844,0.142717408253383
"<1 month","joint model, band-specific nuisance terms",50,0.0891554275508145,0.00409148030785411,0.166953772604941
"<1 month","separate model per band",50,0.0853144394385703,0.00684122359757167,0.157587190911994
"1-3 months","joint model, band-specific nuisance terms",10,0.0458842683489475,-0.000905500631369183,0.0904867354512645
"1-3 months","separate model per band",10,0.0454856067506835,-0.000544090710534517,0.0893977233196225
"1-3 months","joint model, band-specific nuisance terms",30,0.13371031173958,0.0377250342859876,0.220121222389391
"1-3 months","separate model per band",30,0.131241777575015,0.0339814428878802,0.218709782048812
"1-3 months","joint model, band-specific nuisance terms",50,0.196324577333332,0.0909566058734731,0.289479260097293
"1-3 months","separate model per band",50,0.192694259116895,0.0822177725546336,0.289872325075486
"4-11 months","joint model, band-specific nuisance terms",10,0.10249926369466,0.0550637796965194,0.147553502171896
"4-11 months","separate model per band",10,0.101997679093464,0.054239926292783,0.147343823478883
"4-11 months","joint model, band-specific nuisance terms",30,0.264254166855208,0.183185038288325,0.337277160232768
"4-11 months","separate model per band",30,0.263573089925154,0.181834929139457,0.33714526175999
"4-11 months","joint model, band-specific nuisance terms",50,0.351863321307581,0.274048821693592,0.421336906916441
"4-11 months","separate model per band",50,0.35139337095019,0.272857522358274,0.421446866078097
"12-23 months","joint model, band-specific nuisance terms",10,0.265670896125089,0.203200143928023,0.323243812497604
"12-23 months","separate model per band",10,0.265043815879992,0.202025470285106,0.323085421323866
"12-23 months","joint model, band-specific nuisance terms",30,0.491009082395245,0.411712828940957,0.559616855594954
"12-23 months","separate model per band",30,0.490253673370241,0.410154336926626,0.559475751404805
"12-23 months","joint model, band-specific nuisance terms",50,0.503055881534614,0.42530402805224,0.570288519614354
"12-23 months","separate model per band",50,0.502644012775437,0.424109914382943,0.570468420613502
"24-35 months","joint model, band-specific nuisance terms",10,0.332856579070731,0.269107478223155,0.391045426204129
"24-35 months","separate model per band",10,0.333187473991218,0.268494400158524,0.392159205700448
"24-35 months","joint model, band-specific nuisance terms",30,0.566970075521848,0.49274884891597,0.630331217400252
"24-35 months","separate model per band",30,0.567011794767062,0.491658984728025,0.631194847084029
"24-35 months","joint model, band-specific nuisance terms",50,0.556172901949099,0.479886056502896,0.621270501536975
"24-35 months","separate model per band",50,0.555608033123715,0.478003532430991,0.621675178868781
"36-59 months","joint model, band-specific nuisance terms",10,0.235871124412084,0.171888793397614,0.294909990527872
"36-59 months","separate model per band",10,0.239336206900789,0.172974062092196,0.300373326142786
"36-59 months","joint model, band-specific nuisance terms",30,0.436822297167483,0.350688507410423,0.511530092124536
"36-59 months","separate model per band",30,0.439690083222178,0.350423816638888,0.516689172292144
"36-59 months","joint model, band-specific nuisance terms",50,0.418467264457316,0.328656632659053,0.496263255199467
"36-59 months","separate model per band",50,0.420367783055313,0.327029408153205,0.500760492374236
