"grouping","age_group","window","rate_ratio_vs_window1","lo","hi"
"four groups","0-3 months",1,1,NA,NA
"four groups","0-3 months",2,0.914670297898391,0.878452944170849,0.952380841124278
"four groups","0-3 months",3,0.985449900063903,0.944599313545847,1.02806713027409
"four groups","0-3 months",4,0.945944904237254,0.90345869826534,0.990429073925001
"four groups","0-3 months",5,0.9510768513893,0.903210666721908,1.00147973288616
"four groups","3-12 months",1,1,NA,NA
"four groups","3-12 months",2,0.940109707091781,0.890406616376675,0.992587257453972
"four groups","3-12 months",3,0.924878772696428,0.871383864928679,0.98165777289721
"four groups","3-12 months",4,0.949844897560097,0.887878187643426,1.01613638219399
"four groups","3-12 months",5,0.969808213825493,0.896285233866876,1.04936234143414
"four groups","1-2 years",1,1,NA,NA
"four groups","1-2 years",2,1.0489444797017,0.977476294547568,1.12563806164318
"four groups","1-2 years",3,1.07074482918206,0.991095366988507,1.15679532707715
"four groups","1-2 years",4,0.984327240687839,0.900585541793052,1.07585573140678
"four groups","1-2 years",5,1.06180451267803,0.958573472850533,1.17615274684241
"four groups","2-5 years",1,1,NA,NA
"four groups","2-5 years",2,1.15653526437812,1.09215895399629,1.22470617748075
"four groups","2-5 years",3,1.28912652713264,1.21083233725456,1.37248333384053
"four groups","2-5 years",4,1.42674445215437,1.32920680750988,1.53143944211868
"four groups","2-5 years",5,1.45378484267325,1.33820319584654,1.57934936588572
"neonatal split","0 months",1,1,NA,NA
"neonatal split","0 months",2,0.913163348146742,0.874474181110438,0.953564231410118
"neonatal split","0 months",3,0.966204303894349,0.923165268459128,1.01124986907509
"neonatal split","0 months",4,0.939425954935545,0.894079402807824,0.98707242559781
"neonatal split","0 months",5,0.945765119346896,0.894515593720376,0.999950886549731
"neonatal split","1-2 months",1,1,NA,NA
"neonatal split","1-2 months",2,0.918956115533787,0.841867544022883,1.00310357403919
"neonatal split","1-2 months",3,1.0349794711528,0.947040578986149,1.13108406279114
"neonatal split","1-2 months",4,0.967989871893443,0.880706997801623,1.06392295556546
"neonatal split","1-2 months",5,0.982734875523984,0.885342848137648,1.09084050049387
