"svkey","iso3","year","region_var","grouping_source","n_boundary","n_recode","matched_exact","matched_synonym","matched_canonical","matched_prefix","matched_fuzzy","matched_elimination","unmatched_recode","unmatched_boundary","dropped_recode_regions","dropped_boundary_regions"
"ML6AFL","MLI",2012,"v024",NA,10,6,6,0,0,0,0,0,0,4,"","gao; kidal; moptinotsurveyed; tombouctou"
"UG7BFL","UGA",2016,"v024",NA,15,15,12,0,0,0,1,0,2,2,"northbuganda; southbuganda","central1; central2"
"AO62FL","AGO",2011,"v024",NA,4,4,1,0,3,0,0,0,0,0,"",""
"AO71FL","AGO",2015,"v024",NA,18,18,18,0,0,0,0,0,0,0,"",""
"AO81FL","AGO",2023,"v024",NA,18,18,14,0,4,0,0,0,0,0,"",""
"BF43FL","BFA",2003,"v024",NA,14,14,12,0,2,0,0,0,0,0,"",""
"BF62FL","BFA",2010,"v024",NA,13,13,11,0,1,0,1,0,0,0,"",""
"BF81FL","BFA",2021,"v024",NA,13,13,13,0,0,0,0,0,0,0,"",""
"BJ41FL","BEN",2001,"v024",NA,6,6,1,0,0,4,0,1,0,0,"",""
"BJ51FL","BEN",2006,"v024",NA,12,12,11,0,0,0,1,0,0,0,"",""
"BJ61FL","BEN",2012,"v024",NA,12,12,12,0,0,0,0,0,0,0,"",""
"BJ71FL","BEN",2017,"v024",NA,12,12,12,0,0,0,0,0,0,0,"",""
"BU61FL","BDI",2010,"v024",NA,5,5,3,0,1,1,0,0,0,0,"",""
"BU71FL","BDI",2016,"v024",NA,18,18,18,0,0,0,0,0,0,0,"",""
"CD51FL","COD",2007,"v024",NA,11,11,11,0,0,0,0,0,0,0,"",""
"CD61FL","COD",2013,"v024",NA,11,11,11,0,0,0,0,0,0,0,"",""
"CD81FL","COD",2023,"v024",NA,26,26,26,0,0,0,0,0,0,0,"",""
"CG51FL","COG",2005,"v024",NA,4,4,2,0,2,0,0,0,0,0,"",""
"CG61FL","COG",2011,"v024",NA,12,12,12,0,0,0,0,0,0,0,"",""
"CI62FL","CIV",2012,"v024",NA,11,11,0,0,10,0,0,1,0,0,"",""
"CI81FL","CIV",2021,"v024",NA,14,14,14,0,0,0,0,0,0,0,"",""
"CM44FL","CMR",2004,"v024",NA,12,12,4,0,6,0,1,1,0,0,"",""
"CM61FL","CMR",2011,"v024",NA,12,12,4,0,7,0,1,0,0,0,"",""
