"iso3","primary_population","with_slope_population","with_slope_re_included","difference"
"COD",100992.623932051,104637.342250835,93421.2818635035,-7571.34206854785
"AGO",11426.2867345835,11642.2411850045,5733.27247732211,-5693.01425726143
"NER",20515.5412158547,20819.5660541088,25856.8204692324,5341.27925337774
"TCD",12410.9671927378,12558.5115348594,16625.7716499394,4214.80445720159
"BFA",10067.2715788898,10264.7389096194,12869.0687021987,2801.79712330898
"CMR",11539.660270227,11830.838468154,9532.58077386375,-2007.07949636323
"GIN",8311.09643459939,8480.27265789405,10088.41627948,1777.31984488057
"MOZ",12715.0233219506,13015.4753299951,11137.3946115576,-1577.62871039292
"MLI",10461.8679062123,10624.1124984878,8890.1016239317,-1571.76628228058
"BDI",3745.16726073803,3831.93513785155,5055.07226222012,1309.90500148209
"TZA",5282.73383629801,5311.85602442072,4011.74016231585,-1270.99367398216
"UGA",12973.0403188988,13245.2960793347,11833.6172761949,-1139.42304270387
"CIV",10202.4826543594,10412.8529099662,11138.2756540678,935.792999708348
"MWI",4302.79477615532,4377.64970098149,4916.72675074712,613.931974591802
"MDG",5612.61024987072,5646.89689489895,5092.66748952577,-519.942760344953
"TGO",2413.0924735746,2460.53866088182,2914.29163997889,501.199166404289
"ETH",4181.76597249772,4196.50406951542,3752.4388954856,-429.327077012123
"KEN",1704.41028604175,1710.55711876835,2095.43882007146,391.028534029706
"LBR",1935.197355635,1958.10142011229,1567.04282573083,-368.154529904165
"SLE",5226.19342923079,5388.41635268961,4954.77910355699,-271.414325673802
"NGA",170340.348562554,174536.264143353,170572.610267799,232.261705245037
"COG",1235.39790131965,1263.31708776917,1013.78028165711,-221.617619662539
"BEN",7864.7704628313,8149.93154311813,8070.54348722407,205.773024392773
"ZMB",3800.16139985139,3841.50575704147,4005.09241575336,204.931015901973
"SEN",820.960552152167,824.478571524412,969.618881115689,148.658328963522
"GHA",3537.04225980618,3583.79548725506,3626.36957880876,89.3273190025761
"RWA",252.290377166377,253.162158710978,291.441959303098,39.1515821367202
"GMB",174.048959200761,174.858301199203,138.919485410731,-35.1294737900297
"ZWE",647.617005924392,649.867873111989,630.401648704298,-17.2153572200939
"GAB",275.461033232884,279.933029741975,282.043727923951,6.58269469106693
"MRT",90.2305183603402,90.5423557386832,89.5467134452624,-0.683804915077715
"COM",7.82086126205674,7.84792311634908,7.41324608308228,-0.407615178974461
"SWZ",12.6631673764899,12.7069513801051,12.8910965344537,0.227929157963807
"NAM",0,0,0,0
