"year","primary_population","with_slope_population","with_slope_re_included","pct_slope_vs_primary","pct_re_vs_population"
2000,930217.341611001,958273.561310915,918758.796626447,3.01609295429008,-4.12353698148704
2001,937898.868586884,965468.787575487,926267.429735265,2.93954070230862,-4.06034439898011
2002,892803.149110113,918647.914895162,877262.029619562,2.8947888244804,-4.50508672632463
2003,869757.689811714,894903.481806655,853788.795870494,2.89112614806366,-4.59431511576619
2004,846340.280489502,870639.972228124,828888.842624074,2.87114914636553,-4.79545287786427
2005,776749.633883859,799847.40788605,765361.099888716,2.97364465905161,-4.31161089694335
2006,733213.510832043,755245.940884766,724413.378404735,3.00491326567631,-4.08245325276575
2007,695328.614552469,716617.785630029,689914.91564227,3.06174240956014,-3.7262360107742
2008,658808.774876963,680015.171539196,659037.085146072,3.2189001529606,-3.08494387641979
2009,663952.987937805,685285.756507028,669937.01714101,3.21299383492211,-2.23975753476212
2010,620390.418888633,639175.805810409,628618.528336989,3.02799436448875,-1.65170167228639
2011,589647.477986023,607501.023321617,599418.626489684,3.02783374849236,-1.33043345141073
2012,569385.958797311,586792.121705958,578555.489068352,3.05700599737533,-1.40367130588938
2013,561015.15989143,577685.534652741,567872.179418257,2.97146600539948,-1.69873653498758
2014,549334.454077269,564986.15144051,556121.039156225,2.84921094008772,-1.56908488140496
2015,521627.168905994,535098.185838514,527118.884188028,2.58249909811501,-1.49118458287847
2016,499515.156764593,511656.831474943,503234.08527272,2.43069195116976,-1.64617096539937
2017,497584.824498802,509854.207352235,500022.463580436,2.4657871883033,-1.92834414819419
2018,487459.199283632,500393.337896996,489013.188442706,2.65337870992524,-2.27424080067048
2019,506587.069859024,521267.720059257,507291.217957059,2.89795201530076,-2.68125217893957
2020,500110.674587945,514582.129895617,499041.225772851,2.89365055436883,-3.02010179131532
2021,491726.718233052,504926.782631485,489317.153452562,2.68443098757496,-3.09146389454165
2022,499076.595635776,511558.031074593,496425.566732767,2.50090578239139,-2.95811294566873
2023,471899.532112937,483335.119507972,467761.747374386,2.42330975490304,-3.22206508590538
2024,462588.442796263,473926.256567255,459041.814246502,2.45095050417954,-3.14066631981187
