"svkey","SurveyId","iso3","year","success","regions","regions_low_coverage","reason"
"AO62FL","AO2011MIS","AGO",2011,TRUE,4,0,""
"AO71FL","AO2015DHS","AGO",2015,TRUE,18,0,""
"AO81FL","AO2023DHS","AGO",2023,TRUE,18,0,""
"BU61FL","BU2010DHS","BDI",2010,TRUE,5,0,""
"BU71FL","BU2016DHS","BDI",2016,TRUE,18,0,""
"BJ41FL","BJ2001DHS","BEN",2001,TRUE,6,0,""
"BJ51FL","BJ2006DHS","BEN",2006,TRUE,12,0,""
"BJ61FL","BJ2012DHS","BEN",2012,TRUE,12,0,""
"BJ71FL","BJ2017DHS","BEN",2017,TRUE,12,0,""
"BF43FL","BF2003DHS","BFA",2003,TRUE,14,0,""
"BF62FL","BF2010DHS","BFA",2010,TRUE,13,0,""
"BF81FL","BF2021DHS","BFA",2021,TRUE,13,0,""
"CI62FL","CI2012DHS","CIV",2012,TRUE,11,0,""
"CI81FL","CI2021DHS","CIV",2021,TRUE,14,0,""
"CM44FL","CM2004DHS","CMR",2004,TRUE,12,0,""
"CM61FL","CM2011DHS","CMR",2011,TRUE,12,0,""
"CM71FL","CM2018DHS","CMR",2018,TRUE,12,0,""
"CD51FL","CD2007DHS","COD",2007,TRUE,11,0,""
"CD61FL","CD2013DHS","COD",2013,TRUE,11,0,""
"CD81FL","CD2023DHS","COD",2023,TRUE,26,0,""
"CG51FL","CG2005DHS","COG",2005,TRUE,4,0,""
"CG61FL","CG2011DHS","COG",2011,TRUE,12,0,""
"KM61FL","KM2012DHS","COM",2012,FALSE,0,NA,"no overlap with the Snow polygons"
"ET41FL","ET2000DHS","ETH",2000,TRUE,11,1,""
"ET51FL","ET2005DHS","ETH",2005,TRUE,11,1,""
"ET61FL","ET2011DHS","ETH",2011,TRUE,11,1,""
"ET71FL","ET2016DHS","ETH",2016,TRUE,11,1,""
"ET81FL","ET2019DHS","ETH",2019,TRUE,11,1,""
"ET8AFL","ET2024DHS","ETH",2024,TRUE,14,1,""
"GA41FL","GA2000DHS","GAB",2000,TRUE,5,0,""
"GA61FL","GA2012DHS","GAB",2012,TRUE,10,0,""
"GA71FL","GA2019DHS","GAB",2019,TRUE,11,0,""
"GH4BFL","GH2003DHS","GHA",2003,TRUE,10,0,""
"GH5AFL","GH2008DHS","GHA",2008,TRUE,10,0,""
"GH72FL","GH2014DHS","GHA",2014,TRUE,10,0,""
"GH8CFL","GH2022DHS","GHA",2022,TRUE,16,0,""
"GN52FL","GN2005DHS","GIN",2005,TRUE,8,0,""
"GN62FL","GN2012DHS","GIN",2012,TRUE,8,0,""
"GN71FL","GN2018DHS","GIN",2018,TRUE,8,0,""
"GM61FL","GM2013DHS","GMB",2013,TRUE,8,0,""
"GM81FL","GM2019DHS","GMB",2019,TRUE,8,0,""
