"subregion","year","pct_change_per_10","lo","hi"
"West Africa",2005,2.93239636972111,-2.33745932872437,8.48661267246333
"West Africa",2010,7.08431813042216,2.36039232379475,12.0262528223216
"West Africa",2015,11.4037134457567,6.14198166065574,16.926282846146
"West Africa",2020,15.8973375951154,9.07731656528528,23.1437780521184
"West Africa",2024,19.6223948979599,11.0787720487386,28.823150429182
"Central Africa",2005,4.08404261609239,-8.61418161413897,18.5467079975799
"Central Africa",2010,6.04765574963357,-3.16580379994816,16.1377460784537
"Central Africa",2015,8.04831372156978,0.39871739022066,16.2807494113657
"Central Africa",2020,10.0867154068618,0.488745744823427,20.6014148076447
"Central Africa",2024,11.7450902834893,-1.07131499433665,26.2218860156722
"East & Southern",2005,12.3042768894472,4.94155654154491,20.1835671521473
"East & Southern",2010,11.6005242119897,4.22507651856003,19.4978926417291
"East & Southern",2015,10.9011815876908,2.73159146300961,19.7204472586651
"East & Southern",2020,10.2062213810339,0.698970096234852,20.6110769502257
"East & Southern",2024,9.65339009592765,-1.15140237069736,21.6392164168178
