"iso3","country","surveys","region_years","years"
"ETH","Ethiopia",6,57,"2000, 2005, 2011, 2016, 2019, 2024"
"NGA","Nigeria",6,36,"2003, 2008, 2010, 2013, 2018, 2024"
"MLI","Mali",5,38,"2001, 2006, 2012, 2018, 2023"
"RWA","Rwanda",5,24,"2000, 2005, 2010, 2015, 2019"
"SEN","Senegal",5,53,"2005, 2010, 2016, 2017, 2023"
"ZMB","Zambia",5,48,"2002, 2007, 2013, 2018, 2024"
"BEN","Benin",4,36,"2001, 2006, 2012, 2017"
"GHA","Ghana",4,46,"2003, 2008, 2014, 2022"
"KEN","Kenya",4,69,"2003, 2008, 2014, 2022"
"LBR","Liberia",4,22,"2007, 2009, 2013, 2019"
"MOZ","Mozambique",4,37,"2003, 2011, 2015, 2022"
"UGA","Uganda",4,34,"2000, 2006, 2009, 2016"
"AGO","Angola",3,33,"2011, 2015, 2023"
"CMR","Cameroon",3,18,"2004, 2011, 2018"
"GAB","Gabon",3,20,"2000, 2012, 2019"
"GIN","Guinea",3,24,"2005, 2012, 2018"
"MDG","Madagascar",3,47,"2004, 2008, 2021"
"MWI","Malawi",3,7,"2000, 2010, 2024"
"NAM","Namibia",3,23,"2000, 2006, 2013"
"SLE","Sierra Leone",3,13,"2008, 2013, 2019"
"TZA","Tanzania",3,26,"2010, 2015, 2022"
"ZWE","Zimbabwe",3,27,"2005, 2010, 2015"
"BFA","Burkina Faso",2,24,"2010, 2021"
"BDI","Burundi",2,21,"2010, 2016"
"TCD","Chad",2,28,"2004, 2014"
"COG","Congo - Brazzaville",2,14,"2005, 2011"
"COD","Congo - Kinshasa",2,37,"2013, 2023"
"GMB","Gambia",2,16,"2013, 2019"
"NER","Niger",2,16,"2006, 2012"
"COM","Comoros",1,1,"2012"
"CIV","Côte d’Ivoire",1,14,"2021"
"SWZ","Eswatini",1,2,"2006"
"MRT","Mauritania",1,6,"2020"
"TGO","Togo",1,4,"2013"
